 Station_ID         Station_Name WMO_CODE         Country_Name Longitude  Latitude Elevation (m)
   UG02KMPL              KAMPALA    63680               UGANDA     32.62      0.32          1140

 Code     Element_Name Begin_Y   Nbr_Y     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec Remarks
  201   Temp__mean_max    1931      24    28.3    28.2    27.5      26    25.3    25.1      25    25.5    26.5    27.1    27.1    27.1 FAO misc.  [FAO301]
  202   Temp__mean_min    1931      24      18      18      18    17.5    17.5    17.1    16.5    16.3    16.5    16.8    17.2    17.3 FAO misc.  [FAO301]
  203    Temp_mean_mly    1931      24    22.5    22.5    22.1    21.3    20.9    20.6    20.2    20.2    20.8    21.3    21.5    21.7 available data: 24(24) [FAO777]
  292  Temp_Mean_Night  -99999  -99999    21.3    21.2      21    20.2      20    19.6    19.2    19.2    19.7    20.1    20.3    20.4 FAO misc.  [FAO301]
  293  Temp_Mean_Daytm  -99999  -99999      25    24.9    24.5    23.3    22.8    22.5    22.3    22.6    23.3    23.8    23.9      24 FAO misc.  [FAO301]
  208 Precip_Total_Mly    1961      30      62      65     133     170     124      60      56      90     103     119     151      91 available data: 29(29) [FAO777]
  251  Temp_dp_mea_mly  -99999      24    16.4    16.6    17.3      18      18    17.1    16.5    16.8      17    17.1      17    16.8 CIAT71.Estimated:CIAT63.  [FAO302]
  258     RH__mean_mly  -99999  -99999    71.3      73    77.7      83      84      82    81.3    82.3    81.7      79      76      76 CIAT71.Estimated:CIAT65.  [FAO302]
  298  Vap_Pr_mean_mly    1931      24    18.6    18.8    19.7    20.6    20.6    19.5    18.7    18.5    19.3    19.5    19.3    19.1 FAO misc.  [FAO301]
  294   PET_total__mly  -99999  -99999     155   145.6   145.7     117   111.6     111   114.7   120.9     126   133.3     126   136.4 Pennman-Monteith 1992  [FAO444]
  297 Wind_sp_mean_mly    1938      17     3.4     3.4     3.4     3.2     3.4     3.6     3.6     3.4     3.4     3.1     2.9     3.2 FAO misc.  [FAO301]
  296  Sunsh_fract_mly    1931      23    0.64    0.65    0.55     0.5    0.51    0.52    0.46    0.48     0.5    0.52    0.52    0.59 FAO (published PPPS 22)  [FAO301]

