 Furrow irrigation of NH4 water into a drained profile                   
 
 Program HYDRUS2
 Date:  24. 7.    Time:  17:30:12
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

     Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
      [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

       .5000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.103E+03   .128E+03   .000E+00   .000E+00
      1.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.183E+03   .239E+03   .000E+00   .000E+00
      2.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.339E+03   .444E+03   .000E+00   .000E+00
      3.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.495E+03   .635E+03   .000E+00   .000E+00
      5.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.808E+03   .995E+03   .000E+00   .000E+00
     10.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.159E+04   .183E+04   .000E+00   .000E+00
     15.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.238E+04   .264E+04   .000E+00   .000E+00
     20.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.317E+04   .343E+04   .000E+00   .000E+00
     25.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.395E+04   .422E+04   .000E+00   .000E+00
     30.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.474E+04   .501E+04   .000E+00   .000E+00
     40.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.631E+04   .659E+04   .000E+00   .000E+00
     50.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.789E+04   .816E+04   .000E+00   .000E+00
     50.5000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.797E+04   .824E+04   .000E+00   .000E+00
     51.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.805E+04   .832E+04   .000E+00   .000E+00
     52.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.820E+04   .848E+04   .000E+00   .000E+00
     53.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.836E+04   .863E+04   .000E+00   .000E+00
     55.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.868E+04   .895E+04   .000E+00   .000E+00
     60.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.946E+04   .974E+04   .000E+00   .000E+00
     65.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.102E+05   .105E+05   .000E+00   .000E+00
     70.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.110E+05   .113E+05   .000E+00   .000E+00
     75.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.118E+05   .121E+05   .000E+00   .000E+00
     80.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.126E+05   .129E+05   .000E+00   .000E+00
     90.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.142E+05   .145E+05   .000E+00   .000E+00
    100.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.158E+05   .160E+05   .000E+00   .000E+00
end
