

     Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

       .5000         .0         .0         .0        9.6         .0         .0         .0
      1.0000         .0         .0         .0        9.6         .0         .0         .0
      2.0000         .0         .0         .0        9.6         .0         .0         .0
      3.0000         .0         .0         .0        9.6         .0         .0         .0
      5.0000         .0         .0         .0        9.6         .0         .0         .0
     10.0000         .0         .0         .0        9.6         .0         .0         .0
     15.0000         .0         .0         .0        9.6         .0         .0         .0
     20.0000         .0         .0         .0        9.6         .0         .0         .0
     25.0000         .0         .0         .0        9.6         .0         .0         .0
     30.0000         .0         .0         .0        9.6         .0         .0         .0
     40.0000         .0         .0         .0        9.6         .0         .0         .0
     50.0000         .0         .0         .0        9.6         .0         .0         .0
     50.5000         .0         .0         .0        9.6         .0         .0         .0
     51.0000         .0         .0         .0        9.6         .0         .0         .0
     52.0000         .0         .0         .0        9.6         .0         .0         .0
     53.0000         .0         .0         .0        9.6         .0         .0         .0
     55.0000         .0         .0         .0        9.6         .0         .0         .0
     60.0000         .0         .0         .0        9.6         .0         .0         .0
     65.0000         .0         .0         .0        9.6         .0         .0         .0
     70.0000         .0         .0         .0        9.6         .0         .0         .0
     75.0000         .0         .0         .0        9.6         .0         .0         .0
     80.0000         .0         .0         .0        9.6         .0         .0         .0
     90.0000         .0         .0         .0        9.6         .0         .0         .0
    100.0000         .0         .0         .0        9.6         .0         .0         .0
end
