 Furrow irrigation of NH4 water into a drained profile                   
 
 Program HYDRUS2
 Date:  24. 7.    Time:  17:30:12
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All fluxes (v) are positive out of the region

     Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
      [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

       .5000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.165E+03   .232E+03   .000E+00   .000E+00
      1.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.158E+03   .215E+03   .000E+00   .000E+00
      2.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+03   .197E+03   .000E+00   .000E+00
      3.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+03   .187E+03   .000E+00   .000E+00
      5.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .174E+03   .000E+00   .000E+00
     10.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .163E+03   .000E+00   .000E+00
     15.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .160E+03   .000E+00   .000E+00
     20.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .158E+03   .000E+00   .000E+00
     25.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .158E+03   .000E+00   .000E+00
     30.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .158E+03   .000E+00   .000E+00
     40.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
     50.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
     50.5000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
     51.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
     52.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
     53.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
     55.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
     60.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
     65.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
     70.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
     75.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
     80.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
     90.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
    100.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.157E+03   .157E+03   .000E+00   .000E+00
end
