 Irrigation from pond                                                    
 
 Program HYDRUS2
 Date:  14.12.    Time:   8:56:15
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 


 Time:       .2000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1   17 -200.0   14.7    1  -.130E+01   .178E+00        5.3   .460     20.00  .000E+00
    2   18 -200.0     .0    1  -.837E+00   .114E+00       20.0   .460     20.00  .000E+00
    3   44  200.0     .0    1  -.129E+01   .176E+00       20.0   .460     20.00  .145E-26
    4   45  200.0   14.7    1  -.178E+01   .242E+00        5.3   .460     20.00  .152E-25
    5   70   84.3   85.5    1   .124E+03  -.314E+02       -3.9   .424     22.58  .708E+00
    6   71   76.6   83.7    1   .122E+03  -.155E+02       -2.1   .428     22.84  .689E+00
    7   72   68.9   82.1    1   .141E+03  -.178E+02        -.5   .430     23.13  .737E+00
    8   73   61.0   80.8    1   .133E+03  -.167E+02         .9   .430     23.24  .759E+00
    9   74   53.2   79.6    1   .108E+03  -.136E+02        2.1   .430     23.26  .757E+00
   10   75   45.2   78.6    1   .894E+02  -.111E+02        3.1   .430     23.25  .761E+00
   11   76   37.2   77.8    1   .749E+02  -.931E+01        3.8   .430     23.20  .753E+00
   12   77   29.2   77.2    1   .642E+02  -.796E+01        4.4   .430     23.16  .750E+00
   13   78   21.1   76.9    1   .573E+02  -.709E+01        4.8   .430     23.12  .747E+00
   14   79   13.0   76.7    1   .538E+02  -.665E+01        5.0   .430     23.10  .745E+00
   15   80    4.9   76.7    1   .534E+02  -.659E+01        5.0   .430     23.10  .745E+00
   16   81   -3.2   76.9    1   .561E+02  -.692E+01        4.8   .430     23.11  .746E+00
   17   82  -11.3   77.2    1   .621E+02  -.765E+01        4.5   .430     23.14  .748E+00
   18   83  -19.4   77.8    1   .718E+02  -.884E+01        3.9   .430     23.19  .752E+00
   19   84  -27.5   78.5    1   .860E+02  -.106E+02        3.2   .430     23.24  .757E+00
   20   85  -35.5   79.4    1   .106E+03  -.131E+02        2.3   .430     23.27  .758E+00
   21   86  -43.6   80.4    1   .133E+03  -.164E+02        1.2   .430     23.26  .761E+00
   22   87  -51.6   81.7    1   .156E+03  -.193E+02         .0   .430     23.15  .745E+00
   23   88  -59.5   83.0    1   .179E+03  -.443E+02       -1.4   .429     22.99  .759E+00


 Time:       .5000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1   17 -200.0   14.7    1  -.203E+02   .277E+01        5.3   .460     20.00  .698E-16
    2   18 -200.0     .0    1  -.104E+02   .142E+01       20.0   .460     20.00  .140E-16
    3   44  200.0     .0    1  -.187E+02   .254E+01       20.0   .460     20.00  .459E-12
    4   45  200.0   14.7    1  -.429E+02   .584E+01        5.3   .460     20.00  .192E-11
    5   70   84.3   85.5    1   .951E+02  -.241E+02       -3.9   .424     23.11  .797E+00
    6   71   76.6   83.7    1   .974E+02  -.123E+02       -2.1   .428     23.40  .825E+00
    7   72   68.9   82.1    1   .831E+02  -.105E+02        -.5   .430     23.51  .835E+00
    8   73   61.0   80.8    1   .687E+02  -.862E+01         .9   .430     23.51  .840E+00
    9   74   53.2   79.6    1   .542E+02  -.678E+01        2.1   .430     23.41  .821E+00
   10   75   45.2   78.6    1   .442E+02  -.551E+01        3.1   .430     23.30  .812E+00
   11   76   37.2   77.8    1   .369E+02  -.458E+01        3.8   .430     23.17  .794E+00
   12   77   29.2   77.2    1   .317E+02  -.393E+01        4.4   .430     23.06  .783E+00
   13   78   21.1   76.9    1   .284E+02  -.352E+01        4.8   .430     22.98  .774E+00
   14   79   13.0   76.7    1   .269E+02  -.333E+01        5.0   .430     22.93  .770E+00
   15   80    4.9   76.7    1   .270E+02  -.333E+01        5.0   .430     22.93  .769E+00
   16   81   -3.2   76.9    1   .286E+02  -.353E+01        4.8   .430     22.97  .773E+00
   17   82  -11.3   77.2    1   .320E+02  -.394E+01        4.5   .430     23.05  .781E+00
   18   83  -19.4   77.8    1   .373E+02  -.459E+01        3.9   .430     23.17  .793E+00
   19   84  -27.5   78.5    1   .452E+02  -.557E+01        3.2   .430     23.30  .808E+00
   20   85  -35.5   79.4    1   .569E+02  -.702E+01        2.3   .430     23.42  .823E+00
   21   86  -43.6   80.4    1   .737E+02  -.911E+01        1.2   .430     23.52  .843E+00
   22   87  -51.6   81.7    1   .987E+02  -.122E+02         .0   .430     23.52  .844E+00
   23   88  -59.5   83.0    1   .140E+03  -.347E+02       -1.4   .429     23.47  .844E+00


 Time:      1.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1   17 -200.0   14.7    1  -.106E+03   .144E+02        5.3   .460     20.00  .201E-08
    2   18 -200.0     .0    1  -.301E+02   .410E+01       20.0   .460     20.00  .162E-09
    3   44  200.0     .0    1  -.382E+02   .521E+01       20.0   .460     20.00  .408E-07
    4   45  200.0   14.7    1  -.157E+03   .213E+02        5.3   .460     20.00  .294E-06
    5   70   84.3   85.5    1   .808E+02  -.205E+02       -3.9   .424     23.37  .855E+00
    6   71   76.6   83.7    1   .758E+02  -.958E+01       -2.1   .428     23.60  .888E+00
    7   72   68.9   82.1    1   .612E+02  -.771E+01        -.5   .430     23.66  .891E+00
    8   73   61.0   80.8    1   .500E+02  -.628E+01         .9   .430     23.61  .887E+00
    9   74   53.2   79.6    1   .392E+02  -.491E+01        2.1   .430     23.48  .864E+00
   10   75   45.2   78.6    1   .319E+02  -.398E+01        3.1   .430     23.33  .847E+00
   11   76   37.2   77.8    1   .266E+02  -.330E+01        3.8   .430     23.17  .824E+00
   12   77   29.2   77.2    1   .228E+02  -.282E+01        4.4   .430     23.03  .808E+00
   13   78   21.1   76.9    1   .204E+02  -.253E+01        4.8   .430     22.94  .796E+00
   14   79   13.0   76.7    1   .193E+02  -.239E+01        5.0   .430     22.88  .789E+00
   15   80    4.9   76.7    1   .194E+02  -.239E+01        5.0   .430     22.88  .788E+00
   16   81   -3.2   76.9    1   .205E+02  -.253E+01        4.8   .430     22.94  .795E+00
   17   82  -11.3   77.2    1   .229E+02  -.282E+01        4.5   .430     23.04  .807E+00
   18   83  -19.4   77.8    1   .267E+02  -.329E+01        3.9   .430     23.17  .824E+00
   19   84  -27.5   78.5    1   .325E+02  -.400E+01        3.2   .430     23.33  .845E+00
   20   85  -35.5   79.4    1   .409E+02  -.505E+01        2.3   .430     23.49  .866E+00
   21   86  -43.6   80.4    1   .533E+02  -.659E+01        1.2   .430     23.61  .890E+00
   22   87  -51.6   81.7    1   .721E+02  -.893E+01         .0   .430     23.65  .895E+00
   23   88  -59.5   83.0    1   .114E+03  -.283E+02       -1.4   .429     23.64  .889E+00


 Time:      1.5000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1   17 -200.0   14.7    1  -.150E+03   .204E+02        5.3   .460     20.01  .700E-06
    2   18 -200.0     .0    1  -.397E+02   .542E+01       20.0   .460     20.01  .777E-07
    3   44  200.0     .0    1  -.460E+02   .628E+01       20.0   .460     20.02  .356E-05
    4   45  200.0   14.7    1  -.200E+03   .273E+02        5.3   .460     20.03  .235E-04
    5   70   84.3   85.5    1   .739E+02  -.187E+02       -3.9   .424     23.49  .886E+00
    6   71   76.6   83.7    1   .669E+02  -.846E+01       -2.1   .428     23.69  .917E+00
    7   72   68.9   82.1    1   .528E+02  -.665E+01        -.5   .430     23.72  .918E+00
    8   73   61.0   80.8    1   .431E+02  -.541E+01         .9   .430     23.66  .910E+00
    9   74   53.2   79.6    1   .338E+02  -.423E+01        2.1   .430     23.52  .887E+00
   10   75   45.2   78.6    1   .274E+02  -.342E+01        3.1   .430     23.36  .868E+00
   11   76   37.2   77.8    1   .228E+02  -.284E+01        3.8   .430     23.20  .844E+00
   12   77   29.2   77.2    1   .195E+02  -.242E+01        4.4   .430     23.06  .825E+00
   13   78   21.1   76.9    1   .175E+02  -.216E+01        4.8   .430     22.96  .810E+00
   14   79   13.0   76.7    1   .165E+02  -.204E+01        5.0   .430     22.91  .802E+00
   15   80    4.9   76.7    1   .165E+02  -.203E+01        5.0   .430     22.91  .802E+00
   16   81   -3.2   76.9    1   .174E+02  -.215E+01        4.8   .430     22.96  .809E+00
   17   82  -11.3   77.2    1   .194E+02  -.239E+01        4.5   .430     23.06  .824E+00
   18   83  -19.4   77.8    1   .226E+02  -.278E+01        3.9   .430     23.19  .844E+00
   19   84  -27.5   78.5    1   .274E+02  -.338E+01        3.2   .430     23.35  .866E+00
   20   85  -35.5   79.4    1   .345E+02  -.426E+01        2.3   .430     23.51  .889E+00
   21   86  -43.6   80.4    1   .450E+02  -.556E+01        1.2   .430     23.64  .913E+00
   22   87  -51.6   81.7    1   .610E+02  -.756E+01         .0   .430     23.70  .918E+00
   23   88  -59.5   83.0    1   .105E+03  -.260E+02       -1.4   .429     23.72  .912E+00


 Time:      2.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1   17 -200.0   14.7    1  -.174E+03   .237E+02        5.3   .460     20.03  .179E-04
    2   18 -200.0     .0    1  -.449E+02   .612E+01       20.0   .460     20.03  .245E-05
    3   44  200.0     .0    1  -.493E+02   .673E+01       20.0   .460     20.08  .470E-04
    4   45  200.0   14.7    1  -.218E+03   .297E+02        5.3   .460     20.09  .276E-03
    5   70   84.3   85.5    1   .700E+02  -.177E+02       -3.9   .424     23.57  .905E+00
    6   71   76.6   83.7    1   .621E+02  -.785E+01       -2.1   .428     23.75  .933E+00
    7   72   68.9   82.1    1   .487E+02  -.614E+01        -.5   .430     23.77  .934E+00
    8   73   61.0   80.8    1   .398E+02  -.499E+01         .9   .430     23.70  .926E+00
