 Irrigation from pond                                                    
 
 Program HYDRUS2
 Date:  14.12.    Time:   8:56:15
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

     Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
      [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

       .0333   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.204E+03   .000E+00   .000E+00   .000E+00
       .0571   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.320E+03   .000E+00   .000E+00   .000E+00
       .0730   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.391E+03   .000E+00   .000E+00   .000E+00
       .0846   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.441E+03   .000E+00   .000E+00   .000E+00
       .0928   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.475E+03   .000E+00   .000E+00   .000E+00
       .0984   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.499E+03   .000E+00   .000E+00   .000E+00
       .0997   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.504E+03   .000E+00   .000E+00   .000E+00
       .1011   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.509E+03   .000E+00   .000E+00   .000E+00
       .1024   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.515E+03   .000E+00   .000E+00   .000E+00
       .1037   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.520E+03   .000E+00   .000E+00   .000E+00
       .1050   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.526E+03   .000E+00   .000E+00   .000E+00
       .1063   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.531E+03   .000E+00   .000E+00   .000E+00
       .1080   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.538E+03   .000E+00   .000E+00   .000E+00
       .1097   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.545E+03   .000E+00   .000E+00   .000E+00
       .1114   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.552E+03   .000E+00   .000E+00   .000E+00
       .1131   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.559E+03   .000E+00   .000E+00   .000E+00
       .1148   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.565E+03   .000E+00   .000E+00   .000E+00
       .1165   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.571E+03   .000E+00   .000E+00   .000E+00
       .1182   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.578E+03   .000E+00   .000E+00   .000E+00
       .1199   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.583E+03   .000E+00   .000E+00   .000E+00
       .1216   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.589E+03   .000E+00   .000E+00   .000E+00
