

     Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

       .0333         .0         .0         .0        4.2         .0         .0         .0
       .0571         .0         .0         .0        4.2         .0         .0         .0
       .0730         .0         .0         .0        4.2         .0         .0         .0
       .0846         .0         .0         .0        4.2         .0         .0         .0
       .0928         .0         .0         .0        4.2         .0         .0         .0
       .0984         .0         .0         .0        4.2         .0         .0         .0
       .0997         .0         .0         .0        4.2         .0         .0         .0
       .1011         .0         .0         .0        4.2         .0         .0         .0
       .1024         .0         .0         .0        4.2         .0         .0         .0
       .1037         .0         .0         .0        4.2         .0         .0         .0
       .1050         .0         .0         .0        4.2         .0         .0         .0
       .1063         .0         .0         .0        4.2         .0         .0         .0
       .1080         .0         .0         .0        4.2         .0         .0         .0
       .1097         .0         .0         .0        4.2         .0         .0         .0
       .1114         .0         .0         .0        4.2         .0         .0         .0
       .1131         .0         .0         .0        4.2         .0         .0         .0
       .1148         .0         .0         .0        4.2         .0         .0         .0
       .1165         .0         .0         .0        4.2         .0         .0         .0
       .1182         .0         .0         .0        4.2         .0         .0         .0
       .1199         .0         .0         .0        4.2         .0         .0         .0
       .1216         .0         .0         .0        4.2         .0         .0         .0
       .1233         .0         .0         .0        4.2         .0         .0         .0
       .1250         .0         .0         .0        4.2         .0         .0         .0
       .1267         .0         .0         .0        4.2         .0         .0         .0
       .1284         .0         .0         .0        4.2         .0         .0         .0
       .1301         .0         .0         .0        4.2         .0         .0         .0
       .1318         .0         .0         .0        4.2         .0         .0         .0
       .1335         .0         .0         .0        4.2         .0         .0         .0
       .1345         .0         .0         .0        4.2         .0         .0         .0
       .1355         .0         .0         .0        4.2         .0         .0         .0
       .1365         .0         .0         .0        4.2         .0         .0         .0
       .1378         .0         .0         .0        4.2         .0         .0         .0
       .1391         .0         .0         .0        4.2         .0         .0         .0
       .1404         .0         .0         .0        4.2         .0         .0         .0
       .1417         .0         .0         .0        4.2         .0         .0         .0
       .1434         .0         .0         .0        4.2         .0         .0         .0
       .1452         .0         .0         .0        4.2         .0         .0         .0
       .1469         .0         .0         .0        4.2         .0         .0         .0
       .1486         .0         .0         .0        4.2         .0         .0         .0
       .1503         .0         .0         .0        4.2         .0         .0         .0
       .1520         .0         .0         .0        4.2         .0         .0         .0
       .1542         .0         .0         .0        4.2         .0         .0         .0
       .1564         .0         .0         .0        4.2         .0         .0         .0
