


                               Node(179)                                           Node(229)                                           Node(401)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .000    -50.923   .3013   20.000   .000E+00   .000E+00       -2.629   .4585   20.000   .000E+00   .000E+00       -4.345   .4571   20.000   .000E+00   .000E+00
       .033    -50.923   .3013   20.000   .229E-24   .000E+00       -2.609   .4585   20.000   .315E-11   .000E+00       -4.345   .4571   20.000   .220E-29   .000E+00
       .057    -50.923   .3013   20.000   .140E-23   .000E+00       -2.521   .4586   20.000   .164E-09   .000E+00       -4.345   .4571   20.000   .137E-28   .000E+00
       .073    -50.923   .3013   20.000   .398E-23   .000E+00       -2.342   .4587   20.000   .197E-08   .000E+00       -4.345   .4571   20.000   .390E-28   .000E+00
       .085    -50.923   .3013   20.000   .828E-23   .000E+00       -2.017   .4590   20.000   .148E-07   .000E+00       -4.345   .4571   20.000   .809E-28   .000E+00
       .093    -50.923   .3013   20.000   .138E-22   .000E+00       -1.545   .4593   20.001   .670E-07   .000E+00       -4.345   .4571   20.000   .135E-27   .000E+00
       .098    -50.923   .3013   20.000   .196E-22   .000E+00        -.970   .4596   20.001   .193E-06   .000E+00       -4.345   .4571   20.000   .191E-27   .000E+00
       .100    -50.923   .3013   20.000   .212E-22   .000E+00        -.804   .4597   20.001   .244E-06   .000E+00       -4.345   .4571   20.000   .206E-27   .000E+00
       .101    -50.923   .3013   20.000   .230E-22   .000E+00        -.605   .4598   20.001   .310E-06   .000E+00       -4.345   .4571   20.000   .223E-27   .000E+00
       .102    -50.923   .3013   20.000   .249E-22   .000E+00        -.351   .4599   20.002   .399E-06   .000E+00       -4.345   .4571   20.000   .242E-27   .000E+00
       .104    -50.923   .3013   20.000   .269E-22   .000E+00         .177   .4600   20.002   .516E-06   .000E+00       -4.344   .4571   20.000   .261E-27   .000E+00
       .105    -50.923   .3013   20.000   .292E-22   .000E+00        1.454   .4600   20.002   .667E-06   .000E+00       -4.344   .4571   20.000   .283E-27   .000E+00
       .106    -50.923   .3013   20.000   .316E-22   .000E+00        1.994   .4600   20.002   .861E-06   .000E+00       -4.344   .4571   20.000   .306E-27   .000E+00
       .108    -50.923   .3013   20.000   .350E-22   .000E+00        2.968   .4600   20.003   .121E-05   .000E+00       -4.344   .4571   20.000   .340E-27   .000E+00
       .110    -50.923   .3013   20.000   .389E-22   .000E+00        4.289   .4600   20.003   .172E-05   .000E+00       -4.344   .4571   20.000   .377E-27   .000E+00
       .111    -50.923   .3013   20.000   .432E-22   .000E+00        5.990   .4600   20.004   .247E-05   .000E+00       -4.344   .4571   20.000   .418E-27   .000E+00
