 Irrigation from pond                                                    
 
 Program HYDRUS2
 Date:  14.12.    Time:   8:56:15
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All fluxes (v) are positive out of the region

     Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
      [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

       .0333   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.611E+04   .000E+00   .000E+00   .000E+00
       .0571   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.489E+04   .000E+00   .000E+00   .000E+00
       .0730   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.449E+04   .000E+00   .000E+00   .000E+00
       .0846   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.427E+04   .000E+00   .000E+00   .000E+00
       .0928   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.419E+04   .000E+00   .000E+00   .000E+00
       .0984   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.415E+04   .000E+00   .000E+00   .000E+00
       .0997   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.415E+04   .000E+00   .000E+00   .000E+00
       .1011   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.414E+04   .000E+00   .000E+00   .000E+00
       .1024   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.413E+04   .000E+00   .000E+00   .000E+00
       .1037   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.413E+04   .000E+00   .000E+00   .000E+00
       .1050   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.412E+04   .000E+00   .000E+00   .000E+00
       .1063   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.410E+04   .000E+00   .000E+00   .000E+00
       .1080   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.408E+04   .000E+00   .000E+00   .000E+00
       .1097   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.407E+04   .000E+00   .000E+00   .000E+00
       .1114   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.406E+04   .000E+00   .000E+00   .000E+00
       .1131   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.403E+04   .000E+00   .000E+00   .000E+00
       .1148   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.385E+04   .000E+00   .000E+00   .000E+00
       .1165   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.372E+04   .000E+00   .000E+00   .000E+00
       .1182   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.355E+04   .000E+00   .000E+00   .000E+00
