 Chamber simulation                                                      
 
 Program HYDRUS2
 Date:  22. 2.    Time:  17:13:43
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = -    

 Max. number of iterations             40
 Absolute water content tolerance [-]  .00020
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .020   .348    .453E-01    .122E+02    .258E+03   .500
    2     .012   .348    .151E+00    .735E+01    .181E+04   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .3480   -.100E-01  -.2000E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.111E-01  -.1957E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.122E-01  -.1913E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.135E-01  -.1870E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.149E-01  -.1826E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.165E-01  -.1783E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.182E-01  -.1739E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.201E-01  -.1696E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.223E-01  -.1652E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.246E-01  -.1609E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.272E-01  -.1566E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.301E-01  -.1522E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.332E-01  -.1479E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.367E-01  -.1435E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.406E-01  -.1392E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.448E-01  -.1348E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.496E-01  -.1305E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.548E-01  -.1261E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.605E-01  -.1218E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.669E-01  -.1175E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.739E-01  -.1131E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.817E-01  -.1088E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.903E-01  -.1044E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.998E-01  -.1001E+01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.110E+00  -.9573E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.122E+00  -.9139E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.135E+00  -.8704E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.149E+00  -.8270E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.165E+00  -.7835E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.182E+00  -.7401E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.201E+00  -.6967E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.222E+00  -.6532E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.246E+00  -.6098E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.271E+00  -.5663E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.300E+00  -.5229E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.332E+00  -.4794E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.366E+00  -.4360E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.405E+00  -.3925E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.448E+00  -.3491E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.495E+00  -.3057E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.547E+00  -.2622E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.604E+00  -.2188E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.668E+00  -.1753E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.738E+00  -.1319E+00   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.816E+00  -.8843E-01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.902E+00  -.4499E-01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.996E+00  -.1542E-02   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.110E+01   .4190E-01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.122E+01   .8535E-01   .0000E+00   .2580E+03   .2412E+01    1.0000
   .3480   -.135E+01   .1288E+00   .4320E-14   .2580E+03   .2412E+01    1.0000
   .3480   -.149E+01   .1722E+00   .1322E-13   .2580E+03   .2412E+01    1.0000
   .3480   -.164E+01   .2157E+00   .4045E-13   .2580E+03   .2412E+01    1.0000
   .3480   -.182E+01   .2591E+00   .1238E-12   .2580E+03   .2412E+01    1.0000
   .3480   -.201E+01   .3026E+00   .3787E-12   .2580E+03   .2412E+01    1.0000
   .3480   -.222E+01   .3460E+00   .1159E-11   .2580E+03   .2412E+01    1.0000
   .3480   -.245E+01   .3895E+00   .3546E-11   .2580E+03   .2412E+01    1.0000
   .3480   -.271E+01   .4329E+00   .1085E-10   .2580E+03   .2412E+01    1.0000
   .3480   -.299E+01   .4764E+00   .3320E-10   .2580E+03   .2412E+01    1.0000
   .3480   -.331E+01   .5198E+00   .1016E-09   .2580E+03   .2412E+01    1.0000
   .3480   -.366E+01   .5632E+00   .3109E-09   .2580E+03   .2412E+01    1.0000
   .3480   -.404E+01   .6067E+00   .9513E-09   .2580E+03   .2412E+01    1.0000
   .3480   -.447E+01   .6501E+00   .2911E-08   .2580E+03   .2412E+01    1.0000
   .3480   -.494E+01   .6936E+00   .8907E-08   .2580E+03   .2412E+01    1.0000
   .3480   -.546E+01   .7370E+00   .2726E-07   .2580E+03   .2412E+01    1.0000
   .3480   -.603E+01   .7805E+00   .8340E-07   .2580E+03   .2412E+01    1.0000
   .3480   -.667E+01   .8239E+00   .2552E-06   .2580E+03   .2412E+01    1.0000
   .3480   -.737E+01   .8674E+00   .7809E-06   .2580E+03   .2412E+01    1.0000
   .3480   -.814E+01   .9108E+00   .2390E-05   .2580E+03   .2412E+01    1.0000
   .3480   -.900E+01   .9542E+00   .7312E-05   .2580E+03   .2412E+01    1.0000
   .3480   -.995E+01   .9977E+00   .2237E-04   .2579E+03   .2411E+01     .9999
   .3479   -.110E+02   .1041E+01   .6844E-04   .2578E+03   .2411E+01     .9998
   .3478   -.122E+02   .1085E+01   .2092E-03   .2573E+03   .2410E+01     .9994
   .3473   -.134E+02   .1128E+01   .6382E-03   .2557E+03   .2408E+01     .9979
   .3456   -.148E+02   .1171E+01   .1932E-02   .2511E+03   .2400E+01     .9928
   .3401   -.164E+02   .1215E+01   .5705E-02   .2372E+03   .2375E+01     .9760
   .3229   -.181E+02   .1258E+01   .1555E-01   .1999E+03   .2301E+01     .9233
   .2765   -.200E+02   .1302E+01   .3363E-01   .1234E+03   .2091E+01     .7821
   .1906   -.221E+02   .1345E+01   .4388E-01   .3964E+02   .1598E+01     .5201
   .1023   -.245E+02   .1389E+01   .2925E-01   .5455E+01   .7368E+00     .2508
   .0514   -.270E+02   .1432E+01   .1198E-01   .4084E+00  -.3889E+00     .0958
   .0308   -.299E+02   .1476E+01   .3945E-02   .2334E-01  -.1632E+01     .0330
   .0236   -.330E+02   .1519E+01   .1206E-02   .1215E-02  -.2915E+01     .0109
   .0212   -.365E+02   .1562E+01   .3601E-03   .6150E-04  -.4211E+01     .0036
