

       Time         hAtm       hRoot     hKode3     hKode1        hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

        1.0000         .0         .0         .0      -27.3         .0         .0      -25.7
        5.0000         .0         .0         .0      -27.1         .0         .0      -27.8
       10.0000         .0         .0         .0      -27.1         .0         .0      -28.9
       15.0000         .0         .0         .0      -27.1         .0         .0      -29.2
       20.0000         .0         .0         .0      -27.1         .0         .0      -29.4
       30.0000         .0         .0         .0      -27.1         .0         .0      -29.8
       40.0000         .0         .0         .0      -27.1         .0         .0      -30.6
       50.0000         .0         .0         .0      -27.1         .0         .0      -30.9
end
