 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:   5. 3.    Time:  15:52:28
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00010
 Absolute pressure head tolerance [L]10.00000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .070   .300    .750E-01    .170E+01    .864E+00   .500
    2     .040   .380    .155E+00    .243E+01    .864E+03   .500
    3     .005   .420    .493E+01    .219E+01    .432E+05   .500
    4     .160   .440    .200E-02    .126E+01    .864E-02   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .3000   -.100E+00  -.1000E+01   .3929E-03   .8086E+00  -.9225E-01     .9999
   .3000   -.108E+00  -.9657E+00   .4152E-03   .8055E+00  -.9391E-01     .9999
   .3000   -.117E+00  -.9314E+00   .4388E-03   .8023E+00  -.9568E-01     .9999
   .3000   -.127E+00  -.8970E+00   .4637E-03   .7988E+00  -.9755E-01     .9998
   .3000   -.137E+00  -.8627E+00   .4901E-03   .7952E+00  -.9953E-01     .9998
   .3000   -.148E+00  -.8284E+00   .5179E-03   .7914E+00  -.1016E+00     .9998
   .2999   -.161E+00  -.7941E+00   .5473E-03   .7873E+00  -.1038E+00     .9998
   .2999   -.174E+00  -.7597E+00   .5784E-03   .7831E+00  -.1062E+00     .9997
   .2999   -.188E+00  -.7254E+00   .6112E-03   .7786E+00  -.1087E+00     .9997
   .2999   -.204E+00  -.6911E+00   .6459E-03   .7738E+00  -.1113E+00     .9997
   .2999   -.220E+00  -.6568E+00   .6825E-03   .7689E+00  -.1142E+00     .9996
   .2999   -.239E+00  -.6225E+00   .7212E-03   .7636E+00  -.1171E+00     .9996
   .2999   -.258E+00  -.5881E+00   .7621E-03   .7581E+00  -.1203E+00     .9995
   .2999   -.279E+00  -.5538E+00   .8052E-03   .7522E+00  -.1236E+00     .9994
   .2998   -.302E+00  -.5195E+00   .8508E-03   .7461E+00  -.1272E+00     .9993
   .2998   -.327E+00  -.4852E+00   .8989E-03   .7397E+00  -.1310E+00     .9992
   .2998   -.354E+00  -.4508E+00   .9496E-03   .7329E+00  -.1350E+00     .9991
   .2998   -.383E+00  -.4165E+00   .1003E-02   .7257E+00  -.1392E+00     .9990
   .2997   -.415E+00  -.3822E+00   .1060E-02   .7182E+00  -.1437E+00     .9989
   .2997   -.449E+00  -.3479E+00   .1119E-02   .7103E+00  -.1485E+00     .9987
   .2997   -.486E+00  -.3135E+00   .1182E-02   .7020E+00  -.1537E+00     .9985
   .2996   -.526E+00  -.2792E+00   .1249E-02   .6933E+00  -.1591E+00     .9983
   .2996   -.569E+00  -.2449E+00   .1319E-02   .6842E+00  -.1648E+00     .9981
   .2995   -.616E+00  -.2106E+00   .1392E-02   .6745E+00  -.1710E+00     .9978
   .2994   -.666E+00  -.1763E+00   .1470E-02   .6645E+00  -.1775E+00     .9975
   .2993   -.721E+00  -.1419E+00   .1552E-02   .6539E+00  -.1845E+00     .9971
   .2992   -.781E+00  -.1076E+00   .1638E-02   .6429E+00  -.1919E+00     .9967
   .2991   -.845E+00  -.7329E-01   .1728E-02   .6313E+00  -.1998E+00     .9962
   .2990   -.914E+00  -.3897E-01   .1823E-02   .6192E+00  -.2082E+00     .9957
   .2989   -.989E+00  -.4644E-02   .1922E-02   .6065E+00  -.2172E+00     .9951
   .2987   -.107E+01   .2968E-01   .2027E-02   .5933E+00  -.2267E+00     .9944
   .2985   -.116E+01   .6400E-01   .2136E-02   .5795E+00  -.2369E+00     .9936
   .2983   -.125E+01   .9832E-01   .2251E-02   .5651E+00  -.2478E+00     .9927
   .2981   -.136E+01   .1326E+00   .2370E-02   .5502E+00  -.2595E+00     .9917
   .2978   -.147E+01   .1670E+00   .2495E-02   .5346E+00  -.2719E+00     .9905
   .2975   -.159E+01   .2013E+00   .2625E-02   .5185E+00  -.2852E+00     .9891
   .2971   -.172E+01   .2356E+00   .2759E-02   .5018E+00  -.2995E+00     .9876
   .2967   -.186E+01   .2699E+00   .2899E-02   .4845E+00  -.3147E+00     .9859
   .2963   -.201E+01   .3043E+00   .3042E-02   .4666E+00  -.3310E+00     .9839
   .2958   -.218E+01   .3386E+00   .3190E-02   .4482E+00  -.3485E+00     .9816
   .2952   -.236E+01   .3729E+00   .3342E-02   .4293E+00  -.3672E+00     .9791
   .2945   -.255E+01   .4072E+00   .3496E-02   .4100E+00  -.3873E+00     .9762
   .2938   -.276E+01   .4416E+00   .3653E-02   .3902E+00  -.4088E+00     .9729
   .2929   -.299E+01   .4759E+00   .3811E-02   .3700E+00  -.4318E+00     .9692
   .2920   -.324E+01   .5102E+00   .3969E-02   .3495E+00  -.4565E+00     .9651
   .2909   -.350E+01   .5445E+00   .4125E-02   .3288E+00  -.4831E+00     .9604
   .2897   -.379E+01   .5788E+00   .4278E-02   .3080E+00  -.5115E+00     .9551
   .2883   -.410E+01   .6132E+00   .4427E-02   .2871E+00  -.5420E+00     .9492
   .2868   -.444E+01   .6475E+00   .4568E-02   .2662E+00  -.5747E+00     .9426
   .2851   -.481E+01   .6818E+00   .4699E-02   .2456E+00  -.6098E+00     .9353
   .2832   -.520E+01   .7161E+00   .4819E-02   .2252E+00  -.6474E+00     .9271
   .2811   -.563E+01   .7505E+00   .4925E-02   .2053E+00  -.6876E+00     .9180
   .2788   -.609E+01   .7848E+00   .5013E-02   .1859E+00  -.7307E+00     .9080
   .2763   -.659E+01   .8191E+00   .5081E-02   .1672E+00  -.7766E+00     .8970
   .2735   -.714E+01   .8534E+00   .5127E-02   .1494E+00  -.8257E+00     .8850
   .2705   -.772E+01   .8877E+00   .5148E-02   .1324E+00  -.8780E+00     .8719
   .2673   -.836E+01   .9221E+00   .5143E-02   .1165E+00  -.9337E+00     .8577
   .2637   -.904E+01   .9564E+00   .5110E-02   .1017E+00  -.9928E+00     .8423
   .2600   -.979E+01   .9907E+00   .5048E-02   .8800E-01  -.1056E+01     .8259
   .2559   -.106E+02   .1025E+01   .4957E-02   .7555E-01  -.1122E+01     .8084
   .2517   -.115E+02   .1059E+01   .4838E-02   .6431E-01  -.1192E+01     .7898
   .2472   -.124E+02   .1094E+01   .4692E-02   .5429E-01  -.1265E+01     .7703
   .2425   -.134E+02   .1128E+01   .4522E-02   .4544E-01  -.1343E+01     .7498
   .2376   -.145E+02   .1162E+01   .4331E-02   .3772E-01  -.1423E+01     .7286
   .2325   -.157E+02   .1197E+01   .4121E-02   .3106E-01  -.1508E+01     .7066
   .2273   -.170E+02   .1231E+01   .3897E-02   .2537E-01  -.1596E+01     .6841
   .2220   -.184E+02   .1265E+01   .3663E-02   .2056E-01  -.1687E+01     .6611
   .2167   -.199E+02   .1300E+01   .3423E-02   .1655E-01  -.1781E+01     .6378
   .2113   -.216E+02   .1334E+01   .3180E-02   .1322E-01  -.1879E+01     .6142
   .2058   -.233E+02   .1368E+01   .2939E-02   .1049E-01  -.1979E+01     .5906
   .2004   -.253E+02   .1403E+01   .2702E-02   .8278E-02  -.2082E+01     .5671
   .1951   -.273E+02   .1437E+01   .2472E-02   .6492E-02  -.2188E+01     .5438
   .1898   -.296E+02   .1471E+01   .2252E-02   .5064E-02  -.2296E+01     .5207
   .1845   -.320E+02   .1506E+01   .2043E-02   .3931E-02  -.2406E+01     .4980
   .1794   -.347E+02   .1540E+01   .1846E-02   .3037E-02  -.2518E+01     .4758
   .1744   -.375E+02   .1574E+01   .1662E-02   .2337E-02  -.2631E+01     .4540
   .1696   -.406E+02   .1609E+01   .1492E-02   .1792E-02  -.2747E+01     .4329
   .1649   -.439E+02   .1643E+01   .1335E-02   .1369E-02  -.2864E+01     .4124
   .1603   -.476E+02   .1677E+01   .1192E-02   .1042E-02  -.2982E+01     .3926
   .1559   -.515E+02   .1711E+01   .1062E-02   .7918E-03  -.3101E+01     .3735
   .1517   -.557E+02   .1746E+01   .9434E-03   .5999E-03  -.3222E+01     .3551
   .1476   -.603E+02   .1780E+01   .8368E-03   .4535E-03  -.3343E+01     .3374
   .1437   -.652E+02   .1814E+01   .7410E-03   .3422E-03  -.3466E+01     .3204
   .1400   -.706E+02   .1849E+01   .6551E-03   .2577E-03  -.3589E+01     .3042
   .1364   -.764E+02   .1883E+01   .5785E-03   .1938E-03  -.3713E+01     .2886
   .1330   -.827E+02   .1917E+01   .5102E-03   .1456E-03  -.3837E+01     .2738
   .1297   -.895E+02   .1952E+01   .4494E-03   .1092E-03  -.3962E+01     .2596
   .1266   -.968E+02   .1986E+01   .3956E-03   .8181E-04  -.4087E+01     .2461
   .1237   -.105E+03   .2020E+01   .3479E-03   .6124E-04  -.4213E+01     .2333
   .1208   -.113E+03   .2055E+01   .3058E-03   .4581E-04  -.4339E+01     .2211
   .1182   -.123E+03   .2089E+01   .2685E-03   .3424E-04  -.4466E+01     .2094
   .1156   -.133E+03   .2123E+01   .2357E-03   .2557E-04  -.4592E+01     .1984
   .1132   -.144E+03   .2158E+01   .2068E-03   .1909E-04  -.4719E+01     .1879
   .1109   -.156E+03   .2192E+01   .1814E-03   .1424E-04  -.4846E+01     .1780
   .1088   -.168E+03   .2226E+01   .1590E-03   .1062E-04  -.4974E+01     .1685
   .1067   -.182E+03   .2261E+01   .1393E-03   .7920E-05  -.5101E+01     .1596
   .1047   -.197E+03   .2295E+01   .1221E-03   .5902E-05  -.5229E+01     .1511
   .1029   -.213E+03   .2329E+01   .1069E-03   .4397E-05  -.5357E+01     .1430
   .1011   -.231E+03   .2364E+01   .9362E-04   .3276E-05  -.5485E+01     .1354
   .0995   -.250E+03   .2398E+01   .8196E-04   .2439E-05  -.5613E+01     .1281
end
 
   .3800   -.100E+00  -.1000E+01   .1947E-03   .8595E+03   .2934E+01    1.0000
   .3800   -.108E+00  -.9657E+00   .2180E-03   .8590E+03   .2934E+01    1.0000
   .3800   -.117E+00  -.9314E+00   .2440E-03   .8584E+03   .2934E+01    1.0000
   .3800   -.127E+00  -.8970E+00   .2732E-03   .8577E+03   .2933E+01    1.0000
   .3800   -.137E+00  -.8627E+00   .3059E-03   .8570E+03   .2933E+01     .9999
   .3800   -.148E+00  -.8284E+00   .3425E-03   .8561E+03   .2933E+01     .9999
   .3800   -.161E+00  -.7941E+00   .3835E-03   .8552E+03   .2932E+01     .9999
   .3800   -.174E+00  -.7597E+00   .4293E-03   .8541E+03   .2932E+01     .9999
   .3800   -.188E+00  -.7254E+00   .4807E-03   .8530E+03   .2931E+01     .9999
   .3800   -.204E+00  -.6911E+00   .5381E-03   .8516E+03   .2930E+01     .9999
   .3799   -.220E+00  -.6568E+00   .6025E-03   .8502E+03   .2930E+01     .9998
   .3799   -.239E+00  -.6225E+00   .6745E-03   .8485E+03   .2929E+01     .9998
   .3799   -.258E+00  -.5881E+00   .7551E-03   .8467E+03   .2928E+01     .9998
   .3799   -.279E+00  -.5538E+00   .8454E-03   .8446E+03   .2927E+01     .9997
   .3799   -.302E+00  -.5195E+00   .9464E-03   .8423E+03   .2925E+01     .9997
   .3799   -.327E+00  -.4852E+00   .1059E-02   .8397E+03   .2924E+01     .9996
   .3798   -.354E+00  -.4508E+00   .1186E-02   .8368E+03   .2923E+01     .9995
   .3798   -.383E+00  -.4165E+00   .1327E-02   .8335E+03   .2921E+01     .9994
   .3797   -.415E+00  -.3822E+00   .1486E-02   .8299E+03   .2919E+01     .9993
   .3797   -.449E+00  -.3479E+00   .1663E-02   .8259E+03   .2917E+01     .9991
   .3796   -.486E+00  -.3135E+00   .1861E-02   .8213E+03   .2915E+01     .9989
   .3795   -.526E+00  -.2792E+00   .2082E-02   .8163E+03   .2912E+01     .9987
   .3795   -.569E+00  -.2449E+00   .2329E-02   .8106E+03   .2909E+01     .9984
   .3793   -.616E+00  -.2106E+00   .2606E-02   .8043E+03   .2905E+01     .9981
   .3792   -.666E+00  -.1763E+00   .2914E-02   .7973E+03   .2902E+01     .9976
   .3790   -.721E+00  -.1419E+00   .3258E-02   .7894E+03   .2897E+01     .9971
