 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:   5. 3.    Time:  15:52:28
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

       Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
        [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

       25.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.389E+03   .000E+00   .000E+00   .145E+05
       50.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.778E+03   .000E+00   .000E+00   .151E+05
       75.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.117E+04   .000E+00   .000E+00   .174E+05
      100.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+04   .000E+00   .000E+00   .201E+05
      231.4810   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.360E+04   .000E+00   .000E+00   .332E+05
      347.2220   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.540E+04   .000E+00   .000E+00   .392E+05
      462.9630   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.720E+04   .000E+00   .000E+00   .414E+05
     1157.4100   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.180E+05   .000E+00   .000E+00   .505E+05
     2314.8100   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.360E+05   .000E+00   .000E+00   .660E+05
     5000.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.778E+05   .000E+00   .000E+00   .106E+06
end
