 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:   5. 3.    Time:  15:52:28
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All fluxes (v) are positive out of the region

       Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
        [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

       25.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+02   .000E+00   .000E+00   .120E+02
       50.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+02   .000E+00   .000E+00   .662E+02
       75.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+02   .000E+00   .000E+00   .106E+03
      100.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+02   .000E+00   .000E+00   .108E+03
      231.4810   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+02   .000E+00   .000E+00   .821E+02
      347.2220   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+02   .000E+00   .000E+00   .240E+02
      462.9630   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+02   .000E+00   .000E+00   .163E+02
     1157.4100   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+02   .000E+00   .000E+00   .130E+02
     2314.8100   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+02   .000E+00   .000E+00   .139E+02
     5000.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.156E+02   .000E+00   .000E+00   .154E+02
end
