 Flow under a dam                                                        
 
 Program HYDRUS2
 Date:  17. 2.    Time:  14:46:30
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00010
 Absolute pressure head tolerance [L]  .00100



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .078   .430    .360E+01    .156E+01    .250E+00   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .4300   -.100E-07  -.8000E+01   .4815E-04   .2496E+00  -.6028E+00    1.0000
   .4300   -.126E-07  -.7899E+01   .5484E-04   .2496E+00  -.6028E+00    1.0000
   .4300   -.159E-07  -.7798E+01   .6247E-04   .2496E+00  -.6028E+00    1.0000
   .4300   -.201E-07  -.7697E+01   .7116E-04   .2496E+00  -.6028E+00    1.0000
   .4300   -.254E-07  -.7596E+01   .8106E-04   .2495E+00  -.6028E+00    1.0000
   .4300   -.320E-07  -.7495E+01   .9234E-04   .2495E+00  -.6029E+00    1.0000
   .4300   -.404E-07  -.7394E+01   .1052E-03   .2495E+00  -.6029E+00    1.0000
   .4300   -.509E-07  -.7293E+01   .1198E-03   .2495E+00  -.6029E+00    1.0000
   .4300   -.643E-07  -.7192E+01   .1365E-03   .2495E+00  -.6029E+00    1.0000
   .4300   -.811E-07  -.7091E+01   .1555E-03   .2495E+00  -.6029E+00    1.0000
   .4300   -.102E-06  -.6990E+01   .1771E-03   .2495E+00  -.6030E+00    1.0000
   .4300   -.129E-06  -.6889E+01   .2017E-03   .2495E+00  -.6030E+00    1.0000
   .4300   -.163E-06  -.6788E+01   .2298E-03   .2494E+00  -.6030E+00    1.0000
   .4300   -.206E-06  -.6687E+01   .2618E-03   .2494E+00  -.6031E+00    1.0000
   .4300   -.260E-06  -.6586E+01   .2982E-03   .2494E+00  -.6031E+00    1.0000
   .4300   -.327E-06  -.6485E+01   .3397E-03   .2494E+00  -.6032E+00    1.0000
   .4300   -.413E-06  -.6384E+01   .3869E-03   .2493E+00  -.6032E+00    1.0000
   .4300   -.521E-06  -.6283E+01   .4407E-03   .2493E+00  -.6033E+00    1.0000
   .4300   -.658E-06  -.6182E+01   .5020E-03   .2492E+00  -.6034E+00    1.0000
   .4300   -.830E-06  -.6081E+01   .5719E-03   .2492E+00  -.6035E+00    1.0000
   .4300   -.105E-05  -.5980E+01   .6514E-03   .2491E+00  -.6035E+00    1.0000
   .4300   -.132E-05  -.5879E+01   .7421E-03   .2491E+00  -.6037E+00    1.0000
   .4300   -.167E-05  -.5778E+01   .8453E-03   .2490E+00  -.6038E+00    1.0000
   .4300   -.210E-05  -.5677E+01   .9629E-03   .2489E+00  -.6039E+00    1.0000
   .4300   -.266E-05  -.5576E+01   .1097E-02   .2488E+00  -.6041E+00    1.0000
   .4300   -.335E-05  -.5475E+01   .1249E-02   .2487E+00  -.6043E+00    1.0000
   .4300   -.423E-05  -.5374E+01   .1423E-02   .2486E+00  -.6045E+00    1.0000
   .4300   -.534E-05  -.5273E+01   .1621E-02   .2485E+00  -.6047E+00    1.0000
   .4300   -.673E-05  -.5172E+01   .1847E-02   .2483E+00  -.6050E+00    1.0000
   .4300   -.850E-05  -.5071E+01   .2104E-02   .2481E+00  -.6053E+00    1.0000
   .4300   -.107E-04  -.4970E+01   .2396E-02   .2479E+00  -.6057E+00    1.0000
   .4300   -.135E-04  -.4869E+01   .2730E-02   .2477E+00  -.6061E+00    1.0000
   .4300   -.171E-04  -.4768E+01   .3109E-02   .2474E+00  -.6066E+00    1.0000
   .4300   -.215E-04  -.4667E+01   .3542E-02   .2471E+00  -.6071E+00    1.0000
   .4300   -.272E-04  -.4566E+01   .4035E-02   .2468E+00  -.6077E+00    1.0000
   .4300   -.343E-04  -.4465E+01   .4596E-02   .2464E+00  -.6084E+00    1.0000
   .4300   -.433E-04  -.4364E+01   .5235E-02   .2459E+00  -.6092E+00    1.0000
   .4300   -.546E-04  -.4263E+01   .5963E-02   .2454E+00  -.6101E+00    1.0000
   .4300   -.689E-04  -.4162E+01   .6793E-02   .2448E+00  -.6111E+00    1.0000
   .4300   -.870E-04  -.4061E+01   .7738E-02   .2442E+00  -.6123E+00    1.0000
   .4300   -.110E-03  -.3960E+01   .8814E-02   .2434E+00  -.6136E+00    1.0000
   .4300   -.138E-03  -.3859E+01   .1004E-01   .2426E+00  -.6151E+00    1.0000
   .4300   -.175E-03  -.3758E+01   .1144E-01   .2416E+00  -.6169E+00    1.0000
   .4300   -.221E-03  -.3657E+01   .1303E-01   .2405E+00  -.6188E+00    1.0000
   .4300   -.278E-03  -.3556E+01   .1484E-01   .2393E+00  -.6211E+00    1.0000
   .4300   -.351E-03  -.3455E+01   .1690E-01   .2379E+00  -.6237E+00    1.0000
   .4300   -.443E-03  -.3354E+01   .1926E-01   .2362E+00  -.6266E+00    1.0000
   .4300   -.559E-03  -.3253E+01   .2193E-01   .2344E+00  -.6300E+00    1.0000
   .4300   -.705E-03  -.3152E+01   .2498E-01   .2323E+00  -.6339E+00    1.0000
   .4300   -.890E-03  -.3051E+01   .2846E-01   .2300E+00  -.6383E+00    1.0000
   .4300   -.112E-02  -.2949E+01   .3241E-01   .2273E+00  -.6434E+00     .9999
   .4300   -.142E-02  -.2848E+01   .3692E-01   .2243E+00  -.6492E+00     .9999
   .4300   -.179E-02  -.2747E+01   .4205E-01   .2209E+00  -.6559E+00     .9999
   .4299   -.226E-02  -.2646E+01   .4789E-01   .2170E+00  -.6635E+00     .9998
   .4299   -.285E-02  -.2545E+01   .5453E-01   .2127E+00  -.6723E+00     .9997
   .4299   -.359E-02  -.2444E+01   .6209E-01   .2077E+00  -.6825E+00     .9996
   .4298   -.453E-02  -.2343E+01   .7068E-01   .2022E+00  -.6942E+00     .9994
   .4297   -.572E-02  -.2242E+01   .8043E-01   .1960E+00  -.7077E+00     .9992
   .4296   -.722E-02  -.2141E+01   .9149E-01   .1891E+00  -.7233E+00     .9988
   .4294   -.911E-02  -.2040E+01   .1040E+00   .1813E+00  -.7415E+00     .9983
   .4291   -.115E-01  -.1939E+01   .1181E+00   .1727E+00  -.7627E+00     .9975
   .4287   -.145E-01  -.1838E+01   .1340E+00   .1632E+00  -.7874E+00     .9964
   .4282   -.183E-01  -.1737E+01   .1518E+00   .1527E+00  -.8163E+00     .9949
   .4274   -.231E-01  -.1636E+01   .1714E+00   .1412E+00  -.8503E+00     .9927
   .4263   -.292E-01  -.1535E+01   .1930E+00   .1287E+00  -.8904E+00     .9896
