 Flow under a dam                                                        
 
 Program HYDRUS2
 Date:  18. 2.    Time:  11:49:50
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 


 Time:     25.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1  -70.0     .0    1   .141E+00  -.678E-01       50.0   .430     20.00  .931E-05
    2   52   80.0     .0    2  -.111E+00   .568E-01         .0   .430     20.00  .000E+00
    3   53   76.1     .0    2  -.220E+00   .572E-01         .0   .430     20.00  .000E+00
    4   54   72.3     .0    2  -.217E+00   .585E-01         .0   .430     20.00  .000E+00
    5   55   68.7     .0    2  -.216E+00   .607E-01         .0   .430     20.00  .000E+00
    6   56   65.2     .0    2  -.218E+00   .637E-01         .0   .430     20.00  .000E+00
    7   57   61.8     .0    2  -.223E+00   .678E-01         .0   .430     20.00  .000E+00
    8   58   58.6     .0    2  -.229E+00   .727E-01         .0   .430     20.00  .000E+00
    9   59   55.6     .0    2  -.237E+00   .790E-01         .0   .430     20.00  .000E+00
   10   60   52.6     .0    2  -.249E+00   .870E-01         .0   .430     20.00  .000E+00
   11   61   49.8     .0    2  -.263E+00   .966E-01         .0   .430     20.00  .000E+00
   12   62   47.2     .0    2  -.283E+00   .110E+00         .0   .430     20.00  .000E+00
   13   63   44.7     .0    2  -.309E+00   .126E+00         .0   .430     20.00  .109E-27
   14   64   42.3     .0    2  -.345E+00   .150E+00         .0   .430     20.00  .907E-27
   15   65   40.1     .0    2  -.390E+00   .180E+00         .0   .430     20.00  .451E-26
   16   66   38.0     .0    2  -.430E+00   .212E+00         .0   .430     20.00  .801E-26
   17   67   36.0     .0    2  -.222E+00   .227E+00         .0   .430     20.00  .611E-26
   18  124  -20.0     .0    1   .117E+00  -.112E+00       50.0   .430     20.00  .484E-07
   19  125  -22.1     .0    1   .236E+00  -.109E+00       50.0   .430     20.00 -.144E-06
   20  126  -24.3     .0    1   .240E+00  -.105E+00       50.0   .430     20.00 -.895E-05
   21  127  -26.7     .0    1   .245E+00  -.101E+00       50.0   .430     20.00  .248E-03
   22  128  -29.2     .0    1   .250E+00  -.972E-01       50.0   .430     20.00  .410E-02
   23  129  -31.8     .0    1   .256E+00  -.945E-01       50.0   .430     20.00  .533E-01
   24  130  -34.6     .0    1   .259E+00  -.909E-01       50.0   .430     20.00  .678E+00
   25  131  -37.5     .0    1   .263E+00  -.880E-01       50.0   .430     20.00  .722E+00
   26  132  -40.6     .0    1   .265E+00  -.847E-01       50.0   .430     20.00  .720E+00
   27  133  -43.7     .0    1   .266E+00  -.815E-01       50.0   .430     20.00  .713E+00
   28  134  -47.1     .0    1   .267E+00  -.785E-01       50.0   .430     20.00  .701E+00
   29  135  -50.6     .0    1   .267E+00  -.753E-01       50.0   .430     20.00  .699E+00
   30  136  -54.2     .0    1   .268E+00  -.729E-01       50.0   .430     20.00  .660E+00
   31  137  -57.9     .0    1   .271E+00  -.708E-01       50.0   .430     20.00  .253E-01
   32  138  -61.8     .0    1   .274E+00  -.692E-01       50.0   .430     20.00 -.108E-02
   33  139  -65.8     .0    1   .279E+00  -.682E-01       50.0   .430     20.00 -.956E-04


 Time:     50.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1  -70.0     .0    1   .141E+00  -.678E-01       50.0   .430     20.00  .782E-05
    2   52   80.0     .0    2  -.111E+00   .568E-01         .0   .430     20.00  .000E+00
    3   53   76.1     .0    2  -.220E+00   .572E-01         .0   .430     20.00  .000E+00
    4   54   72.3     .0    2  -.217E+00   .585E-01         .0   .430     20.00  .656E-28
    5   55   68.7     .0    2  -.216E+00   .607E-01         .0   .430     20.00 -.113E-26
    6   56   65.2     .0    2  -.218E+00   .637E-01         .0   .430     20.00  .274E-25
    7   57   61.8     .0    2  -.223E+00   .678E-01         .0   .430     20.00 -.281E-24
    8   58   58.6     .0    2  -.229E+00   .727E-01         .0   .430     20.00  .536E-23
    9   59   55.6     .0    2  -.237E+00   .790E-01         .0   .430     20.00  .972E-22
   10   60   52.6     .0    2  -.249E+00   .870E-01         .0   .430     20.00  .661E-22
   11   61   49.8     .0    2  -.263E+00   .966E-01         .0   .430     20.00  .319E-19
   12   62   47.2     .0    2  -.283E+00   .110E+00         .0   .430     20.00  .537E-18
   13   63   44.7     .0    2  -.309E+00   .126E+00         .0   .430     20.00  .541E-17
   14   64   42.3     .0    2  -.345E+00   .150E+00         .0   .430     20.00  .280E-16
   15   65   40.1     .0    2  -.390E+00   .180E+00         .0   .430     20.00  .802E-16
   16   66   38.0     .0    2  -.430E+00   .212E+00         .0   .430     20.00  .104E-15
   17   67   36.0     .0    2  -.222E+00   .227E+00         .0   .430     20.00  .796E-16
   18  124  -20.0     .0    1   .117E+00  -.112E+00       50.0   .430     20.00  .143E-06
   19  125  -22.1     .0    1   .236E+00  -.109E+00       50.0   .430     20.00  .239E-04
   20  126  -24.3     .0    1   .240E+00  -.105E+00       50.0   .430     20.00  .183E-03
   21  127  -26.7     .0    1   .245E+00  -.101E+00       50.0   .430     20.00  .226E-02
   22  128  -29.2     .0    1   .250E+00  -.972E-01       50.0   .430     20.00  .143E-01
   23  129  -31.8     .0    1   .256E+00  -.945E-01       50.0   .430     20.00  .909E-01
   24  130  -34.6     .0    1   .259E+00  -.909E-01       50.0   .430     20.00  .767E+00
   25  131  -37.5     .0    1   .263E+00  -.880E-01       50.0   .430     20.00  .843E+00
   26  132  -40.6     .0    1   .265E+00  -.847E-01       50.0   .430     20.00  .850E+00
   27  133  -43.7     .0    1   .266E+00  -.815E-01       50.0   .430     20.00  .845E+00
   28  134  -47.1     .0    1   .267E+00  -.785E-01       50.0   .430     20.00  .836E+00
   29  135  -50.6     .0    1   .267E+00  -.753E-01       50.0   .430     20.00  .833E+00
   30  136  -54.2     .0    1   .268E+00  -.729E-01       50.0   .430     20.00  .760E+00
   31  137  -57.9     .0    1   .271E+00  -.708E-01       50.0   .430     20.00  .590E-01
   32  138  -61.8     .0    1   .274E+00  -.692E-01       50.0   .430     20.00  .181E-02
   33  139  -65.8     .0    1   .279E+00  -.682E-01       50.0   .430     20.00 -.685E-03


 Time:    100.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1  -70.0     .0    1   .141E+00  -.678E-01       50.0   .430     20.00 -.253E-03
    2   52   80.0     .0    2  -.111E+00   .568E-01         .0   .430     20.00  .104E-19
    3   53   76.1     .0    2  -.220E+00   .572E-01         .0   .430     20.00 -.958E-19
    4   54   72.3     .0    2  -.217E+00   .585E-01         .0   .430     20.00  .985E-18
    5   55   68.7     .0    2  -.216E+00   .607E-01         .0   .430     20.00 -.551E-17
    6   56   65.2     .0    2  -.218E+00   .637E-01         .0   .430     20.00  .163E-15
    7   57   61.8     .0    2  -.223E+00   .678E-01         .0   .430     20.00 -.117E-14
    8   58   58.6     .0    2  -.229E+00   .727E-01         .0   .430     20.00  .216E-13
    9   59   55.6     .0    2  -.237E+00   .790E-01         .0   .430     20.00  .133E-12
   10   60   52.6     .0    2  -.249E+00   .870E-01         .0   .430     20.00  .129E-11
   11   61   49.8     .0    2  -.263E+00   .966E-01         .0   .430     20.00  .223E-10
   12   62   47.2     .0    2  -.283E+00   .110E+00         .0   .430     20.00  .156E-09
   13   63   44.7     .0    2  -.309E+00   .126E+00         .0   .430     20.00  .736E-09
   14   64   42.3     .0    2  -.345E+00   .150E+00         .0   .430     20.00  .213E-08
   15   65   40.1     .0    2  -.390E+00   .180E+00         .0   .430     20.00  .364E-08
   16   66   38.0     .0    2  -.430E+00   .212E+00         .0   .430     20.00  .357E-08
   17   67   36.0     .0    2  -.222E+00   .227E+00         .0   .430     20.00  .286E-08
   18  124  -20.0     .0    1   .117E+00  -.112E+00       50.0   .430     20.00  .136E-03
   19  125  -22.1     .0    1   .236E+00  -.109E+00       50.0   .430     20.00  .393E-03
   20  126  -24.3     .0    1   .240E+00  -.105E+00       50.0   .430     20.00  .145E-02
   21  127  -26.7     .0    1   .245E+00  -.101E+00       50.0   .430     20.00  .701E-02
   22  128  -29.2     .0    1   .250E+00  -.972E-01       50.0   .430     20.00  .276E-01
   23  129  -31.8     .0    1   .256E+00  -.945E-01       50.0   .430     20.00  .122E+00
   24  130  -34.6     .0    1   .259E+00  -.909E-01       50.0   .430     20.00  .825E+00
   25  131  -37.5     .0    1   .263E+00  -.880E-01       50.0   .430     20.00  .923E+00
   26  132  -40.6     .0    1   .265E+00  -.847E-01       50.0   .430     20.00  .941E+00
   27  133  -43.7     .0    1   .266E+00  -.815E-01       50.0   .430     20.00  .940E+00
   28  134  -47.1     .0    1   .267E+00  -.785E-01       50.0   .430     20.00  .935E+00
   29  135  -50.6     .0    1   .267E+00  -.753E-01       50.0   .430     20.00  .927E+00
   30  136  -54.2     .0    1   .268E+00  -.729E-01       50.0   .430     20.00  .832E+00
   31  137  -57.9     .0    1   .271E+00  -.708E-01       50.0   .430     20.00  .909E-01
   32  138  -61.8     .0    1   .274E+00  -.692E-01       50.0   .430     20.00  .888E-02
   33  139  -65.8     .0    1   .279E+00  -.682E-01       50.0   .430     20.00 -.985E-03


 Time:    200.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1  -70.0     .0    1   .141E+00  -.678E-01       50.0   .430     20.00 -.250E-03
    2   52   80.0     .0    2  -.111E+00   .568E-01         .0   .430     20.00  .716E-12
    3   53   76.1     .0    2  -.220E+00   .572E-01         .0   .430     20.00 -.426E-11
    4   54   72.3     .0    2  -.217E+00   .585E-01         .0   .430     20.00  .182E-10
    5   55   68.7     .0    2  -.216E+00   .607E-01         .0   .430     20.00  .161E-09
