 Flow Through the Dike with a Seepage Face                               
 
 Program HYDRUS2
 Date:   6. 4.    Time:   7:27:33
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 


 Time:      2.5000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1 -100.0     .0    1   .267E-01  -.203E-01       50.0   .430     20.00  .102E+00
    2   39  100.0     .0    1  -.845E-01   .623E-01       10.0   .430     20.00  .671E-18
    3   40   97.8    1.6    1  -.165E+01   .598E+00        8.4   .430     20.00  .292E-17
    4   41   95.5    3.2    1  -.528E+01   .185E+01        6.8   .430     20.00  .198E-16
    5   42   93.1    4.8    1  -.107E+02   .363E+01        5.2   .430     20.00  .108E-15
    6   43   90.7    6.5    1  -.181E+02   .595E+01        3.5   .430     20.00  .535E-15
    7   44   88.1    8.3    1  -.282E+02   .900E+01        1.7   .430     20.00  .292E-14
    8   45   85.5   10.1    1  -.629E+02   .195E+02        -.1   .430     20.00  .108E-13
    9   46   82.8   12.0    2  -.287E+02   .864E+01         .0   .430     20.00  .234E-13
   10   47   80.1   13.9    2  -.188E+02   .552E+01         .0   .430     20.00  .365E-13
   11   48   77.2   15.9    2  -.494E+01   .141E+01         .0   .430     20.00  .523E-13
   12   49   74.3   18.0   -2   .000E+00   .000E+00        -.4   .430     20.00  .938E-13
   13   50   71.3   20.1   -2   .000E+00   .000E+00       -1.1   .429     20.00  .177E-12
   14   51   68.3   22.2   -2   .000E+00   .000E+00       -2.0   .428     20.00  .369E-12
   15   52   65.1   24.4   -2   .000E+00   .000E+00       -3.1   .426     20.00  .733E-12
   16   53   61.9   26.7   -2   .000E+00   .000E+00       -4.3   .423     20.00  .813E-12
   17   54   58.6   29.0   -2   .000E+00   .000E+00       -5.6   .420     20.00  .151E-11
   18   55   55.2   31.3   -2   .000E+00   .000E+00       -7.0   .416     20.00  .452E-11
   19   56   51.8   33.7   -2   .000E+00   .000E+00       -8.5   .412     20.00  .206E-11
   20   57   48.3   36.2   -2   .000E+00   .000E+00      -10.1   .407     20.00  .831E-11
   21   58   44.7   38.7   -2   .000E+00   .000E+00      -11.8   .402     20.00  .223E-10
   22   59   41.0   41.3   -2   .000E+00   .000E+00      -13.6   .396     20.00  .494E-10
   23   60   37.2   43.9   -2   .000E+00   .000E+00      -15.6   .389     20.00  .108E-09
   24   61   33.4   46.6   -2   .000E+00   .000E+00      -17.9   .382     20.00  .227E-09
   25   62   29.5   49.3   -2   .000E+00   .000E+00      -20.6   .374     20.00  .560E-09
   26   63   25.5   52.1   -2   .000E+00   .000E+00      -24.0   .363     20.00  .132E-08
   27   64   21.5   55.0   -2   .000E+00   .000E+00      -28.4   .351     20.00  .448E-08
   28   65   17.3   57.9   -4   .000E+00   .000E+00      -33.5   .338     20.00  .129E-07
   29   66   13.1   60.8   -4   .000E+00   .000E+00      -39.0   .325     20.00  .410E-07
   30   67    8.8   63.8   -4   .000E+00   .000E+00      -45.6   .311     20.00  .955E-07
   31   68    4.4   66.9   -4   .000E+00   .000E+00      -52.9   .298     20.00  .619E-06
   32   69     .0   70.0   -4   .000E+00   .000E+00      -57.8   .290     20.00  .118E-05
   33   70   -5.0   70.0   -4   .000E+00   .000E+00      -56.0   .293     20.00  .142E-04
   34   71  -10.0   70.0   -4   .000E+00   .000E+00      -51.2   .301     20.00  .814E-04
   35   72  -15.0   70.0   -4   .000E+00   .000E+00      -46.4   .309     20.00  .388E-03
   36   73  -20.0   70.0   -4   .000E+00   .000E+00      -42.5   .317     20.00  .186E-02
   37   74  -24.0   66.5   -4   .000E+00   .000E+00      -34.1   .336     20.00  .111E-01
   38   75  -27.8   63.2   -4   .000E+00   .000E+00      -25.7   .358     20.00  .528E-01
   39   76  -31.6   59.8   -4   .000E+00   .000E+00      -18.6   .380     20.00  .145E+00
   40   77  -35.3   56.6   -4   .000E+00   .000E+00      -12.4   .400     20.00  .292E+00
   41   78  -39.0   53.4   -4   .000E+00   .000E+00       -6.6   .418     20.00  .456E+00
   42   79  -42.6   50.3    1   .648E+02  -.138E+02        -.3   .430     20.00  .754E+00
   43   80  -46.1   47.2    1   .470E+02  -.102E+02        2.8   .430     20.00  .752E+00
   44   81  -49.5   44.2    1   .359E+02  -.799E+01        5.8   .430     20.00  .738E+00
   45   82  -52.8   41.3    1   .294E+02  -.669E+01        8.7   .430     20.00  .713E+00
   46   83  -56.1   38.4    1   .251E+02  -.585E+01       11.6   .430     20.00  .687E+00
   47   84  -59.3   35.6    1   .216E+02  -.516E+01       14.4   .430     20.00  .659E+00
   48   85  -62.4   32.9    1   .186E+02  -.455E+01       17.1   .430     20.00  .630E+00
   49   86  -65.4   30.2    1   .161E+02  -.403E+01       19.8   .430     20.00  .601E+00
   50   87  -68.4   27.7    1   .139E+02  -.357E+01       22.3   .430     20.00  .572E+00
   51   88  -71.3   25.1    1   .120E+02  -.316E+01       24.9   .430     20.00  .542E+00
   52   89  -74.1   22.7    1   .102E+02  -.278E+01       27.3   .430     20.00  .510E+00
   53   90  -76.8   20.3    1   .870E+01  -.243E+01       29.7   .430     20.00  .478E+00
   54   91  -79.5   17.9    1   .731E+01  -.210E+01       32.1   .430     20.00  .445E+00
   55   92  -82.1   15.7    1   .607E+01  -.179E+01       34.3   .430     20.00  .408E+00
   56   93  -84.6   13.5    1   .486E+01  -.148E+01       36.5   .430     20.00  .367E+00
   57   94  -87.0   11.4    1   .388E+01  -.122E+01       38.6   .430     20.00  .326E+00
   58   95  -89.4    9.3    1   .301E+01  -.979E+00       40.7   .430     20.00  .281E+00
   59   96  -91.6    7.3    1   .211E+01  -.708E+00       42.7   .430     20.00  .232E+00
   60   97  -93.8    5.4    1   .143E+01  -.497E+00       44.6   .430     20.00  .187E+00
   61   98  -96.0    3.5    1   .850E+00  -.306E+00       46.5   .430     20.00  .146E+00
   62   99  -98.0    1.7    1   .342E+00  -.128E+00       48.3   .430     20.00  .116E+00


 Time:      5.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1 -100.0     .0    1   .264E-01  -.201E-01       50.0   .430     20.00  .190E+00
    2   39  100.0     .0    1  -.849E-01   .626E-01       10.0   .430     20.00  .151E-10
    3   40   97.8    1.6    1  -.166E+01   .601E+00        8.4   .430     20.00  .365E-10
    4   41   95.5    3.2    1  -.531E+01   .186E+01        6.8   .430     20.00  .129E-09
    5   42   93.1    4.8    1  -.108E+02   .365E+01        5.2   .430     20.00  .396E-09
    6   43   90.7    6.5    1  -.182E+02   .598E+01        3.5   .430     20.00  .111E-08
    7   44   88.1    8.3    1  -.283E+02   .904E+01        1.7   .430     20.00  .330E-08
    8   45   85.5   10.1    1  -.631E+02   .195E+02        -.1   .430     20.00  .796E-08
    9   46   82.8   12.0    2  -.290E+02   .873E+01         .0   .430     20.00  .131E-07
   10   47   80.1   13.9    2  -.193E+02   .566E+01         .0   .430     20.00  .172E-07
   11   48   77.2   15.9    2  -.604E+01   .172E+01         .0   .430     20.00  .208E-07
   12   49   74.3   18.0   -2   .000E+00   .000E+00        -.3   .430     20.00  .277E-07
   13   50   71.3   20.1   -2   .000E+00   .000E+00       -1.0   .429     20.00  .382E-07
   14   51   68.3   22.2   -2   .000E+00   .000E+00       -2.0   .428     20.00  .560E-07
   15   52   65.1   24.4   -2   .000E+00   .000E+00       -3.1   .426     20.00  .793E-07
   16   53   61.9   26.7   -2   .000E+00   .000E+00       -4.3   .423     20.00  .890E-07
   17   54   58.6   29.0   -2   .000E+00   .000E+00       -5.5   .420     20.00  .120E-06
   18   55   55.2   31.3   -2   .000E+00   .000E+00       -6.9   .417     20.00  .209E-06
   19   56   51.8   33.7   -2   .000E+00   .000E+00       -8.4   .412     20.00  .185E-06
   20   57   48.3   36.2   -2   .000E+00   .000E+00       -9.9   .408     20.00  .294E-06
   21   58   44.7   38.7   -2   .000E+00   .000E+00      -11.6   .402     20.00  .456E-06
   22   59   41.0   41.3   -2   .000E+00   .000E+00      -13.4   .396     20.00  .726E-06
   23   60   37.2   43.9   -2   .000E+00   .000E+00      -15.4   .390     20.00  .105E-05
   24   61   33.4   46.6   -2   .000E+00   .000E+00      -17.6   .383     20.00  .169E-05
   25   62   29.5   49.3   -2   .000E+00   .000E+00      -20.2   .375     20.00  .288E-05
   26   63   25.5   52.1   -2   .000E+00   .000E+00      -23.5   .365     20.00  .520E-05
   27   64   21.5   55.0   -2   .000E+00   .000E+00      -27.8   .353     20.00  .116E-04
   28   65   17.3   57.9   -4   .000E+00   .000E+00      -32.4   .341     20.00  .224E-04
   29   66   13.1   60.8   -4   .000E+00   .000E+00      -37.4   .328     20.00  .420E-04
   30   67    8.8   63.8   -4   .000E+00   .000E+00      -43.1   .316     20.00  .675E-04
   31   68    4.4   66.9   -4   .000E+00   .000E+00      -49.1   .304     20.00  .149E-03
   32   69     .0   70.0   -4   .000E+00   .000E+00      -53.3   .297     20.00  .233E-03
   33   70   -5.0   70.0   -4   .000E+00   .000E+00      -51.9   .300     20.00  .104E-02
   34   71  -10.0   70.0   -4   .000E+00   .000E+00      -48.3   .306     20.00  .364E-02
   35   72  -15.0   70.0   -4   .000E+00   .000E+00      -44.5   .313     20.00  .106E-01
   36   73  -20.0   70.0   -4   .000E+00   .000E+00      -41.2   .320     20.00  .265E-01
   37   74  -24.0   66.5   -4   .000E+00   .000E+00      -33.3   .338     20.00  .797E-01
   38   75  -27.8   63.2   -4   .000E+00   .000E+00      -25.4   .359     20.00  .200E+00
   39   76  -31.6   59.8   -4   .000E+00   .000E+00      -18.4   .380     20.00  .352E+00
   40   77  -35.3   56.6   -4   .000E+00   .000E+00      -12.3   .400     20.00  .507E+00
   41   78  -39.0   53.4   -4   .000E+00   .000E+00       -6.5   .418     20.00  .636E+00
