 Flow Through the Dike with a Seepage Face                               
 
 Program HYDRUS2
 Date:   6. 4.    Time:   7:27:33
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

       Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
        [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

         .0100   .000E+00   .199E+01   .000E+00   .199E+01   .000E+00  -.317E+02   .000E+00   .000E+00   .000E+00
         .0170   .000E+00   .338E+01   .000E+00   .338E+01   .000E+00  -.427E+02   .000E+00   .000E+00   .000E+00
         .0219   .000E+00   .436E+01   .000E+00   .436E+01   .000E+00  -.490E+02   .000E+00   .000E+00   .000E+00
         .0253   .000E+00   .504E+01   .000E+00   .504E+01   .000E+00  -.530E+02   .000E+00   .000E+00   .000E+00
         .0288   .000E+00   .573E+01   .000E+00   .573E+01   .000E+00  -.567E+02   .000E+00   .000E+00   .000E+00
         .0322   .000E+00   .641E+01   .000E+00   .641E+01   .000E+00  -.602E+02   .000E+00   .000E+00   .000E+00
         .0356   .000E+00   .709E+01   .000E+00   .709E+01   .000E+00  -.634E+02   .000E+00   .000E+00   .000E+00
         .0391   .000E+00   .778E+01   .000E+00   .777E+01   .000E+00  -.666E+02   .000E+00   .000E+00   .000E+00
         .0425   .000E+00   .846E+01   .000E+00   .845E+01   .000E+00  -.696E+02   .000E+00   .000E+00   .000E+00
         .0459   .000E+00   .914E+01   .000E+00   .912E+01   .000E+00  -.726E+02   .000E+00   .000E+00   .000E+00
         .0494   .000E+00   .983E+01   .000E+00   .979E+01   .000E+00  -.754E+02   .000E+00   .000E+00   .000E+00
         .0528   .000E+00   .105E+02   .000E+00   .105E+02   .000E+00  -.782E+02   .000E+00   .000E+00   .000E+00
         .0562   .000E+00   .112E+02   .000E+00   .111E+02   .000E+00  -.809E+02   .000E+00   .000E+00   .000E+00
         .0596   .000E+00   .119E+02   .000E+00   .118E+02   .000E+00  -.835E+02   .000E+00   .000E+00   .000E+00
         .0631   .000E+00   .126E+02   .000E+00   .125E+02   .000E+00  -.861E+02   .000E+00   .000E+00   .000E+00
         .0665   .000E+00   .132E+02   .000E+00   .131E+02   .000E+00  -.886E+02   .000E+00   .000E+00   .000E+00
         .0699   .000E+00   .139E+02   .000E+00   .138E+02   .000E+00  -.910E+02   .000E+00   .000E+00   .000E+00
         .0734   .000E+00   .146E+02   .000E+00   .144E+02   .000E+00  -.934E+02   .000E+00   .000E+00   .000E+00
         .0768   .000E+00   .153E+02   .000E+00   .151E+02   .000E+00  -.958E+02   .000E+00   .000E+00   .000E+00
         .0802   .000E+00   .160E+02   .000E+00   .157E+02   .000E+00  -.981E+02   .000E+00   .000E+00   .000E+00
         .0837   .000E+00   .167E+02   .000E+00   .164E+02   .000E+00  -.100E+03   .000E+00   .000E+00   .000E+00
