

       Time         hAtm       hRoot     hKode3     hKode1        hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

         .0100      -53.6      -37.3         .0       20.2      -23.8         .0         .0
         .0170      -53.5      -37.3         .0       20.2      -23.8         .0         .0
         .0219      -53.4      -37.1         .0       20.2      -23.8         .0         .0
         .0253      -53.4      -36.9         .0       20.2      -23.8         .0         .0
         .0288      -53.4      -36.8         .0       20.2      -23.8         .0         .0
         .0322      -53.5      -36.6         .0       20.2      -23.8         .0         .0
         .0356      -53.5      -36.4         .0       20.2      -23.9         .0         .0
         .0391      -53.5      -36.2         .0       20.2      -23.9         .0         .0
         .0425      -53.6      -36.0         .0       20.2      -23.9         .0         .0
         .0459      -53.6      -35.8         .0       20.2      -23.9         .0         .0
         .0494      -53.6      -35.6         .0       20.2      -23.9         .0         .0
         .0528      -53.7      -35.4         .0       20.2      -23.9         .0         .0
         .0562      -53.8      -35.3         .0       20.2      -23.9         .0         .0
         .0596      -53.8      -35.1         .0       20.2      -23.9         .0         .0
         .0631      -53.9      -34.9         .0       20.2      -23.9         .0         .0
         .0665      -54.0      -34.8         .0       20.2      -23.9         .0         .0
         .0699      -54.0      -34.6         .0       20.2      -23.9         .0         .0
         .0734      -54.1      -34.5         .0       20.2      -23.9         .0         .0
         .0768      -54.2      -34.3         .0       20.2      -23.9         .0         .0
         .0802      -54.2      -34.2         .0       20.2      -23.9         .0         .0
         .0837      -54.3      -34.0         .0       20.2      -23.9         .0         .0
         .0871      -54.4      -33.9         .0       20.2      -23.9         .0         .0
         .0905      -54.5      -33.8         .0       20.2      -23.8         .0         .0
         .0940      -54.6      -33.6         .0       20.2      -23.8         .0         .0
         .0974      -54.6      -33.5         .0       20.2      -23.8         .0         .0
         .1008      -54.7      -33.4         .0       20.2      -23.8         .0         .0
         .1053      -54.8      -33.2         .0       20.2      -23.8         .0         .0
         .1111      -55.0      -33.0         .0       20.2      -23.7         .0         .0
         .1169      -55.1      -32.8         .0       20.2      -23.7         .0         .0
         .1227      -55.3      -32.6         .0       20.2      -23.7         .0         .0
         .1285      -55.4      -32.4         .0       20.2      -23.6         .0         .0
         .1343      -55.6      -32.2         .0       20.2      -23.5         .0         .0
         .1418      -55.8      -31.9         .0       20.2      -23.5         .0         .0
         .1494      -56.0      -31.7         .0       20.2      -23.4         .0         .0
         .1569      -56.2      -31.5         .0       20.2      -23.3         .0         .0
