


                               Node(320)                                           Node(422)                                           Node(519)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .000    -35.562   .3327   20.000   .000E+00   .000E+00      -12.165   .4005   20.000   .000E+00   .000E+00      -22.797   .3669   20.000   .000E+00   .000E+00
       .010    -18.847   .3790   20.000   .133E-02   .000E+00      -11.968   .4012   20.000   .147E-29   .000E+00      -22.799   .3669   20.000   .000E+00   .000E+00
       .017    -10.782   .4049   20.000   .462E-02   .000E+00      -11.551   .4025   20.000   .196E-25   .000E+00      -22.801   .3669   20.000   .000E+00   .000E+00
       .022     -7.519   .4149   20.000   .828E-02   .000E+00      -11.023   .4041   20.000   .460E-24   .000E+00      -22.802   .3669   20.000   .000E+00   .000E+00
       .025     -5.959   .4192   20.000   .112E-01   .000E+00      -10.530   .4057   20.000   .353E-23   .000E+00      -22.803   .3669   20.000   .000E+00   .000E+00
       .029     -4.992   .4217   20.000   .142E-01   .000E+00       -9.916   .4076   20.000   .355E-22   .000E+00      -22.803   .3669   20.000   .000E+00   .000E+00
       .032     -4.311   .4233   20.000   .173E-01   .000E+00       -9.189   .4099   20.000   .309E-21   .000E+00      -22.803   .3669   20.000   .000E+00   .000E+00
       .036     -3.773   .4245   20.000   .203E-01   .000E+00       -8.357   .4124   20.000   .214E-20   .000E+00      -22.803   .3669   20.000   .000E+00   .000E+00
       .039     -3.356   .4254   20.000   .234E-01   .000E+00       -7.457   .4150   20.000   .122E-19   .000E+00      -22.801   .3669   20.000   .000E+00   .000E+00
       .042     -3.012   .4261   20.000   .265E-01   .000E+00       -6.457   .4178   20.000   .606E-19   .000E+00      -22.798   .3669   20.000   .000E+00   .000E+00
       .046     -2.705   .4267   20.000   .296E-01   .000E+00       -5.577   .4202   20.000   .238E-18   .000E+00      -22.793   .3669   20.000   .000E+00   .000E+00
       .049     -2.462   .4272   20.000   .328E-01   .000E+00       -4.796   .4222   20.000   .796E-18   .000E+00      -22.787   .3669   20.000   .000E+00   .000E+00
       .053     -2.250   .4275   20.000   .359E-01   .000E+00       -4.070   .4239   20.000   .241E-17   .000E+00      -22.778   .3670   20.000   .000E+00   .000E+00
       .056     -2.021   .4279   20.000   .391E-01   .000E+00       -3.396   .4253   20.000   .676E-17   .000E+00      -22.766   .3670   20.000   .000E+00   .000E+00
       .060     -1.815   .4282   20.000   .423E-01   .000E+00       -2.761   .4266   20.000   .178E-16   .000E+00      -22.752   .3671   20.000   .000E+00   .000E+00
       .063     -1.622   .4285   20.000   .456E-01   .000E+00       -2.187   .4276   20.000   .437E-16   .000E+00      -22.733   .3671   20.000   .000E+00   .000E+00
       .067     -1.453   .4287   20.000   .489E-01   .000E+00       -1.649   .4285   20.000   .101E-15   .000E+00      -22.711   .3672   20.000   .000E+00   .000E+00
