 Flow Through the Dike with a Seepage Face                               
 
 Program HYDRUS2
 Date:   6. 4.    Time:   7:27:33
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All fluxes (v) are positive out of the region

       Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
        [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

         .0100   .000E+00   .300E+01   .000E+00   .300E+01   .000E+00  -.317E+04   .000E+00   .000E+00   .000E+00
         .0170   .000E+00   .300E+01   .000E+00   .300E+01   .000E+00  -.157E+04   .000E+00   .000E+00   .000E+00
         .0219   .000E+00   .300E+01   .000E+00   .300E+01   .000E+00  -.129E+04   .000E+00   .000E+00   .000E+00
         .0253   .000E+00   .300E+01   .000E+00   .300E+01   .000E+00  -.116E+04   .000E+00   .000E+00   .000E+00
         .0288   .000E+00   .300E+01   .000E+00   .300E+01   .000E+00  -.108E+04   .000E+00   .000E+00   .000E+00
         .0322   .000E+00   .300E+01   .000E+00   .300E+01   .000E+00  -.102E+04   .000E+00   .000E+00   .000E+00
         .0356   .000E+00   .300E+01   .000E+00   .299E+01   .000E+00  -.959E+03   .000E+00   .000E+00   .000E+00
         .0391   .000E+00   .300E+01   .000E+00   .298E+01   .000E+00  -.919E+03   .000E+00   .000E+00   .000E+00
         .0425   .000E+00   .300E+01   .000E+00   .296E+01   .000E+00  -.886E+03   .000E+00   .000E+00   .000E+00
         .0459   .000E+00   .300E+01   .000E+00   .295E+01   .000E+00  -.857E+03   .000E+00   .000E+00   .000E+00
         .0494   .000E+00   .300E+01   .000E+00   .295E+01   .000E+00  -.833E+03   .000E+00   .000E+00   .000E+00
         .0528   .000E+00   .300E+01   .000E+00   .295E+01   .000E+00  -.808E+03   .000E+00   .000E+00   .000E+00
         .0562   .000E+00   .300E+01   .000E+00   .294E+01   .000E+00  -.784E+03   .000E+00   .000E+00   .000E+00
         .0596   .000E+00   .300E+01   .000E+00   .293E+01   .000E+00  -.763E+03   .000E+00   .000E+00   .000E+00
         .0631   .000E+00   .300E+01   .000E+00   .291E+01   .000E+00  -.745E+03   .000E+00   .000E+00   .000E+00
         .0665   .000E+00   .300E+01   .000E+00   .290E+01   .000E+00  -.729E+03   .000E+00   .000E+00   .000E+00
         .0699   .000E+00   .300E+01   .000E+00   .289E+01   .000E+00  -.713E+03   .000E+00   .000E+00   .000E+00
         .0734   .000E+00   .300E+01   .000E+00   .288E+01   .000E+00  -.699E+03   .000E+00   .000E+00   .000E+00
         .0768   .000E+00   .300E+01   .000E+00   .287E+01   .000E+00  -.686E+03   .000E+00   .000E+00   .000E+00
