 Tracer-Experiment W. Wichtmann, Drän = 1 Knoten                         
 
 Program HYDRUS2
 Date:  16. 8.    Time:  19:16:42
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mg   

 Max. number of iterations             30
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L]10.00000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .100   .425    .440E-01    .119E+01    .179E+02   .500
    2     .100   .324    .317E-01    .122E+01    .102E+02   .500
    3     .000   .352    .282E-01    .119E+01    .212E+02   .500
    4     .100   .343    .236E-01    .115E+01    .219E+02   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .4253   -.100E-02  -.3000E+01   .4134E-03   .1291E+02   .1111E+01    1.0000
   .4253   -.113E-02  -.2945E+01   .4231E-03   .1280E+02   .1107E+01    1.0000
   .4253   -.129E-02  -.2891E+01   .4330E-03   .1269E+02   .1103E+01    1.0000
   .4253   -.146E-02  -.2836E+01   .4432E-03   .1257E+02   .1099E+01    1.0000
   .4253   -.165E-02  -.2782E+01   .4537E-03   .1245E+02   .1095E+01    1.0000
   .4253   -.187E-02  -.2727E+01   .4643E-03   .1233E+02   .1091E+01    1.0000
   .4253   -.212E-02  -.2673E+01   .4753E-03   .1221E+02   .1087E+01    1.0000
   .4253   -.241E-02  -.2618E+01   .4865E-03   .1208E+02   .1082E+01    1.0000
   .4253   -.273E-02  -.2564E+01   .4979E-03   .1196E+02   .1078E+01    1.0000
   .4253   -.310E-02  -.2509E+01   .5096E-03   .1183E+02   .1073E+01    1.0000
   .4253   -.351E-02  -.2455E+01   .5216E-03   .1169E+02   .1068E+01    1.0000
   .4253   -.398E-02  -.2400E+01   .5339E-03   .1156E+02   .1063E+01    1.0000
   .4253   -.451E-02  -.2346E+01   .5465E-03   .1142E+02   .1058E+01    1.0000
   .4253   -.511E-02  -.2291E+01   .5593E-03   .1128E+02   .1052E+01    1.0000
   .4253   -.580E-02  -.2237E+01   .5725E-03   .1114E+02   .1047E+01    1.0000
   .4253   -.657E-02  -.2182E+01   .5860E-03   .1100E+02   .1041E+01    1.0000
   .4253   -.745E-02  -.2128E+01   .5997E-03   .1085E+02   .1035E+01    1.0000
   .4253   -.845E-02  -.2073E+01   .6139E-03   .1070E+02   .1029E+01    1.0000
   .4253   -.958E-02  -.2019E+01   .6283E-03   .1055E+02   .1023E+01    1.0000
   .4253   -.109E-01  -.1964E+01   .6431E-03   .1040E+02   .1017E+01    1.0000
   .4253   -.123E-01  -.1910E+01   .6582E-03   .1024E+02   .1010E+01    1.0000
   .4253   -.140E-01  -.1855E+01   .6737E-03   .1008E+02   .1004E+01    1.0000
   .4253   -.158E-01  -.1800E+01   .6895E-03   .9922E+01   .9966E+00    1.0000
   .4253   -.180E-01  -.1746E+01   .7057E-03   .9759E+01   .9894E+00    1.0000
   .4253   -.204E-01  -.1691E+01   .7223E-03   .9593E+01   .9820E+00    1.0000
   .4253   -.231E-01  -.1637E+01   .7393E-03   .9425E+01   .9743E+00    1.0000
   .4253   -.262E-01  -.1582E+01   .7566E-03   .9254E+01   .9663E+00     .9999
   .4253   -.297E-01  -.1528E+01   .7744E-03   .9081E+01   .9581E+00     .9999
   .4253   -.336E-01  -.1473E+01   .7926E-03   .8906E+01   .9497E+00     .9999
   .4253   -.381E-01  -.1419E+01   .8112E-03   .8728E+01   .9409E+00     .9999
   .4253   -.432E-01  -.1364E+01   .8302E-03   .8548E+01   .9319E+00     .9999
   .4253   -.490E-01  -.1310E+01   .8496E-03   .8365E+01   .9225E+00     .9999
   .4253   -.556E-01  -.1255E+01   .8695E-03   .8181E+01   .9128E+00     .9999
   .4253   -.630E-01  -.1201E+01   .8899E-03   .7994E+01   .9028E+00     .9999
   .4253   -.714E-01  -.1146E+01   .9107E-03   .7805E+01   .8924E+00     .9998
   .4253   -.810E-01  -.1092E+01   .9319E-03   .7614E+01   .8816E+00     .9998
   .4253   -.918E-01  -.1037E+01   .9536E-03   .7421E+01   .8704E+00     .9998
   .4252   -.104E+00  -.9826E+00   .9758E-03   .7226E+01   .8589E+00     .9997
   .4252   -.118E+00  -.9281E+00   .9985E-03   .7029E+01   .8469E+00     .9997
   .4252   -.134E+00  -.8735E+00   .1022E-02   .6830E+01   .8344E+00     .9996
   .4252   -.152E+00  -.8190E+00   .1045E-02   .6630E+01   .8215E+00     .9996
   .4252   -.172E+00  -.7645E+00   .1069E-02   .6428E+01   .8081E+00     .9995
   .4251   -.195E+00  -.7100E+00   .1094E-02   .6225E+01   .7941E+00     .9994
   .4251   -.221E+00  -.6554E+00   .1119E-02   .6020E+01   .7796E+00     .9994
   .4251   -.251E+00  -.6009E+00   .1144E-02   .5814E+01   .7645E+00     .9993
   .4250   -.284E+00  -.5464E+00   .1170E-02   .5607E+01   .7488E+00     .9991
   .4250   -.322E+00  -.4919E+00   .1197E-02   .5400E+01   .7324E+00     .9990
   .4250   -.365E+00  -.4373E+00   .1223E-02   .5192E+01   .7153E+00     .9988
   .4249   -.414E+00  -.3828E+00   .1250E-02   .4983E+01   .6975E+00     .9987
   .4248   -.470E+00  -.3283E+00   .1278E-02   .4774E+01   .6789E+00     .9984
   .4247   -.532E+00  -.2738E+00   .1305E-02   .4565E+01   .6594E+00     .9982
   .4246   -.604E+00  -.2192E+00   .1333E-02   .4357E+01   .6391E+00     .9979
   .4245   -.684E+00  -.1647E+00   .1361E-02   .4148E+01   .6179E+00     .9976
   .4244   -.776E+00  -.1102E+00   .1389E-02   .3941E+01   .5956E+00     .9972
   .4243   -.880E+00  -.5567E-01   .1417E-02   .3735E+01   .5723E+00     .9967
   .4241   -.997E+00  -.1145E-02   .1445E-02   .3531E+01   .5479E+00     .9962
   .4239   -.113E+01   .5338E-01   .1473E-02   .3328E+01   .5222E+00     .9956
   .4237   -.128E+01   .1079E+00   .1500E-02   .3128E+01   .4953E+00     .9949
   .4234   -.145E+01   .1624E+00   .1526E-02   .2931E+01   .4670E+00     .9941
   .4231   -.165E+01   .2170E+00   .1551E-02   .2736E+01   .4372E+00     .9932
   .4228   -.187E+01   .2715E+00   .1575E-02   .2546E+01   .4058E+00     .9921
   .4224   -.212E+01   .3260E+00   .1598E-02   .2359E+01   .3727E+00     .9909
   .4219   -.240E+01   .3805E+00   .1618E-02   .2177E+01   .3379E+00     .9895
   .4214   -.272E+01   .4351E+00   .1636E-02   .2000E+01   .3011E+00     .9879
