 Tracer-Experiment W. Wichtmann, Drän = 1 Knoten                         
 
 Program HYDRUS2
 Date:  16. 8.    Time:  19:16:42
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mg   
 All cumulative fluxes (CumQ) are positive out of the region

       Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
        [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

         .0010  -.290E+00   .000E+00  -.290E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0020  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .408E-08   .000E+00
         .0033  -.961E+00   .000E+00  -.961E+00   .000E+00   .000E+00   .000E+00   .000E+00   .951E-08   .000E+00
         .0050  -.145E+01   .000E+00  -.145E+01   .000E+00   .000E+00   .000E+00   .000E+00   .148E-07   .000E+00
         .0072  -.210E+01   .000E+00  -.210E+01   .000E+00   .000E+00   .000E+00   .000E+00   .228E-07   .000E+00
         .0101  -.294E+01   .000E+00  -.294E+01   .000E+00   .000E+00   .000E+00   .000E+00   .330E-07   .000E+00
         .0139  -.403E+01   .000E+00  -.403E+01   .000E+00   .000E+00   .000E+00   .000E+00   .473E-07   .000E+00
         .0186  -.542E+01   .000E+00  -.542E+01   .000E+00   .000E+00   .000E+00   .000E+00   .652E-07   .000E+00
         .0249  -.723E+01   .000E+00  -.723E+01   .000E+00   .000E+00   .000E+00   .000E+00   .878E-07   .000E+00
         .0332  -.966E+01   .000E+00  -.966E+01   .000E+00   .000E+00   .000E+00   .000E+00   .118E-06   .000E+00
         .0444  -.129E+02   .000E+00  -.129E+02   .000E+00   .000E+00   .000E+00   .000E+00   .160E-06   .000E+00
         .0583  -.169E+02   .000E+00  -.169E+02   .000E+00   .000E+00   .000E+00   .000E+00   .212E-06   .000E+00
         .0791  -.230E+02   .000E+00  -.230E+02   .000E+00   .000E+00   .000E+00   .000E+00   .288E-06   .000E+00
         .1000  -.290E+02   .000E+00  -.290E+02   .000E+00   .000E+00   .000E+00   .000E+00   .366E-06   .000E+00
         .1233  -.290E+02   .000E+00  -.290E+02   .000E+00   .000E+00   .000E+00   .000E+00   .452E-06   .000E+00
         .1536  -.290E+02   .000E+00  -.290E+02   .000E+00   .000E+00   .000E+00   .000E+00   .564E-06   .000E+00
         .1930  -.290E+02   .000E+00  -.290E+02   .000E+00   .000E+00   .000E+00   .000E+00   .708E-06   .000E+00
         .2441  -.290E+02   .000E+00  -.290E+02   .000E+00   .000E+00   .000E+00   .000E+00   .900E-06   .000E+00
         .3104  -.290E+02   .000E+00  -.290E+02   .000E+00   .000E+00   .000E+00   .000E+00   .115E-05   .000E+00
         .3969  -.290E+02   .000E+00  -.290E+02   .000E+00   .000E+00   .000E+00   .000E+00   .147E-05   .000E+00
