Pcp_File_Version=2
*** BLOCK ?: DOMAIN INFORMATION ******************************************************
Number of Solutes   Equilibrium
    1              1
Nodal Information
    n   Code       h           Q        M     Beta     Axz      Bxz      Dxz     Temp     Conc(1..NS)   
    1     0         100             0   4       0        1        1        1          20            0 
    2     0         100             0   4       0        1        1        1          20            0 
    3     0         100             0   4       0        1        1        1          20            0 
    4     0         100             0   4       0        1        1        1          20            0 
    5     0         100             0   4       0        1        1        1          20            0 
    6     0         100             0   4       0        1        1        1          20            0 
    7     0         100             0   4       0        1        1        1          20            0 
    8     0         100             0   4       0        1        1        1          20            0 
    9     0         100             0   4       0        1        1        1          20            0 
   10     0         100             0   4       0        1        1        1          20            0 
   11     0         100             0   4       0        1        1        1          20            0 
   12     0         100             0   4       0        1        1        1          20            0 
   13     0         100             0   4       0        1        1        1          20            0 
   14     0         100             0   4       0        1        1        1          20            0 
   15     0         100             0   4       0        1        1        1          20            0 
   16     0         100             0   4       0        1        1        1          20            0 
   17     0         100             0   4       0        1        1        1          20            0 
   18     0         100             0   4       0        1        1        1          20            0 
   19     0         100             0   4       0        1        1        1          20            0 
   20     0         100             0   4       0        1        1        1          20            0 
   21     0         100             0   4       0        1        1        1          20            0 
   22     0          85             0   4       0        1        1        1          20            0 
   23     0          70             0   4       0        1        1        1          20            0 
   24     0          55             0   4       0        1        1        1          20            0 
   25     0          40             0   4       0        1        1        1          20            0 
   26     0          30             0   4       0        1        1        1          20            0 
   27     0          20             0   4       0        1        1        1          20            0 
   28     0          10             0   4       0        1        1        1          20            0 
   29     0           3             0   4       0        1        1        1          20            0 
   30     0           0             0   4       0        1        1        1          20            0 
   31     0          -3             0   4       0        1        1        1          20            0 
   32     0         -10             0   4       0        1        1        1          20            0 
   33     0         -20             0   4       0        1        1        1          20            0 
   34     0         -30             0   3       0        1        1        1          20            0 
   35     0         -40             0   3       0        1        1        1          20            0 
   36     0         -50             0   3       0        1        1        1          20            0 
   37     0         -60             0   3       0        1        1        1          20            0 
   38     0         -62             0   2       0        1        1        1          20            0 
   39     0       -64.5             0   2       0        1        1        1          20            0 
   40     0         -67             0   2       0        1        1        1          20            0 
   41     0         -70             0   1       0        1        1        1          20            0 
   42     0         -75             0   1       0        1        1        1          20            0 
   43     0         -85             0   1       0        1        1        1          20            0 
   44     0         -92             0   1       0        1        1        1          20            0 
   45     0         -97             0   1       0        1        1        1          20            0 
   46    -4        -100             0   1       0        1        1        1          20            0 
   47    -4        -100             0   1       0        1        1        1          20            0 
   48    -4        -100             0   1       0        1        1        1          20            0 
   49    -4        -100             0   1       0        1        1        1          20            0 
   50    -4        -100             0   1       0        1        1        1          20            0 
   51    -4        -100             0   1       0        1        1        1          20            0 
   52    -4        -100             0   1       0        1        1        1          20            0 
   53    -4        -100             0   1       0        1        1        1          20            0 
   54    -4        -100             0   1       0        1        1        1          20            0 
   55    -4        -100             0   1       0        1        1        1          20            0 
   56    -4        -100             0   1       0        1        1        1          20            0 
   57    -4        -100             0   1       0        1        1        1          20            0 
   58    -4        -100             0   1       0        1        1        1          20            0 
   59    -4        -100             0   1       0        1        1        1          20            0 
   60    -4        -100             0   1       0        1        1        1          20            0 
   61    -4        -100             0   1       0        1        1        1          20            0 
   62    -4        -100             0   1       0        1        1        1          20            0 
   63    -4        -100             0   1       0        1        1        1          20            0 
   64    -4        -100             0   1       0        1        1        1          20            0 
   65    -4        -100             0   1       0        1        1        1          20            0 
   66    -4        -100             0   1       0        1        1        1          20            0 
   67     0         -97             0   1       0        1        1        1          20            0 
   68     0         -92             0   1       0        1        1        1          20            0 
   69     0         -85             0   1       0        1        1        1          20            0 
   70     0         -75             0   1       0        1        1        1          20            0 
   71     0         -70             0   1       0        1        1        1          20            0 
   72     0         -67             0   2       0        1        1        1          20            0 
   73     0       -64.5             0   2       0        1        1        1          20            0 
   74     0         -62             0   2       0        1        1        1          20            0 
   75     0         -60             0   3       0        1        1        1          20            0 
   76     0         -50             0   3       0        1        1        1          20            0 
   77     0         -40             0   3       0        1        1        1          20            0 
   78     0         -30             0   3       0        1        1        1          20            0 
   79     0         -20             0   4       0        1        1        1          20            0 
   80     0         -10             0   4       0        1        1        1          20            0 
   81     0          -3             0   4       0        1        1        1          20            0 
   82     0           0             0   4       0        1        1        1          20            0 
   83     0           3             0   4       0        1        1        1          20            0 
   84     0          10             0   4       0        1        1        1          20            0 
   85     0          20             0   4       0        1        1        1          20            0 
   86     0          30             0   4       0        1        1        1          20            0 
   87     0          40             0   4       0        1        1        1          20            0 
   88     0          55             0   4       0        1        1        1          20            0 
   89     0          70             0   4       0        1        1        1          20            0 
   90     0          85             0   4       0        1        1        1          20            0 
   91     0          85             0   4       0        1        1        1          20            0 
   92     0          85             0   4       0        1        1        1          20            0 
   93     0          85             0   4       0        1        1        1          20            0 
   94     0          85             0   4       0        1        1        1          20            0 
   95     0          85             0   4       0        1        1        1          20            0 
   96     0          85             0   4       0        1        1        1          20            0 
   97     0          85             0   4       0        1        1        1          20            0 
