

       Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6 ... 
       [T]          [L]         [L]        [L]        [L]        [L]        [L]        [L]

         .0010      -99.0         .0         .0         .0         .0         .0         .0
         .0020      -98.0         .0         .0         .0         .0         .0         .0
         .0033      -96.7         .0         .0         .0         .0         .0         .0
         .0050      -95.1         .0         .0         .0         .0         .0         .0
         .0072      -93.0         .0         .0         .0         .0         .0         .0
         .0101      -90.5         .0         .0         .0         .0         .0         .0
         .0139      -87.4         .0         .0         .0         .0         .0         .0
         .0186      -83.5         .0         .0         .0         .0         .0         .0
         .0249      -79.0         .0         .0         .0         .0         .0         .0
         .0332      -73.8         .0         .0         .0         .0         .0         .0
         .0444      -67.9         .0         .0         .0         .0         .0         .0
         .0583      -61.9         .0         .0         .0         .0         .0         .0
         .0791      -55.3         .0         .0         .0         .0         .0         .0
         .1000      -50.6         .0         .0         .0         .0         .0         .0
         .1233      -56.1         .0         .0         .0         .0         .0         .0
         .1536      -61.3         .0         .0         .0         .0         .0         .0
         .1930      -66.3         .0         .0         .0         .0         .0         .0
         .2441      -70.5         .0         .0         .0         .0         .0         .0
         .3104      -74.3         .0         .0         .0         .0         .0         .0
         .3969      -77.3         .0         .0         .0         .0         .0         .0
         .5099      -79.8         .0         .0         .0         .0         .0         .0
         .6559      -82.1         .0         .0         .0         .0         .0         .0
         .8466      -84.2         .0         .0         .0         .0         .0         .0
        1.0940      -86.0         .0         .0         .0         .0         .0         .0
        1.4121      -87.6         .0         .0         .0         .0         .0         .0
        1.8210      -89.1         .0         .0         .0         .0         .0         .0
        2.3663      -90.4         .0         .0         .0         .0         .0         .0
        3.0603      -91.6         .0         .0         .0         .0         .0         .0
        3.9277      -92.7         .0         .0         .0         .0         .0         .0
        5.1422      -93.7         .0         .0         .0         .0         .0         .0
        6.7615      -94.6         .0         .0         .0         .0         .0         .0
        8.3807      -95.3         .0         .0         .0         .0         .0         .0
       10.0000      -95.9         .0         .0         .0         .0         .0         .0
       12.8750      -96.6         .0         .0         .0         .0         .0         .0
       15.7500      -97.1         .0         .0         .0         .0         .0         .0
       18.6250      -97.6         .0         .0         .0         .0         .0         .0
       21.5000      -97.9         .0         .0         .0         .0         .0         .0
       21.5010      -95.2         .0         .0         .0         .0         .0         .0
       21.5023      -91.7         .0         .0         .0         .0         .0         .0
       21.5040      -87.7         .0         .0         .0         .0         .0         .0
       21.5062      -82.4         .0         .0         .0         .0         .0         .0
