


                               Node(280)                                           Node(331)                                           Node(443)                                           Node(517)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .000     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .000E+00   .000E+00      -92.000   .3443   20.000   .000E+00   .000E+00
       .001     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .000E+00   .000E+00      -92.000   .3443   20.000   .561E-12   .000E+00
       .002     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .000E+00   .000E+00      -92.000   .3443   20.000   .338E-11   .000E+00
       .003     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .561E-29   .000E+00      -92.000   .3443   20.000   .147E-10   .000E+00
       .005     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .754E-28   .000E+00      -92.000   .3443   20.000   .518E-10   .000E+00
       .007     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .823E-27   .000E+00      -92.000   .3443   20.000   .162E-09   .000E+00
       .010     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .813E-26   .000E+00      -92.000   .3443   20.000   .476E-09   .000E+00
       .014     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .718E-25   .000E+00      -91.999   .3443   20.000   .133E-08   .000E+00
       .019     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .577E-24   .000E+00      -91.997   .3443   20.000   .358E-08   .000E+00
       .025     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .460E-23   .000E+00      -91.993   .3443   20.000   .969E-08   .000E+00
       .033     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .384E-22   .000E+00      -91.982   .3443   20.000   .271E-07   .000E+00
       .044     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .332E-21   .000E+00      -91.956   .3443   20.000   .780E-07   .000E+00
       .058     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .256E-20   .000E+00      -91.901   .3444   20.000   .218E-06   .000E+00
       .079     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .293E-19   .000E+00      -91.751   .3444   20.000   .719E-06   .000E+00
       .100     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .165E-18   .000E+00      -91.522   .3445   20.000   .180E-05   .000E+00
       .123     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .792E-18   .000E+00      -91.228   .3446   20.000   .382E-05   .000E+00
       .154     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .431E-17   .000E+00      -90.790   .3448   20.000   .744E-05   .000E+00
       .193     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .245E-16   .000E+00      -90.192   .3451   20.000   .133E-04   .000E+00
       .244     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .137E-15   .000E+00      -89.399   .3455   20.000   .222E-04   .000E+00
       .310     -3.000   .3411   20.000   .000E+00   .000E+00      -30.000   .3207   20.000   .000E+00   .000E+00      -67.000   .2782   20.000   .740E-15   .000E+00      -88.459   .3459   20.000   .354E-04   .000E+00
