 Tracer-Experiment W. Wichtmann, Drän = 1 Knoten                         
 
 Program HYDRUS2
 Date:  16. 8.    Time:  19:16:42
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mg   
 All fluxes (v) are positive out of the region

       Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
        [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

         .0010  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0020  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .408E-05   .000E+00
         .0033  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .416E-05   .000E+00
         .0050  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .311E-05   .000E+00
         .0072  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .361E-05   .000E+00
         .0101  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .354E-05   .000E+00
         .0139  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .381E-05   .000E+00
         .0186  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .375E-05   .000E+00
         .0249  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .362E-05   .000E+00
         .0332  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .357E-05   .000E+00
         .0444  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .377E-05   .000E+00
         .0583  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .375E-05   .000E+00
         .0791  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .365E-05   .000E+00
         .1000  -.581E+00   .000E+00  -.581E+00   .000E+00   .000E+00   .000E+00   .000E+00   .377E-05   .000E+00
         .1233   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .369E-05   .000E+00
         .1536   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .368E-05   .000E+00
         .1930   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .366E-05   .000E+00
         .2441   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .375E-05   .000E+00
