 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  18. 2.    Time:  13:52:45
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 


 Time:       .1000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0    1.7   -3   .103E-02  -.150E+00        -.2   .362     20.00  .455E+00
    2    2     .0    1.7   -3   .103E-02  -.150E+00        -.2   .361     20.00  .455E+00
    3    3     .0    1.7   -3   .103E-02  -.150E+00        -.2   .362     20.00  .455E+00
    4    4     .0    1.7   -3   .103E-02  -.150E+00        -.2   .361     20.00  .456E+00
    5    5     .0    1.7   -3   .103E-02  -.150E+00        -.2   .362     20.00  .456E+00
    6    6     .0    1.7   -3   .103E-02  -.150E+00        -.2   .362     20.00  .450E+00
    7    7     .0    1.7   -3   .103E-02  -.150E+00        -.2   .363     20.00  .446E+00
    8    8     .0    1.7   -3   .103E-02  -.150E+00        -.2   .363     20.00  .445E+00
    9    9     .0    1.7   -3   .103E-02  -.150E+00        -.2   .362     20.00  .450E+00
   10   30    -.5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   11   31    -.4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   12   32    -.3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   13   33    -.2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   14   34    -.1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   15   35     .1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   16   36     .2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   17   37     .3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   18   38     .4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   19   39     .5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   20   66     .2    2.0   -4   .000E+00   .000E+00       -1.5   .211     20.00  .000E+00
   21   67     .2    2.0   -4   .000E+00   .000E+00       -1.5   .210     20.00  .000E+00
   22   68     .1    2.0   -4   .000E+00   .000E+00       -1.5   .210     20.00  .000E+00
   23   69     .1    2.0   -4   .000E+00   .000E+00       -1.5   .210     20.00  .000E+00
   24   70     .1    2.0   -4   .000E+00   .000E+00       -1.5   .210     20.00  .603E-29
   25   71     .0    2.0   -4   .000E+00   .000E+00       -1.5   .210     20.00  .232E-28
   26   72     .0    2.0   -4   .000E+00   .000E+00       -1.5   .210     20.00  .219E-28
   27   73    -.1    2.0   -4   .000E+00   .000E+00       -1.5   .210     20.00  .600E-29
   28   74    -.1    2.0   -4   .000E+00   .000E+00       -1.5   .210     20.00  .000E+00
   29   75    -.1    2.0   -4   .000E+00   .000E+00       -1.5   .210     20.00  .000E+00
   30   76    -.2    2.0   -4   .000E+00   .000E+00       -1.5   .210     20.00  .000E+00


 Time:       .5000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0    1.7   -3   .103E-02  -.150E+00        -.2   .381     20.00  .636E+00
    2    2     .0    1.7   -3   .103E-02  -.150E+00        -.2   .381     20.00  .637E+00
    3    3     .0    1.7   -3   .103E-02  -.150E+00        -.2   .381     20.00  .638E+00
    4    4     .0    1.7   -3   .103E-02  -.150E+00        -.2   .381     20.00  .639E+00
    5    5     .0    1.7   -3   .103E-02  -.150E+00        -.2   .381     20.00  .638E+00
    6    6     .0    1.7   -3   .103E-02  -.150E+00        -.2   .381     20.00  .633E+00
    7    7     .0    1.7   -3   .103E-02  -.150E+00        -.2   .381     20.00  .628E+00
    8    8     .0    1.7   -3   .103E-02  -.150E+00        -.2   .381     20.00  .626E+00
    9    9     .0    1.7   -3   .103E-02  -.150E+00        -.2   .381     20.00  .632E+00
   10   30    -.5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   11   31    -.4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   12   32    -.3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   13   33    -.2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   14   34    -.1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   15   35     .1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   16   36     .2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   17   37     .3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   18   38     .4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   19   39     .5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   20   66     .2    2.0   -4   .000E+00   .000E+00       -1.6   .208     20.00  .210E-25
   21   67     .2    2.0   -4   .000E+00   .000E+00       -1.7   .204     20.00  .371E-22
   22   68     .1    2.0   -4   .000E+00   .000E+00       -1.7   .203     20.00  .534E-19
   23   69     .1    2.0   -4   .000E+00   .000E+00       -1.7   .202     20.00  .609E-18
   24   70     .1    2.0   -4   .000E+00   .000E+00       -1.7   .202     20.00  .679E-17
   25   71     .0    2.0   -4   .000E+00   .000E+00       -1.7   .202     20.00  .187E-16
   26   72     .0    2.0   -4   .000E+00   .000E+00       -1.7   .202     20.00  .178E-16
   27   73    -.1    2.0   -4   .000E+00   .000E+00       -1.7   .202     20.00  .786E-17
   28   74    -.1    2.0   -4   .000E+00   .000E+00       -1.7   .202     20.00  .408E-17
   29   75    -.1    2.0   -4   .000E+00   .000E+00       -1.7   .202     20.00  .224E-17
   30   76    -.2    2.0   -4   .000E+00   .000E+00       -1.7   .204     20.00  .179E-20


 Time:      1.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0    1.7   -3   .103E-02  -.150E+00        -.2   .386     20.00  .723E+00
    2    2     .0    1.7   -3   .103E-02  -.150E+00        -.2   .386     20.00  .724E+00
    3    3     .0    1.7   -3   .103E-02  -.150E+00        -.2   .386     20.00  .726E+00
    4    4     .0    1.7   -3   .103E-02  -.150E+00        -.2   .386     20.00  .726E+00
    5    5     .0    1.7   -3   .103E-02  -.150E+00        -.2   .386     20.00  .725E+00
    6    6     .0    1.7   -3   .103E-02  -.150E+00        -.2   .386     20.00  .720E+00
    7    7     .0    1.7   -3   .103E-02  -.150E+00        -.2   .386     20.00  .715E+00
    8    8     .0    1.7   -3   .103E-02  -.150E+00        -.2   .386     20.00  .713E+00
    9    9     .0    1.7   -3   .103E-02  -.150E+00        -.2   .386     20.00  .719E+00
   10   30    -.5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   11   31    -.4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   12   32    -.3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   13   33    -.2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   14   34    -.1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   15   35     .1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   16   36     .2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   17   37     .3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   18   38     .4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   19   39     .5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   20   66     .2    2.0   -4   .000E+00   .000E+00       -1.7   .204     20.00  .206E-18
   21   67     .2    2.0   -4   .000E+00   .000E+00       -1.8   .198     20.00  .976E-16
   22   68     .1    2.0   -4   .000E+00   .000E+00       -1.9   .195     20.00  .441E-13
   23   69     .1    2.0   -4   .000E+00   .000E+00       -2.0   .194     20.00  .209E-12
   24   70     .1    2.0   -4   .000E+00   .000E+00       -2.0   .194     20.00  .117E-11
   25   71     .0    2.0   -4   .000E+00   .000E+00       -2.0   .194     20.00  .271E-11
   26   72     .0    2.0   -4   .000E+00   .000E+00       -2.0   .194     20.00  .278E-11
   27   73    -.1    2.0   -4   .000E+00   .000E+00       -2.0   .194     20.00  .160E-11
   28   74    -.1    2.0   -4   .000E+00   .000E+00       -2.0   .194     20.00  .100E-11
   29   75    -.1    2.0   -4   .000E+00   .000E+00       -1.9   .195     20.00  .399E-12
   30   76    -.2    2.0   -4   .000E+00   .000E+00       -1.9   .198     20.00  .182E-14


 Time:      1.5000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0    1.7   -3   .000E+00   .000E+00        -.6   .284     20.00  .652E+00
    2    2     .0    1.7   -3   .000E+00   .000E+00        -.6   .285     20.00  .639E+00
    3    3     .0    1.7   -3   .000E+00   .000E+00        -.6   .285     20.00  .635E+00
    4    4     .0    1.7   -3   .000E+00   .000E+00        -.6   .285     20.00  .637E+00
    5    5     .0    1.7   -3   .000E+00   .000E+00        -.6   .284     20.00  .648E+00
    6    6     .0    1.7   -3   .000E+00   .000E+00        -.6   .283     20.00  .660E+00
    7    7     .0    1.7   -3   .000E+00   .000E+00        -.6   .283     20.00  .669E+00
    8    8     .0    1.7   -3   .000E+00   .000E+00        -.6   .283     20.00  .674E+00
    9    9     .0    1.7   -3   .000E+00   .000E+00        -.6   .283     20.00  .664E+00
   10   30    -.5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   11   31    -.4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   12   32    -.3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
