 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  18. 2.    Time:  13:52:45
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

       Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
        [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

         .0001   .000E+00   .200E-06   .000E+00   .200E-06  -.923E-06   .000E+00   .000E+00   .000E+00   .000E+00
         .0002   .000E+00   .400E-06   .000E+00   .400E-06  -.185E-05   .000E+00   .000E+00   .000E+00   .952E-08
         .0003   .000E+00   .660E-06   .000E+00   .660E-06  -.305E-05   .000E+00   .000E+00   .000E+00   .219E-07
         .0005   .000E+00   .998E-06   .000E+00   .998E-06  -.461E-05   .000E+00   .000E+00   .000E+00   .380E-07
         .0007   .000E+00   .134E-05   .000E+00   .134E-05  -.617E-05   .000E+00   .000E+00   .000E+00   .541E-07
         .0008   .000E+00   .167E-05   .000E+00   .167E-05  -.773E-05   .000E+00   .000E+00   .000E+00   .701E-07
         .0010   .000E+00   .201E-05   .000E+00   .201E-05  -.929E-05   .000E+00   .000E+00   .000E+00   .862E-07
         .0012   .000E+00   .235E-05   .000E+00   .235E-05  -.108E-04   .000E+00   .000E+00   .000E+00   .102E-06
         .0013   .000E+00   .269E-05   .000E+00   .269E-05  -.124E-04   .000E+00   .000E+00   .000E+00   .118E-06
         .0015   .000E+00   .302E-05   .000E+00   .302E-05  -.140E-04   .000E+00   .000E+00   .000E+00   .134E-06
         .0017   .000E+00   .336E-05   .000E+00   .336E-05  -.155E-04   .000E+00   .000E+00   .000E+00   .151E-06
         .0019   .000E+00   .370E-05   .000E+00   .370E-05  -.171E-04   .000E+00   .000E+00   .000E+00   .167E-06
         .0020   .000E+00   .404E-05   .000E+00   .404E-05  -.186E-04   .000E+00   .000E+00   .000E+00   .183E-06
         .0022   .000E+00   .448E-05   .000E+00   .448E-05  -.207E-04   .000E+00   .000E+00   .000E+00   .204E-06
         .0025   .000E+00   .492E-05   .000E+00   .492E-05  -.227E-04   .000E+00   .000E+00   .000E+00   .225E-06
         .0027   .000E+00   .536E-05   .000E+00   .536E-05  -.247E-04   .000E+00   .000E+00   .000E+00   .245E-06
         .0029   .000E+00   .580E-05   .000E+00   .580E-05  -.268E-04   .000E+00   .000E+00   .000E+00   .266E-06
         .0031   .000E+00   .624E-05   .000E+00   .624E-05  -.288E-04   .000E+00   .000E+00   .000E+00   .287E-06
         .0033   .000E+00   .667E-05   .000E+00   .667E-05  -.308E-04   .000E+00   .000E+00   .000E+00   .308E-06
         .0036   .000E+00   .725E-05   .000E+00   .725E-05  -.335E-04   .000E+00   .000E+00   .000E+00   .335E-06
         .0039   .000E+00   .782E-05   .000E+00   .782E-05  -.361E-04   .000E+00   .000E+00   .000E+00   .363E-06
