

       Time         hAtm       hRoot     hKode3     hKode1        hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

         .0001       -1.5       -1.5       -1.3         .0         .0         .0       -1.5
         .0002       -1.5       -1.5       -1.2         .0         .0         .0       -1.5
         .0003       -1.5       -1.5       -1.1         .0         .0         .0       -1.5
         .0005       -1.5       -1.5       -1.0         .0         .0         .0       -1.5
         .0007       -1.5       -1.5        -.9         .0         .0         .0       -1.5
         .0008       -1.5       -1.5        -.8         .0         .0         .0       -1.5
         .0010       -1.5       -1.5        -.8         .0         .0         .0       -1.5
         .0012       -1.5       -1.5        -.8         .0         .0         .0       -1.5
         .0013       -1.5       -1.5        -.7         .0         .0         .0       -1.5
         .0015       -1.5       -1.5        -.7         .0         .0         .0       -1.5
         .0017       -1.5       -1.5        -.7         .0         .0         .0       -1.5
         .0019       -1.5       -1.5        -.7         .0         .0         .0       -1.5
         .0020       -1.5       -1.5        -.6         .0         .0         .0       -1.5
         .0022       -1.5       -1.5        -.6         .0         .0         .0       -1.5
         .0025       -1.5       -1.5        -.6         .0         .0         .0       -1.5
         .0027       -1.5       -1.5        -.6         .0         .0         .0       -1.5
         .0029       -1.5       -1.5        -.6         .0         .0         .0       -1.5
         .0031       -1.5       -1.5        -.6         .0         .0         .0       -1.5
         .0033       -1.5       -1.5        -.6         .0         .0         .0       -1.5
         .0036       -1.5       -1.5        -.5         .0         .0         .0       -1.5
         .0039       -1.5       -1.5        -.5         .0         .0         .0       -1.5
         .0042       -1.5       -1.5        -.5         .0         .0         .0       -1.5
         .0045       -1.5       -1.5        -.5         .0         .0         .0       -1.5
         .0048       -1.5       -1.5        -.5         .0         .0         .0       -1.5
         .0051       -1.5       -1.5        -.5         .0         .0         .0       -1.5
         .0054       -1.5       -1.5        -.5         .0         .0         .0       -1.5
         .0058       -1.5       -1.5        -.5         .0         .0         .0       -1.5
         .0062       -1.5       -1.5        -.5         .0         .0         .0       -1.5
         .0065       -1.5       -1.5        -.5         .0         .0         .0       -1.5
         .0069       -1.5       -1.5        -.5         .0         .0         .0       -1.5
         .0073       -1.5       -1.5        -.5         .0         .0         .0       -1.5
         .0078       -1.5       -1.5        -.4         .0         .0         .0       -1.5
         .0082       -1.5       -1.5        -.4         .0         .0         .0       -1.5
         .0087       -1.5       -1.5        -.4         .0         .0         .0       -1.5
         .0092       -1.5       -1.5        -.4         .0         .0         .0       -1.5
