


                               Node( 53)                                           Node(107)                                           Node(136)                                           Node(278)                                           Node(408)                                           Node(593)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .000     -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00
       .000     -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .492E-24   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00
       .000     -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .962E-23   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00
       .000     -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .207E-21   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00
       .000     -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .339E-20   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00
       .001     -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .220E-19   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00
       .001     -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .963E-19   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00
       .001     -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .341E-18   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00
       .001     -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2116   20.000   .106E-17   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00
       .001     -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2116   20.000   .297E-17   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00
       .002     -1.500   .2117   20.000   .000E+00   .000E+00       -1.501   .2116   20.000   .761E-17   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.501   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00
       .002     -1.500   .2117   20.000   .000E+00   .000E+00       -1.501   .2116   20.000   .180E-16   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.501   .2116   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .185E-29   .000E+00
