 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  18. 2.    Time:  13:52:45
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 
 All fluxes (v) are positive out of the region

       Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
        [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

         .0001   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .000E+00
         .0002   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0003   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0005   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0007   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0008   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0010   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0012   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0013   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0015   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0017   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0019   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0020   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0022   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0025   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0027   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0029   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0031   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
         .0033   .000E+00   .500E-02   .000E+00   .500E-02  -.923E-02   .000E+00   .000E+00   .000E+00   .952E-04
