 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  17. 2.    Time:  10:54:49
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l       Qm     QsW  AlfaW      KsW

    1     .029   .366    .280E-01    .224E+01    .541E+03   .500   .366   .366   .056    .541E+03
    2     .106   .469    .520E-02    .140E+01    .131E+02   .500   .469   .469   .010    .131E+02

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .3658   -.100E-02  -.3000E+01   .2674E-07   .5410E+03   .2733E+01    1.0000
   .3658   -.116E-02  -.2936E+01   .3206E-07   .5410E+03   .2733E+01    1.0000
   .3658   -.134E-02  -.2873E+01   .3845E-07   .5410E+03   .2733E+01    1.0000
   .3658   -.155E-02  -.2809E+01   .4610E-07   .5410E+03   .2733E+01    1.0000
   .3658   -.180E-02  -.2745E+01   .5528E-07   .5410E+03   .2733E+01    1.0000
   .3658   -.208E-02  -.2682E+01   .6629E-07   .5410E+03   .2733E+01    1.0000
   .3658   -.241E-02  -.2618E+01   .7949E-07   .5410E+03   .2733E+01    1.0000
   .3658   -.279E-02  -.2554E+01   .9531E-07   .5410E+03   .2733E+01    1.0000
   .3658   -.323E-02  -.2491E+01   .1143E-06   .5410E+03   .2733E+01    1.0000
   .3658   -.374E-02  -.2427E+01   .1370E-06   .5410E+03   .2733E+01    1.0000
   .3658   -.433E-02  -.2364E+01   .1643E-06   .5410E+03   .2733E+01    1.0000
   .3658   -.501E-02  -.2300E+01   .1971E-06   .5410E+03   .2733E+01    1.0000
   .3658   -.580E-02  -.2236E+01   .2363E-06   .5410E+03   .2733E+01    1.0000
   .3658   -.672E-02  -.2173E+01   .2833E-06   .5410E+03   .2733E+01    1.0000
   .3658   -.778E-02  -.2109E+01   .3398E-06   .5410E+03   .2733E+01    1.0000
   .3658   -.901E-02  -.2045E+01   .4074E-06   .5410E+03   .2733E+01    1.0000
   .3658   -.104E-01  -.1982E+01   .4885E-06   .5410E+03   .2733E+01    1.0000
   .3658   -.121E-01  -.1918E+01   .5858E-06   .5409E+03   .2733E+01    1.0000
   .3658   -.140E-01  -.1854E+01   .7024E-06   .5409E+03   .2733E+01    1.0000
   .3658   -.162E-01  -.1791E+01   .8423E-06   .5409E+03   .2733E+01    1.0000
   .3658   -.187E-01  -.1727E+01   .1010E-05   .5409E+03   .2733E+01    1.0000
   .3658   -.217E-01  -.1663E+01   .1211E-05   .5409E+03   .2733E+01    1.0000
   .3658   -.251E-01  -.1600E+01   .1452E-05   .5409E+03   .2733E+01    1.0000
   .3658   -.291E-01  -.1536E+01   .1741E-05   .5408E+03   .2733E+01    1.0000
   .3658   -.337E-01  -.1472E+01   .2088E-05   .5408E+03   .2733E+01    1.0000
   .3658   -.390E-01  -.1409E+01   .2504E-05   .5408E+03   .2733E+01    1.0000
   .3658   -.452E-01  -.1345E+01   .3002E-05   .5407E+03   .2733E+01    1.0000
   .3658   -.523E-01  -.1282E+01   .3600E-05   .5407E+03   .2733E+01    1.0000
   .3658   -.605E-01  -.1218E+01   .4317E-05   .5406E+03   .2733E+01    1.0000
   .3658   -.701E-01  -.1154E+01   .5177E-05   .5405E+03   .2733E+01    1.0000
   .3658   -.812E-01  -.1091E+01   .6207E-05   .5404E+03   .2733E+01    1.0000
   .3658   -.940E-01  -.1027E+01   .7443E-05   .5403E+03   .2733E+01    1.0000
   .3658   -.109E+00  -.9633E+00   .8925E-05   .5402E+03   .2733E+01    1.0000
   .3658   -.126E+00  -.8997E+00   .1070E-04   .5400E+03   .2732E+01    1.0000
   .3658   -.146E+00  -.8360E+00   .1283E-04   .5398E+03   .2732E+01    1.0000
   .3658   -.169E+00  -.7724E+00   .1539E-04   .5396E+03   .2732E+01    1.0000
   .3658   -.196E+00  -.7087E+00   .1845E-04   .5393E+03   .2732E+01    1.0000
   .3658   -.226E+00  -.6451E+00   .2213E-04   .5390E+03   .2732E+01    1.0000
   .3658   -.262E+00  -.5814E+00   .2653E-04   .5385E+03   .2731E+01    1.0000
   .3658   -.304E+00  -.5178E+00   .3181E-04   .5381E+03   .2731E+01    1.0000
   .3658   -.351E+00  -.4541E+00   .3815E-04   .5375E+03   .2730E+01    1.0000
   .3658   -.407E+00  -.3905E+00   .4574E-04   .5368E+03   .2730E+01    1.0000
   .3658   -.471E+00  -.3268E+00   .5485E-04   .5359E+03   .2729E+01    1.0000
   .3658   -.546E+00  -.2632E+00   .6577E-04   .5349E+03   .2728E+01    1.0000
   .3658   -.632E+00  -.1995E+00   .7886E-04   .5337E+03   .2727E+01     .9999
   .3658   -.731E+00  -.1359E+00   .9455E-04   .5323E+03   .2726E+01     .9999
   .3658   -.847E+00  -.7225E-01   .1134E-03   .5305E+03   .2725E+01     .9999
   .3657   -.980E+00  -.8602E-02   .1359E-03   .5285E+03   .2723E+01     .9998
   .3657   -.114E+01   .5505E-01   .1629E-03   .5260E+03   .2721E+01     .9998
   .3657   -.131E+01   .1187E+00   .1953E-03   .5230E+03   .2718E+01     .9997
   .3656   -.152E+01   .1823E+00   .2341E-03   .5194E+03   .2716E+01     .9995
   .3656   -.176E+01   .2460E+00   .2806E-03   .5152E+03   .2712E+01     .9993
   .3655   -.204E+01   .3096E+00   .3363E-03   .5101E+03   .2708E+01     .9991
