 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  17. 2.    Time:  10:54:49
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

       Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
        [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

         .0001  -.100E+00   .000E+00  -.100E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0002  -.200E+00   .000E+00  -.200E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0003  -.300E+00   .000E+00  -.300E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0004  -.430E+00   .000E+00  -.430E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0006  -.599E+00   .000E+00  -.599E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0008  -.819E+00   .000E+00  -.819E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0011  -.110E+01   .000E+00  -.110E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0015  -.148E+01   .000E+00  -.148E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0020  -.196E+01   .000E+00  -.196E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0024  -.244E+01   .000E+00  -.244E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0031  -.307E+01   .000E+00  -.307E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0037  -.370E+01   .000E+00  -.370E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0045  -.451E+01   .000E+00  -.451E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0056  -.557E+01   .000E+00  -.557E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0066  -.663E+01   .000E+00  -.663E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0080  -.801E+01   .000E+00  -.801E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0094  -.939E+01   .000E+00  -.939E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0108  -.108E+02   .000E+00  -.108E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0121  -.121E+02   .000E+00  -.121E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0135  -.135E+02   .000E+00  -.135E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0149  -.149E+02   .000E+00  -.149E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
