

       Time         hAtm       hRoot     hKode3     hKode1        hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

         .0001     -896.7         .0         .0         .0         .0         .0         .0
         .0002     -658.8         .0         .0         .0         .0         .0         .0
         .0003     -569.2         .0         .0         .0         .0         .0         .0
         .0004     -488.0         .0         .0         .0         .0         .0         .0
         .0006     -410.4         .0         .0         .0         .0         .0         .0
         .0008     -343.7         .0         .0         .0         .0         .0         .0
         .0011     -284.4         .0         .0         .0         .0         .0         .0
         .0015     -233.5         .0         .0         .0         .0         .0         .0
         .0020     -193.1         .0         .0         .0         .0         .0         .0
         .0024     -165.3         .0         .0         .0         .0         .0         .0
         .0031     -139.9         .0         .0         .0         .0         .0         .0
         .0037     -122.4         .0         .0         .0         .0         .0         .0
         .0045     -106.2         .0         .0         .0         .0         .0         .0
         .0056      -91.7         .0         .0         .0         .0         .0         .0
         .0066      -81.6         .0         .0         .0         .0         .0         .0
         .0080      -72.3         .0         .0         .0         .0         .0         .0
         .0094      -65.7         .0         .0         .0         .0         .0         .0
         .0108      -60.7         .0         .0         .0         .0         .0         .0
         .0121      -56.7         .0         .0         .0         .0         .0         .0
         .0135      -53.4         .0         .0         .0         .0         .0         .0
         .0149      -50.9         .0         .0         .0         .0         .0         .0
         .0163      -48.5         .0         .0         .0         .0         .0         .0
         .0177      -46.5         .0         .0         .0         .0         .0         .0
         .0190      -45.0         .0         .0         .0         .0         .0         .0
         .0204      -43.5         .0         .0         .0         .0         .0         .0
         .0222      -41.8         .0         .0         .0         .0         .0         .0
         .0240      -40.3         .0         .0         .0         .0         .0         .0
         .0258      -39.2         .0         .0         .0         .0         .0         .0
         .0276      -38.2         .0         .0         .0         .0         .0         .0
         .0294      -37.2         .0         .0         .0         .0         .0         .0
         .0312      -36.3         .0         .0         .0         .0         .0         .0
         .0335      -35.1         .0         .0         .0         .0         .0         .0
         .0358      -34.3         .0         .0         .0         .0         .0         .0
         .0381      -33.6         .0         .0         .0         .0         .0         .0
         .0405      -33.0         .0         .0         .0         .0         .0         .0
         .0428      -32.4         .0         .0         .0         .0         .0         .0
         .0451      -31.8         .0         .0         .0         .0         .0         .0
         .0475      -31.3         .0         .0         .0         .0         .0         .0
         .0505      -30.6         .0         .0         .0         .0         .0         .0
         .0535      -30.1         .0         .0         .0         .0         .0         .0
         .0565      -29.6         .0         .0         .0         .0         .0         .0
