


                               Node(***)                                           Node(***)                                           Node(***)                                           Node(***)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .000  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00
       .000  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.999   .0341   20.000   .346E-08   .000E+00
       .000  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.999   .0341   20.000   .145E-07   .000E+00
       .000  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.997   .0341   20.000   .406E-07   .000E+00
       .000  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.994   .0341   20.000   .127E-06   .000E+00
       .001  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.984   .0341   20.000   .454E-06   .000E+00
       .001  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.953   .0341   20.000   .182E-05   .000E+00
       .001  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.848   .0341   20.000   .778E-05   .000E+00
       .001  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.476   .0341   20.000   .341E-04   .000E+00
       .002  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -998.103   .0341   20.000   .150E-03   .000E+00
       .002  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -994.906   .0341   20.000   .474E-03   .000E+00
       .003  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -985.495   .0342   20.000   .157E-02   .000E+00
       .004  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -966.250   .0343   20.000   .406E-02   .000E+00
       .005  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -928.832   .0346   20.000   .109E-01   .000E+00
       .006  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -759.133   .0353   20.000   .270E-01   .000E+00
       .007  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -609.158   .0365   20.000   .507E-01   .000E+00
       .008  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -458.047   .0381   20.000   .901E-01   .000E+00
       .009  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -358.588   .0403   20.000   .136E+00   .000E+00
       .011  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -290.625   .0427   20.000   .185E+00   .000E+00
       .012  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -241.501   .0454   20.000   .234E+00   .000E+00
       .014  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -204.873   .0484   20.000   .280E+00   .000E+00
       .015  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -177.237   .0516   20.000   .324E+00   .000E+00
       .016  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -156.318   .0549   20.000   .365E+00   .000E+00
       .018  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -139.400   .0583   20.000   .401E+00   .000E+00
       .019  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -125.413   .0618   20.000   .434E+00   .000E+00
       .020  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -114.412   .0655   20.000   .465E+00   .000E+00
       .022  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -103.052   .0700   20.000   .499E+00   .000E+00
       .024  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -93.560   .0746   20.000   .528E+00   .000E+00
       .026  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -85.978   .0792   20.000   .553E+00   .000E+00
       .028  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -79.680   .0837   20.000   .576E+00   .000E+00
       .029  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -74.411   .0881   20.000   .595E+00   .000E+00
       .031  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -69.861   .0925   20.000   .612E+00   .000E+00
       .033  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -65.032   .0978   20.000   .630E+00   .000E+00
       .036  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -60.694   .1031   20.000   .646E+00   .000E+00
       .038  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -57.345   .1082   20.000   .660E+00   .000E+00
       .040  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -54.115   .1131   20.000   .672E+00   .000E+00
       .043  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -51.604   .1177   20.000   .682E+00   .000E+00
