 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  17. 2.    Time:  10:54:49
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All fluxes (v) are positive out of the region

       Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
        [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

         .0001  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0002  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0003  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0004  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0006  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0008  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0011  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0015  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0020  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0024  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0031  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0037  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0045  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0056  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0066  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0080  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0094  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0108  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
         .0121  -.200E+02   .000E+00  -.200E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00
