 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  18. 2.    Time:  15:54:45
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00010
 Absolute pressure head tolerance [L]  .00100



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l       Qm     Qa     Qk       Kk

    1     .000  1.000    .150E+01    .120E+01    .500E+00   .500  1.000   .000  1.000    .500E+00

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
  1.0000   -.100E-07  -.8000E+01   .8172E-02   .4772E+00  -.3213E+00    1.0000
  1.0000   -.126E-07  -.7899E+01   .8561E-02   .4759E+00  -.3225E+00    1.0000
  1.0000   -.159E-07  -.7798E+01   .8969E-02   .4746E+00  -.3237E+00    1.0000
  1.0000   -.201E-07  -.7697E+01   .9396E-02   .4732E+00  -.3250E+00    1.0000
  1.0000   -.254E-07  -.7596E+01   .9843E-02   .4717E+00  -.3263E+00    1.0000
  1.0000   -.320E-07  -.7495E+01   .1031E-01   .4702E+00  -.3277E+00    1.0000
  1.0000   -.404E-07  -.7394E+01   .1080E-01   .4686E+00  -.3292E+00    1.0000
  1.0000   -.509E-07  -.7293E+01   .1132E-01   .4670E+00  -.3307E+00    1.0000
  1.0000   -.643E-07  -.7192E+01   .1186E-01   .4652E+00  -.3323E+00    1.0000
  1.0000   -.811E-07  -.7091E+01   .1242E-01   .4634E+00  -.3340E+00    1.0000
  1.0000   -.102E-06  -.6990E+01   .1301E-01   .4615E+00  -.3358E+00    1.0000
  1.0000   -.129E-06  -.6889E+01   .1363E-01   .4595E+00  -.3377E+00    1.0000
  1.0000   -.163E-06  -.6788E+01   .1428E-01   .4574E+00  -.3397E+00    1.0000
  1.0000   -.206E-06  -.6687E+01   .1496E-01   .4552E+00  -.3418E+00    1.0000
  1.0000   -.260E-06  -.6586E+01   .1567E-01   .4530E+00  -.3439E+00    1.0000
  1.0000   -.327E-06  -.6485E+01   .1642E-01   .4506E+00  -.3462E+00    1.0000
  1.0000   -.413E-06  -.6384E+01   .1720E-01   .4481E+00  -.3486E+00    1.0000
  1.0000   -.521E-06  -.6283E+01   .1802E-01   .4455E+00  -.3511E+00    1.0000
  1.0000   -.658E-06  -.6182E+01   .1888E-01   .4428E+00  -.3538E+00    1.0000
  1.0000   -.830E-06  -.6081E+01   .1978E-01   .4400E+00  -.3566E+00    1.0000
  1.0000   -.105E-05  -.5980E+01   .2072E-01   .4370E+00  -.3595E+00    1.0000
  1.0000   -.132E-05  -.5879E+01   .2171E-01   .4340E+00  -.3626E+00    1.0000
  1.0000   -.167E-05  -.5778E+01   .2274E-01   .4307E+00  -.3658E+00    1.0000
