 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  18. 2.    Time:   8:31:11
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00020
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .057   .410    .124E+00    .228E+01    .146E+02   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .4100   -.100E-02  -.3000E+01   .5597E-06   .1459E+02   .1164E+01    1.0000
   .4100   -.113E-02  -.2946E+01   .6554E-06   .1459E+02   .1164E+01    1.0000
   .4100   -.128E-02  -.2893E+01   .7675E-06   .1459E+02   .1164E+01    1.0000
   .4100   -.145E-02  -.2839E+01   .8987E-06   .1459E+02   .1164E+01    1.0000
   .4100   -.164E-02  -.2786E+01   .1052E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.185E-02  -.2732E+01   .1232E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.210E-02  -.2679E+01   .1443E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.237E-02  -.2625E+01   .1689E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.268E-02  -.2572E+01   .1978E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.303E-02  -.2518E+01   .2317E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.343E-02  -.2465E+01   .2713E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.388E-02  -.2411E+01   .3176E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.439E-02  -.2357E+01   .3719E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.497E-02  -.2304E+01   .4355E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.562E-02  -.2250E+01   .5099E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.636E-02  -.2197E+01   .5971E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.719E-02  -.2143E+01   .6992E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.813E-02  -.2090E+01   .8187E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.920E-02  -.2036E+01   .9587E-05   .1459E+02   .1164E+01    1.0000
   .4100   -.104E-01  -.1983E+01   .1123E-04   .1459E+02   .1164E+01    1.0000
   .4100   -.118E-01  -.1929E+01   .1314E-04   .1459E+02   .1164E+01    1.0000
   .4100   -.133E-01  -.1876E+01   .1539E-04   .1458E+02   .1164E+01    1.0000
   .4100   -.151E-01  -.1822E+01   .1802E-04   .1458E+02   .1164E+01    1.0000
   .4100   -.170E-01  -.1768E+01   .2110E-04   .1458E+02   .1164E+01    1.0000
   .4100   -.193E-01  -.1715E+01   .2471E-04   .1458E+02   .1164E+01    1.0000
   .4100   -.218E-01  -.1661E+01   .2894E-04   .1458E+02   .1164E+01    1.0000
   .4100   -.247E-01  -.1608E+01   .3388E-04   .1457E+02   .1164E+01    1.0000
   .4100   -.279E-01  -.1554E+01   .3968E-04   .1457E+02   .1163E+01    1.0000
   .4100   -.316E-01  -.1501E+01   .4646E-04   .1457E+02   .1163E+01    1.0000
   .4100   -.357E-01  -.1447E+01   .5440E-04   .1456E+02   .1163E+01    1.0000
   .4100   -.404E-01  -.1394E+01   .6370E-04   .1456E+02   .1163E+01    1.0000
   .4100   -.457E-01  -.1340E+01   .7459E-04   .1455E+02   .1163E+01    1.0000
   .4100   -.517E-01  -.1287E+01   .8734E-04   .1455E+02   .1163E+01    1.0000
   .4100   -.585E-01  -.1233E+01   .1023E-03   .1454E+02   .1163E+01    1.0000
   .4100   -.662E-01  -.1179E+01   .1198E-03   .1453E+02   .1162E+01    1.0000
   .4100   -.748E-01  -.1126E+01   .1402E-03   .1452E+02   .1162E+01    1.0000
   .4100   -.847E-01  -.1072E+01   .1642E-03   .1451E+02   .1162E+01    1.0000
   .4100   -.958E-01  -.1019E+01   .1923E-03   .1449E+02   .1161E+01    1.0000
   .4100   -.108E+00  -.9653E+00   .2251E-03   .1447E+02   .1161E+01    1.0000
   .4100   -.123E+00  -.9117E+00   .2636E-03   .1445E+02   .1160E+01    1.0000
   .4100   -.139E+00  -.8582E+00   .3086E-03   .1443E+02   .1159E+01     .9999
   .4100   -.157E+00  -.8046E+00   .3614E-03   .1440E+02   .1158E+01     .9999
   .4100   -.177E+00  -.7511E+00   .4231E-03   .1437E+02   .1158E+01     .9999
   .4100   -.201E+00  -.6975E+00   .4954E-03   .1433E+02   .1156E+01     .9999
   .4099   -.227E+00  -.6440E+00   .5801E-03   .1429E+02   .1155E+01     .9998
   .4099   -.257E+00  -.5904E+00   .6791E-03   .1424E+02   .1153E+01     .9998
   .4099   -.290E+00  -.5369E+00   .7951E-03   .1418E+02   .1152E+01     .9997
   .4099   -.329E+00  -.4833E+00   .9308E-03   .1411E+02   .1149E+01     .9996
   .4098   -.372E+00  -.4298E+00   .1090E-02   .1403E+02   .1147E+01     .9995
   .4098   -.420E+00  -.3763E+00   .1275E-02   .1393E+02   .1144E+01     .9993
   .4097   -.476E+00  -.3227E+00   .1492E-02   .1382E+02   .1140E+01     .9991
   .4096   -.538E+00  -.2692E+00   .1746E-02   .1369E+02   .1136E+01     .9988
   .4095   -.609E+00  -.2156E+00   .2042E-02   .1353E+02   .1131E+01     .9985
   .4093   -.689E+00  -.1621E+00   .2388E-02   .1336E+02   .1126E+01     .9980
