 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  18. 2.    Time:   8:31:11
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

       Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
        [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

         .1000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.252E+02   .000E+00   .000E+00   .000E+00
         .2000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.503E+02   .000E+00   .000E+00   .300E+02
         .3000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.755E+02   .000E+00   .000E+00   .593E+02
         .4000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.101E+03   .000E+00   .000E+00   .880E+02
         .5000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.126E+03   .000E+00   .000E+00   .116E+03
         .6000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.151E+03   .000E+00   .000E+00   .144E+03
         .7000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.176E+03   .000E+00   .000E+00   .171E+03
         .8000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.201E+03   .000E+00   .000E+00   .198E+03
         .9000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.227E+03   .000E+00   .000E+00   .225E+03
        1.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.252E+03   .000E+00   .000E+00   .251E+03
        1.1000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.277E+03   .000E+00   .000E+00   .277E+03
        1.2000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.302E+03   .000E+00   .000E+00   .303E+03
        1.3000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.327E+03   .000E+00   .000E+00   .329E+03
        1.4000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.352E+03   .000E+00   .000E+00   .355E+03
        1.5000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.378E+03   .000E+00   .000E+00   .380E+03
        1.6000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.403E+03   .000E+00   .000E+00   .406E+03
        1.7000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.428E+03   .000E+00   .000E+00   .431E+03
        1.8000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.453E+03   .000E+00   .000E+00   .456E+03
        1.9000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.478E+03   .000E+00   .000E+00   .482E+03
        2.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.503E+03   .000E+00   .000E+00   .507E+03
        2.1333   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.537E+03   .000E+00   .000E+00   .540E+03
