

       Time         hAtm       hRoot     hKode3     hKode1        hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

         .1000         .0         .0         .0      -10.0         .0         .0       -9.5
         .2000         .0         .0         .0      -10.0         .0         .0       -9.6
         .3000         .0         .0         .0      -10.0         .0         .0       -9.6
         .4000         .0         .0         .0      -10.0         .0         .0       -9.7
         .5000         .0         .0         .0      -10.0         .0         .0       -9.7
         .6000         .0         .0         .0      -10.0         .0         .0       -9.8
         .7000         .0         .0         .0      -10.0         .0         .0       -9.8
         .8000         .0         .0         .0      -10.0         .0         .0       -9.8
         .9000         .0         .0         .0      -10.0         .0         .0       -9.9
        1.0000         .0         .0         .0      -10.0         .0         .0       -9.9
        1.1000         .0         .0         .0      -10.0         .0         .0       -9.9
        1.2000         .0         .0         .0      -10.0         .0         .0       -9.9
        1.3000         .0         .0         .0      -10.0         .0         .0       -9.9
        1.4000         .0         .0         .0      -10.0         .0         .0      -10.0
        1.5000         .0         .0         .0      -10.0         .0         .0      -10.0
        1.6000         .0         .0         .0      -10.0         .0         .0      -10.0
        1.7000         .0         .0         .0      -10.0         .0         .0      -10.0
        1.8000         .0         .0         .0      -10.0         .0         .0      -10.0
        1.9000         .0         .0         .0      -10.0         .0         .0      -10.0
        2.0000         .0         .0         .0      -10.0         .0         .0      -10.0
        2.1333         .0         .0         .0      -10.0         .0         .0      -10.0
        2.2667         .0         .0         .0      -10.0         .0         .0      -10.0
        2.4000         .0         .0         .0      -10.0         .0         .0      -10.0
        2.5333         .0         .0         .0      -10.0         .0         .0      -10.0
        2.6667         .0         .0         .0      -10.0         .0         .0      -10.0
        2.8000         .0         .0         .0      -10.0         .0         .0      -10.0
        2.9333         .0         .0         .0      -10.0         .0         .0      -10.0
        3.0667         .0         .0         .0      -10.0         .0         .0      -10.0
        3.2000         .0         .0         .0      -10.0         .0         .0      -10.0
        3.3333         .0         .0         .0      -10.0         .0         .0      -10.0
        3.4667         .0         .0         .0      -10.0         .0         .0      -10.0
        3.6000         .0         .0         .0      -10.0         .0         .0      -10.0
        3.7333         .0         .0         .0      -10.0         .0         .0      -10.0
        3.8667         .0         .0         .0      -10.0         .0         .0      -10.0
        4.0000         .0         .0         .0      -10.0         .0         .0      -10.0
        4.1290         .0         .0         .0      -10.0         .0         .0      -10.0
        4.2581         .0         .0         .0      -10.0         .0         .0      -10.0
        4.3871         .0         .0         .0      -10.0         .0         .0      -10.0
