

  TLevel   Time         dt      Iter  ItCum

     1  .10000E+00  .10000E+00    5      5
     2  .20000E+00  .10000E+00    5     10
     3  .30000E+00  .10000E+00    4     14
     4  .40000E+00  .10000E+00    4     18
     5  .50000E+00  .10000E+00    4     22
     6  .60000E+00  .10000E+00    4     26
     7  .70000E+00  .10000E+00    4     30
     8  .80000E+00  .10000E+00    4     34
     9  .90000E+00  .10000E+00    4     38
    10  .10000E+01  .10000E+00    4     42
    11  .11000E+01  .10000E+00    4     46
    12  .12000E+01  .10000E+00    4     50
    13  .13000E+01  .10000E+00    4     54
    14  .14000E+01  .10000E+00    4     58
    15  .15000E+01  .10000E+00    4     62
    16  .16000E+01  .10000E+00    4     66
    17  .17000E+01  .10000E+00    4     70
    18  .18000E+01  .10000E+00    4     74
    19  .19000E+01  .10000E+00    4     78
    20  .20000E+01  .10000E+00    3     81
    21  .21333E+01  .13333E+00    4     85
    22  .22667E+01  .13333E+00    4     89
    23  .24000E+01  .13333E+00    4     93
    24  .25333E+01  .13333E+00    4     97
    25  .26667E+01  .13333E+00    5    102
    26  .28000E+01  .13333E+00    5    107
    27  .29333E+01  .13333E+00    4    111
    28  .30667E+01  .13333E+00    4    115
    29  .32000E+01  .13333E+00    5    120
    30  .33333E+01  .13333E+00    5    125
    31  .34667E+01  .13333E+00    4    129
    32  .36000E+01  .13333E+00    4    133
    33  .37333E+01  .13333E+00    5    138
    34  .38667E+01  .13333E+00    5    143
    35  .40000E+01  .13333E+00    4    147
    36  .41290E+01  .12903E+00    4    151
    37  .42581E+01  .12903E+00    4    155
    38  .43871E+01  .12903E+00    5    160
    39  .45161E+01  .12903E+00    5    165
    40  .46452E+01  .12903E+00    5    170
    41  .47742E+01  .12903E+00    4    174
    42  .49032E+01  .12903E+00    4    178
    43  .50323E+01  .12903E+00    4    182
    44  .51613E+01  .12903E+00    5    187
    45  .52903E+01  .12903E+00    4    191
    46  .54194E+01  .12903E+00    4    195
    47  .55484E+01  .12903E+00    4    199
    48  .56774E+01  .12903E+00    4    203
    49  .58064E+01  .12903E+00    3    206
    50  .59752E+01  .16873E+00    5    211
    51  .61439E+01  .16873E+00    4    215
    52  .63127E+01  .16873E+00    4    219
    53  .64814E+01  .16873E+00    4    223
    54  .66501E+01  .16873E+00    4    227
    55  .68189E+01  .16873E+00    4    231
    56  .69876E+01  .16873E+00    4    235
    57  .71563E+01  .16873E+00    4    239
    58  .73251E+01  .16873E+00    4    243
    59  .74938E+01  .16873E+00    4    247
    60  .76625E+01  .16873E+00    4    251
    61  .78313E+01  .16873E+00    4    255
    62  .80000E+01  .16873E+00    4    259
    63  .81667E+01  .16667E+00    4    263
    64  .83333E+01  .16667E+00    4    267
    65  .85000E+01  .16667E+00    4    271
    66  .86667E+01  .16667E+00    4    275
    67  .88333E+01  .16667E+00    3    278
    68  .90595E+01  .22619E+00    4    282
    69  .92857E+01  .22619E+00    4    286
    70  .95119E+01  .22619E+00    4    290
    71  .97381E+01  .22619E+00    4    294
    72  .99643E+01  .22619E+00    4    298
    73  .10190E+02  .22619E+00    4    302
    74  .10417E+02  .22619E+00    4    306
    75  .10643E+02  .22619E+00    4    310
    76  .10869E+02  .22619E+00    4    314
    77  .11095E+02  .22619E+00    4    318
    78  .11321E+02  .22619E+00    4    322
    79  .11548E+02  .22619E+00    4    326
    80  .11774E+02  .22619E+00    4    330
    81  .12000E+02  .22619E+00    4    334
    82  .12222E+02  .22222E+00    3    337
    83  .12510E+02  .28807E+00    4    341
    84  .12798E+02  .28807E+00    4    345
    85  .13086E+02  .28807E+00    4    349
    86  .13374E+02  .28807E+00    4    353
    87  .13663E+02  .28807E+00    4    357
    88  .13951E+02  .28807E+00    4    361
    89  .14239E+02  .28807E+00    4    365
    90  .14527E+02  .28807E+00    4    369
    91  .14815E+02  .28807E+00    4    373
    92  .15103E+02  .28807E+00    4    377
    93  .15391E+02  .28807E+00    3    380
    94  .15519E+02  .12803E+00    3    403
    95  .15685E+02  .16596E+00    4    407
    96  .15851E+02  .16596E+00    3    410
    97  .16069E+02  .21837E+00    4    414
    98  .16288E+02  .21837E+00    3    417
    99  .16573E+02  .28557E+00    3    420
   100  .16954E+02  .38075E+00    4    424
   101  .17335E+02  .38075E+00    5    429
   102  .17462E+02  .12692E+00    2    451
   103  .17631E+02  .16922E+00    3    454
   104  .17846E+02  .21538E+00    2    456
   105  .18115E+02  .26922E+00    3    459
   106  .18492E+02  .37691E+00    3    462
   107  .18660E+02  .16751E+00    2    484
   108  .18883E+02  .22335E+00    3    487
   109  .19162E+02  .27919E+00    3    490
   110  .19581E+02  .41879E+00    3    493
   111  .19721E+02  .13960E+00    2    515
   112  .19860E+02  .13960E+00    2    517
   113  .20000E+02  .13960E+00    2    519
   114  .20238E+02  .23810E+00    2    521
   115  .20543E+02  .30506E+00    3    524
   116  .20937E+02  .39404E+00    3    527
   117  .21470E+02  .53311E+00    3    530
   118  .21689E+02  .21871E+00    2    552
   119  .21976E+02  .28659E+00    2    554
   120  .22340E+02  .36475E+00    3    557
   121  .22500E+02  .15958E+00    2    579
   122  .22708E+02  .20834E+00    2    581
   123  .22978E+02  .27006E+00    2    583
   124  .23329E+02  .35108E+00    3    586
   125  .23774E+02  .44471E+00    3    589
   126  .23963E+02  .18866E+00    2    611
   127  .24204E+02  .24149E+00    2    613
   128  .24526E+02  .32199E+00    3    616
   129  .24667E+02  .14035E+00    2    638
   130  .24851E+02  .18391E+00    2    640
   131  .25085E+02  .23407E+00    2    642
   132  .25392E+02  .30721E+00    2    644
   133  .25811E+02  .41893E+00    3    647
   134  .26334E+02  .52366E+00    3    650
   135  .26579E+02  .24437E+00    2    672
   136  .26890E+02  .31102E+00    2    674
   137  .27019E+02  .12959E+00    2    696
   138  .27185E+02  .16559E+00    2    698
   139  .27401E+02  .21654E+00    2    700
   140  .27690E+02  .28872E+00    2    702
   141  .28075E+02  .38496E+00    3    705
   142  .28556E+02  .48120E+00    3    708
   143  .28797E+02  .24060E+00    2    730
   144  .29098E+02  .30075E+00    2    732
   145  .29248E+02  .15038E+00    2    754
   146  .29436E+02  .18797E+00    2    756
   147  .29718E+02  .28196E+00    2    758
   148  .30000E+02  .28196E+00    2    760
   149  .30333E+02  .33333E+00    2    762
   150  .30754E+02  .42029E+00    3    765
   151  .30935E+02  .18130E+00    2    787
   152  .31173E+02  .23855E+00    2    789
   153  .31478E+02  .30436E+00    2    791
   154  .31884E+02  .40582E+00    3    794
   155  .32053E+02  .16909E+00    2    816
   156  .32274E+02  .22076E+00    2    818
   157  .32560E+02  .28617E+00    2    820
   158  .32932E+02  .37202E+00    2    822
   159  .33403E+02  .47122E+00    3    825
   160  .33603E+02  .19991E+00    2    847
   161  .33859E+02  .25589E+00    2    849
   162  .34200E+02  .34118E+00    2    851
   163  .34646E+02  .44616E+00    3    854
   164  .34844E+02  .19829E+00    2    876
   165  .35102E+02  .25778E+00    2    878
   166  .35429E+02  .32652E+00    2    880
   167  .35886E+02  .45713E+00    3    883
   168  .36082E+02  .19591E+00    2    905
   169  .36343E+02  .26122E+00    2    907
   170  .36675E+02  .33246E+00    2    909
   171  .37091E+02  .41558E+00    2    911
   172  .37285E+02  .19394E+00    2    933
   173  .37532E+02  .24683E+00    2    935
   174  .37840E+02  .30853E+00    2    937
   175  .38272E+02  .43195E+00    2    939
   176  .38464E+02  .19198E+00    2    961
   177  .38720E+02  .25597E+00    2    963
   178  .39040E+02  .31996E+00    2    965
   179  .39520E+02  .47994E+00    2    967
   180  .39680E+02  .15998E+00    2    989
   181  .39840E+02  .15998E+00    2    991
   182  .40000E+02  .15998E+00    2    993
   183  .40270E+02  .27027E+00    2    995
   184  .40623E+02  .35232E+00    2    997
   185  .41084E+02  .46137E+00    2    999
   186  .41675E+02  .59113E+00    3   1002
   187  .41930E+02  .25451E+00    2   1024
   188  .42258E+02  .32855E+00    2   1026
   189  .42402E+02  .14424E+00    2   1048
   190  .42590E+02  .18721E+00    2   1050
   191  .42835E+02  .24522E+00    2   1052
   192  .43153E+02  .31787E+00    2   1054
   193  .43564E+02  .41091E+00    2   1056
   194  .44094E+02  .53021E+00    2   1058
