 Water flow to a stream - 1                                              
 
 Program HYDRUS2
 Date:  17. 2.    Time:  13:11:31
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L] 1.00000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l       Qm     Qa     Qk       Kk

    1     .078   .430    .360E-01    .156E+01    .250E+02   .500   .430   .078   .430    .250E+02

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .4300   -.100E-02  -.3000E+01   .2304E-04   .2480E+02   .1394E+01    1.0000
   .4300   -.115E-02  -.2939E+01   .2492E-04   .2479E+02   .1394E+01    1.0000
   .4300   -.132E-02  -.2879E+01   .2694E-04   .2477E+02   .1394E+01    1.0000
   .4300   -.152E-02  -.2818E+01   .2913E-04   .2476E+02   .1394E+01    1.0000
   .4300   -.175E-02  -.2758E+01   .3150E-04   .2474E+02   .1393E+01    1.0000
   .4300   -.201E-02  -.2697E+01   .3406E-04   .2472E+02   .1393E+01    1.0000
   .4300   -.231E-02  -.2636E+01   .3683E-04   .2470E+02   .1393E+01    1.0000
   .4300   -.266E-02  -.2576E+01   .3982E-04   .2468E+02   .1392E+01    1.0000
   .4300   -.305E-02  -.2515E+01   .4306E-04   .2466E+02   .1392E+01    1.0000
   .4300   -.351E-02  -.2455E+01   .4656E-04   .2463E+02   .1392E+01    1.0000
   .4300   -.404E-02  -.2394E+01   .5034E-04   .2461E+02   .1391E+01    1.0000
   .4300   -.464E-02  -.2333E+01   .5444E-04   .2458E+02   .1391E+01    1.0000
   .4300   -.534E-02  -.2273E+01   .5886E-04   .2455E+02   .1390E+01    1.0000
   .4300   -.614E-02  -.2212E+01   .6365E-04   .2451E+02   .1389E+01    1.0000
   .4300   -.705E-02  -.2152E+01   .6882E-04   .2448E+02   .1389E+01    1.0000
   .4300   -.811E-02  -.2091E+01   .7441E-04   .2444E+02   .1388E+01    1.0000
   .4300   -.933E-02  -.2030E+01   .8046E-04   .2440E+02   .1387E+01    1.0000
   .4300   -.107E-01  -.1970E+01   .8700E-04   .2435E+02   .1387E+01    1.0000
   .4300   -.123E-01  -.1909E+01   .9407E-04   .2430E+02   .1386E+01    1.0000
   .4300   -.142E-01  -.1848E+01   .1017E-03   .2425E+02   .1385E+01    1.0000
   .4300   -.163E-01  -.1788E+01   .1100E-03   .2419E+02   .1384E+01    1.0000
   .4300   -.187E-01  -.1727E+01   .1189E-03   .2413E+02   .1383E+01    1.0000
   .4300   -.215E-01  -.1667E+01   .1286E-03   .2406E+02   .1381E+01    1.0000
   .4300   -.248E-01  -.1606E+01   .1390E-03   .2399E+02   .1380E+01    1.0000
   .4300   -.285E-01  -.1545E+01   .1503E-03   .2391E+02   .1379E+01    1.0000
   .4300   -.327E-01  -.1485E+01   .1626E-03   .2383E+02   .1377E+01    1.0000
   .4300   -.376E-01  -.1424E+01   .1758E-03   .2374E+02   .1375E+01    1.0000
   .4300   -.433E-01  -.1364E+01   .1901E-03   .2364E+02   .1374E+01    1.0000
   .4300   -.498E-01  -.1303E+01   .2055E-03   .2354E+02   .1372E+01    1.0000
   .4300   -.572E-01  -.1242E+01   .2222E-03   .2342E+02   .1370E+01    1.0000
   .4300   -.658E-01  -.1182E+01   .2403E-03   .2330E+02   .1367E+01    1.0000
   .4300   -.756E-01  -.1121E+01   .2598E-03   .2317E+02   .1365E+01    1.0000
   .4300   -.870E-01  -.1061E+01   .2809E-03   .2302E+02   .1362E+01    1.0000
   .4300   -.100E+00  -.1000E+01   .3037E-03   .2287E+02   .1359E+01     .9999
   .4300   -.115E+00  -.9394E+00   .3284E-03   .2270E+02   .1356E+01     .9999
   .4300   -.132E+00  -.8788E+00   .3551E-03   .2252E+02   .1353E+01     .9999
   .4300   -.152E+00  -.8182E+00   .3839E-03   .2233E+02   .1349E+01     .9999
   .4300   -.175E+00  -.7576E+00   .4151E-03   .2212E+02   .1345E+01     .9999
   .4299   -.201E+00  -.6970E+00   .4487E-03   .2190E+02   .1340E+01     .9998
   .4299   -.231E+00  -.6364E+00   .4851E-03   .2166E+02   .1336E+01     .9998
   .4299   -.266E+00  -.5758E+00   .5245E-03   .2140E+02   .1330E+01     .9997
   .4299   -.305E+00  -.5152E+00   .5670E-03   .2112E+02   .1325E+01     .9997
   .4299   -.351E+00  -.4545E+00   .6129E-03   .2083E+02   .1319E+01     .9996
   .4298   -.404E+00  -.3939E+00   .6625E-03   .2051E+02   .1312E+01     .9995
   .4298   -.464E+00  -.3333E+00   .7160E-03   .2016E+02   .1305E+01     .9994
   .4297   -.534E+00  -.2727E+00   .7737E-03   .1980E+02   .1297E+01     .9992
   .4297   -.614E+00  -.2121E+00   .8361E-03   .1940E+02   .1288E+01     .9991
   .4296   -.705E+00  -.1515E+00   .9032E-03   .1898E+02   .1278E+01     .9988
   .4295   -.811E+00  -.9091E-01   .9756E-03   .1853E+02   .1268E+01     .9986
   .4294   -.933E+00  -.3030E-01   .1054E-02   .1805E+02   .1257E+01     .9982
   .4292   -.107E+01   .3030E-01   .1137E-02   .1754E+02   .1244E+01     .9978
   .4290   -.123E+01   .9091E-01   .1227E-02   .1699E+02   .1230E+01     .9972
   .4288   -.142E+01   .1515E+00   .1324E-02   .1642E+02   .1215E+01     .9966
   .4285   -.163E+01   .2121E+00   .1427E-02   .1580E+02   .1199E+01     .9957
   .4281   -.187E+01   .2727E+00   .1537E-02   .1515E+02   .1181E+01     .9947
   .4277   -.215E+01   .3333E+00   .1653E-02   .1447E+02   .1161E+01     .9934
   .4271   -.248E+01   .3939E+00   .1777E-02   .1375E+02   .1138E+01     .9919
   .4265   -.285E+01   .4545E+00   .1907E-02   .1300E+02   .1114E+01     .9899
   .4256   -.327E+01   .5152E+00   .2044E-02   .1222E+02   .1087E+01     .9875
   .4246   -.376E+01   .5758E+00   .2185E-02   .1140E+02   .1057E+01     .9846
   .4233   -.433E+01   .6364E+00   .2330E-02   .1056E+02   .1024E+01     .9810
   .4217   -.498E+01   .6970E+00   .2476E-02   .9702E+01   .9869E+00     .9765
   .4198   -.572E+01   .7576E+00   .2622E-02   .8828E+01   .9459E+00     .9711
   .4175   -.658E+01   .8182E+00   .2763E-02   .7949E+01   .9003E+00     .9646
   .4147   -.756E+01   .8788E+00   .2896E-02   .7073E+01   .8496E+00     .9566
   .4114   -.870E+01   .9394E+00   .3015E-02   .6212E+01   .7932E+00     .9471
   .4074   -.100E+02   .1000E+01   .3115E-02   .5377E+01   .7306E+00     .9358
   .4027   -.115E+02   .1061E+01   .3189E-02   .4582E+01   .6610E+00     .9223
   .3971   -.132E+02   .1121E+01   .3231E-02   .3837E+01   .5840E+00     .9066
   .3907   -.152E+02   .1182E+01   .3235E-02   .3155E+01   .4989E+00     .8884
   .3834   -.175E+02   .1242E+01   .3198E-02   .2543E+01   .4053E+00     .8676
   .3751   -.201E+02   .1303E+01   .3116E-02   .2008E+01   .3028E+00     .8441
   .3659   -.231E+02   .1364E+01   .2992E-02   .1552E+01   .1910E+00     .8180
   .3559   -.266E+02   .1424E+01   .2827E-02   .1175E+01   .6999E-01     .7894
   .3450   -.305E+02   .1485E+01   .2629E-02   .8705E+00  -.6025E-01     .7586
   .3335   -.351E+02   .1545E+01   .2406E-02   .6318E+00  -.1994E+00     .7259
   .3215   -.404E+02   .1606E+01   .2168E-02   .4496E+00  -.3471E+00     .6917
   .3091   -.464E+02   .1667E+01   .1925E-02   .3142E+00  -.5028E+00     .6566
   .2966   -.534E+02   .1727E+01   .1685E-02   .2159E+00  -.6658E+00     .6211
   .2841   -.614E+02   .1788E+01   .1458E-02   .1461E+00  -.8353E+00     .5855
   .2717   -.705E+02   .1848E+01   .1246E-02   .9759E-01  -.1011E+01     .5503
   .2596   -.811E+02   .1909E+01   .1055E-02   .6442E-01  -.1191E+01     .5159
   .2478   -.933E+02   .1970E+01   .8859E-03   .4210E-01  -.1376E+01     .4825
   .2365   -.107E+03   .2030E+01   .7383E-03   .2728E-01  -.1564E+01     .4504
   .2258   -.123E+03   .2091E+01   .6114E-03   .1755E-01  -.1756E+01     .4198
