

  TLevel   Time         dt      Iter  ItCum

     1  .10000E-02  .10000E-02    7      7
     2  .16999E-02  .69986E-03    3     10
     3  .26092E-02  .90931E-03    3     13
     4  .37934E-02  .11843E-02    3     16
     5  .53297E-02  .15362E-02    4     20
     6  .68659E-02  .15362E-02    4     24
     7  .84022E-02  .15362E-02    4     28
     8  .99384E-02  .15362E-02    4     32
     9  .11475E-01  .15362E-02    3     35
    10  .13477E-01  .20022E-02    3     38
    11  .16079E-01  .26017E-02    3     41
    12  .19463E-01  .33841E-02    4     45
    13  .22847E-01  .33841E-02    4     49
    14  .26231E-01  .33841E-02    4     53
    15  .29615E-01  .33841E-02    4     57
    16  .32999E-01  .33841E-02    4     61
    17  .36383E-01  .33841E-02    3     64
    18  .40757E-01  .43737E-02    3     67
    19  .46497E-01  .57405E-02    3     70
    20  .53932E-01  .74345E-02    4     74
    21  .61366E-01  .74345E-02    4     78
    22  .68801E-01  .74345E-02    4     82
    23  .76235E-01  .74345E-02    3     85
    24  .85866E-01  .96310E-02    3     88
    25  .98416E-01  .12550E-01    4     92
    26  .11097E+00  .12550E-01    4     96
    27  .12351E+00  .12550E-01    4    100
    28  .13606E+00  .12550E-01    3    103
    29  .15261E+00  .16543E-01    3    106
    30  .17432E+00  .21712E-01    4    110
    31  .19603E+00  .21712E-01    3    113
    32  .22366E+00  .27634E-01    4    117
    33  .25130E+00  .27634E-01    4    121
    34  .27893E+00  .27634E-01    4    125
    35  .30657E+00  .27634E-01    4    129
    36  .33420E+00  .27634E-01    3    132
    37  .36736E+00  .33160E-01    3    135
    38  .41157E+00  .44214E-01    3    138
    39  .50000E+00  .88427E-01    4    142
    40  .56250E+00  .62500E-01    3    145
    41  .63542E+00  .72917E-01    3    148
    42  .72656E+00  .91146E-01    4    152
    43  .81771E+00  .91146E-01    3    155
    44  .10000E+01  .18229E+00    4    159
    45  .11324E+01  .13235E+00    3    162
    46  .13062E+01  .17388E+00    3    165
    47  .15291E+01  .22292E+00    4    169
    48  .17521E+01  .22292E+00    3    172
    49  .20466E+01  .29457E+00    4    176
    50  .23412E+01  .29457E+00    3    179
    51  .27241E+01  .38294E+00    4    183
    52  .31071E+01  .38294E+00    4    187
    53  .34900E+01  .38294E+00    3    190
    54  .39908E+01  .50077E+00    4    194
    55  .44916E+01  .50077E+00    3    197
    56  .51036E+01  .61205E+00    3    200
    57  .59197E+01  .81607E+00    4    204
    58  .67357E+01  .81607E+00    4    208
    59  .75518E+01  .81607E+00    4    212
    60  .83679E+01  .81607E+00    4    216
    61  .91839E+01  .81607E+00    4    220
    62  .10000E+02  .81607E+00    3    223
    63  .11071E+02  .10714E+01    3    226
    64  .12464E+02  .13929E+01    4    230
    65  .13857E+02  .13929E+01    4    234
    66  .15250E+02  .13929E+01    4    238
    67  .16643E+02  .13929E+01    4    242
    68  .18036E+02  .13929E+01    4    246
    69  .19429E+02  .13929E+01    3    249
    70  .21286E+02  .18571E+01    4    253
    71  .23143E+02  .18571E+01    4    257
    72  .25000E+02  .18571E+01    4    261
    73  .26786E+02  .17857E+01    4    265
    74  .28571E+02  .17857E+01    4    269
    75  .30357E+02  .17857E+01    4    273
    76  .32143E+02  .17857E+01    3    276
    77  .34694E+02  .25510E+01    4    280
    78  .37245E+02  .25510E+01    4    284
    79  .39796E+02  .25510E+01    4    288
    80  .42347E+02  .25510E+01    4    292
    81  .44898E+02  .25510E+01    4    296
    82  .47449E+02  .25510E+01    4    300
    83  .50000E+02  .25510E+01    3    303
    84  .53125E+02  .31250E+01    4    307
    85  .56250E+02  .31250E+01    3    310
    86  .60227E+02  .39773E+01    4    314
    87  .64205E+02  .39773E+01    3    317
    88  .69205E+02  .50000E+01    4    321
    89  .74205E+02  .50000E+01    4    325
    90  .79205E+02  .50000E+01    3    328
    91  .84205E+02  .50000E+01    3    331
    92  .89205E+02  .50000E+01    3    334
    93  .94205E+02  .50000E+01    3    337
    94  .97102E+02  .28977E+01    2    339
    95  .10000E+03  .28977E+01    2    341
end
 
 Real time [sec]     587.000000000000000
