

       Time         hAtm       hRoot     hKode3     hKode1        hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

         .0010         .0         .0         .0       85.6      -37.9         .0         .0
         .0023         .0         .0         .0       85.6      -37.9         .0         .0
         .0040         .0         .0         .0       85.6      -37.9         .0         .0
         .0062         .0         .0         .0       85.6      -37.9         .0         .0
         .0090         .0         .0         .0       85.6      -37.9         .0         .0
         .0119         .0         .0         .0       85.6      -37.9         .0         .0
         .0156         .0         .0         .0       85.6      -37.9         .0         .0
         .0193         .0         .0         .0       85.6      -37.9         .0         .0
         .0231         .0         .0         .0       85.6      -37.9         .0         .0
         .0279         .0         .0         .0       85.6      -37.9         .0         .0
         .0327         .0         .0         .0       85.6      -37.9         .0         .0
         .0375         .0         .0         .0       85.6      -37.9         .0         .0
         .0423         .0         .0         .0       85.6      -37.9         .0         .0
         .0472         .0         .0         .0       85.6      -37.9         .0         .0
         .0520         .0         .0         .0       85.6      -37.9         .0         .0
         .0568         .0         .0         .0       85.6      -37.9         .0         .0
         .0616         .0         .0         .0       85.6      -37.9         .0         .0
         .0664         .0         .0         .0       85.6      -37.9         .0         .0
         .0712         .0         .0         .0       85.6      -37.9         .0         .0
         .0761         .0         .0         .0       85.6      -37.9         .0         .0
         .0809         .0         .0         .0       85.6      -37.9         .0         .0
         .0857         .0         .0         .0       85.6      -37.9         .0         .0
         .0905         .0         .0         .0       85.6      -37.9         .0         .0
         .0953         .0         .0         .0       85.6      -37.9         .0         .0
         .1002         .0         .0         .0       85.6      -37.9         .0         .0
         .1035         .0         .0         .0       85.6      -37.9         .0         .0
         .1069         .0         .0         .0       85.6      -37.9         .0         .0
         .1103         .0         .0         .0       85.6      -37.9         .0         .0
         .1137         .0         .0         .0       85.6      -37.9         .0         .0
         .1181         .0         .0         .0       85.6      -37.9         .0         .0
         .1225         .0         .0         .0       85.6      -37.9         .0         .0
         .1269         .0         .0         .0       85.6      -37.9         .0         .0
         .1313         .0         .0         .0       85.6      -37.9         .0         .0
         .1357         .0         .0         .0       85.6      -37.9         .0         .0
         .1400         .0         .0         .0       85.6      -37.9         .0         .0
         .1444         .0         .0         .0       85.6      -37.9         .0         .0
         .1488         .0         .0         .0       85.6      -37.9         .0         .0
         .1545         .0         .0         .0       85.6      -37.9         .0         .0
         .1602         .0         .0         .0       85.6      -37.9         .0         .0
         .1658         .0         .0         .0       85.6      -37.9         .0         .0
