


                       Node(655)                     Node(***)                     Node(***)                     Node(***)                     Node(***)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
       .000    -35.718   .3323   20.000      -14.548   .3928   20.000       45.004   .4300   20.000      -46.846   .3084   20.000      -22.267   .3685   20.000
       .001    -35.718   .3323   20.000      -14.548   .3928   20.000       45.004   .4300   20.000      -46.846   .3084   20.000      -22.267   .3685   20.000
       .002    -35.718   .3323   20.000      -14.548   .3928   20.000       45.004   .4300   20.000      -46.845   .3084   20.000      -22.266   .3685   20.000
       .004    -35.717   .3323   20.000      -14.547   .3928   20.000       45.004   .4300   20.000      -46.845   .3084   20.000      -22.266   .3685   20.000
       .006    -35.717   .3323   20.000      -14.546   .3928   20.000       45.004   .4300   20.000      -46.845   .3084   20.000      -22.265   .3686   20.000
       .009    -35.716   .3323   20.000      -14.545   .3928   20.000       45.004   .4300   20.000      -46.845   .3084   20.000      -22.264   .3686   20.000
       .012    -35.715   .3323   20.000      -14.544   .3928   20.000       45.005   .4300   20.000      -46.844   .3084   20.000      -22.263   .3686   20.000
       .016    -35.714   .3323   20.000      -14.543   .3928   20.000       45.005   .4300   20.000      -46.844   .3084   20.000      -22.262   .3686   20.000
       .019    -35.713   .3323   20.000      -14.542   .3928   20.000       45.005   .4300   20.000      -46.843   .3084   20.000      -22.261   .3686   20.000
       .023    -35.712   .3323   20.000      -14.541   .3929   20.000       45.005   .4300   20.000      -46.843   .3084   20.000      -22.260   .3686   20.000
       .028    -35.711   .3323   20.000      -14.539   .3929   20.000       45.005   .4300   20.000      -46.842   .3084   20.000      -22.258   .3686   20.000
       .033    -35.710   .3323   20.000      -14.538   .3929   20.000       45.005   .4300   20.000      -46.841   .3084   20.000      -22.257   .3686   20.000
       .038    -35.709   .3323   20.000      -14.536   .3929   20.000       45.006   .4300   20.000      -46.841   .3084   20.000      -22.256   .3686   20.000
       .042    -35.708   .3324   20.000      -14.534   .3929   20.000       45.006   .4300   20.000      -46.840   .3084   20.000      -22.254   .3686   20.000
       .047    -35.706   .3324   20.000      -14.533   .3929   20.000       45.006   .4300   20.000      -46.839   .3084   20.000      -22.253   .3686   20.000
       .052    -35.705   .3324   20.000      -14.531   .3929   20.000       45.006   .4300   20.000      -46.839   .3084   20.000      -22.251   .3686   20.000
       .057    -35.704   .3324   20.000      -14.529   .3929   20.000       45.006   .4300   20.000      -46.838   .3084   20.000      -22.250   .3686   20.000
       .062    -35.703   .3324   20.000      -14.528   .3929   20.000       45.006   .4300   20.000      -46.838   .3085   20.000      -22.248   .3686   20.000
       .066    -35.702   .3324   20.000      -14.526   .3929   20.000       45.007   .4300   20.000      -46.837   .3085   20.000      -22.247   .3686   20.000
       .071    -35.700   .3324   20.000      -14.525   .3929   20.000       45.007   .4300   20.000      -46.836   .3085   20.000      -22.245   .3686   20.000
       .076    -35.699   .3324   20.000      -14.523   .3929   20.000       45.007   .4300   20.000      -46.836   .3085   20.000      -22.244   .3686   20.000
       .081    -35.698   .3324   20.000      -14.521   .3929   20.000       45.007   .4300   20.000      -46.835   .3085   20.000      -22.242   .3686   20.000
       .086    -35.697   .3324   20.000      -14.519   .3929   20.000       45.007   .4300   20.000      -46.834   .3085   20.000      -22.241   .3686   20.000
       .091    -35.696   .3324   20.000      -14.518   .3929   20.000       45.007   .4300   20.000      -46.834   .3085   20.000      -22.239   .3686   20.000
       .095    -35.695   .3324   20.000      -14.516   .3929   20.000       45.008   .4300   20.000      -46.833   .3085   20.000      -22.238   .3686   20.000
       .100    -35.693   .3324   20.000      -14.514   .3929   20.000       45.008   .4300   20.000      -46.832   .3085   20.000      -22.236   .3686   20.000
       .104    -35.692   .3324   20.000      -14.512   .3929   20.000       45.008   .4300   20.000      -46.832   .3085   20.000      -22.235   .3686   20.000
       .107    -35.692   .3324   20.000      -14.511   .3929   20.000       45.008   .4300   20.000      -46.831   .3085   20.000      -22.234   .3686   20.000
       .110    -35.691   .3324   20.000      -14.509   .3930   20.000       45.008   .4300   20.000      -46.831   .3085   20.000      -22.233   .3686   20.000
       .114    -35.690   .3324   20.000      -14.508   .3930   20.000       45.008   .4300   20.000      -46.831   .3085   20.000      -22.232   .3687   20.000
       .118    -35.689   .3324   20.000      -14.505   .3930   20.000       45.008   .4300   20.000      -46.830   .3085   20.000      -22.231   .3687   20.000
       .122    -35.688   .3324   20.000      -14.502   .3930   20.000       45.009   .4300   20.000      -46.829   .3085   20.000      -22.230   .3687   20.000
       .127    -35.687   .3324   20.000      -14.499   .3930   20.000       45.009   .4300   20.000      -46.829   .3085   20.000      -22.228   .3687   20.000
       .131    -35.686   .3324   20.000      -14.493   .3930   20.000       45.009   .4300   20.000      -46.828   .3085   20.000      -22.227   .3687   20.000
       .136    -35.685   .3324   20.000      -14.487   .3930   20.000       45.009   .4300   20.000      -46.828   .3085   20.000      -22.226   .3687   20.000
       .140    -35.683   .3324   20.000      -14.479   .3931   20.000       45.009   .4300   20.000      -46.827   .3085   20.000      -22.224   .3687   20.000
       .144    -35.682   .3324   20.000      -14.470   .3931   20.000       45.009   .4300   20.000      -46.826   .3085   20.000      -22.223   .3687   20.000
       .149    -35.681   .3324   20.000      -14.459   .3931   20.000       45.009   .4300   20.000      -46.826   .3085   20.000      -22.222   .3687   20.000
       .154    -35.680   .3324   20.000      -14.445   .3932   20.000       45.010   .4300   20.000      -46.825   .3085   20.000      -22.220   .3687   20.000
       .160    -35.678   .3324   20.000      -14.428   .3932   20.000       45.010   .4300   20.000      -46.824   .3085   20.000      -22.218   .3687   20.000
       .166    -35.676   .3324   20.000      -14.410   .3933   20.000       45.010   .4300   20.000      -46.824   .3085   20.000      -22.217   .3687   20.000
       .173    -35.674   .3324   20.000      -14.385   .3934   20.000       45.010   .4300   20.000      -46.823   .3085   20.000      -22.214   .3687   20.000
       .183    -35.670   .3324   20.000      -14.349   .3935   20.000       45.011   .4300   20.000      -46.821   .3085   20.000      -22.211   .3687   20.000
       .192    -35.667   .3325   20.000      -14.310   .3936   20.000       45.011   .4300   20.000      -46.820   .3085   20.000      -22.209   .3687   20.000
       .202    -35.662   .3325   20.000      -14.269   .3937   20.000       45.011   .4300   20.000      -46.819   .3085   20.000      -22.206   .3687   20.000
       .212    -35.657   .3325   20.000      -14.226   .3939   20.000       45.012   .4300   20.000      -46.818   .3085   20.000      -22.203   .3687   20.000
       .221    -35.652   .3325   20.000      -14.182   .3940   20.000       45.012   .4300   20.000      -46.816   .3085   20.000      -22.200   .3688   20.000
       .234    -35.643   .3325   20.000      -14.120   .3942   20.000       45.012   .4300   20.000      -46.815   .3085   20.000      -22.196   .3688   20.000
       .247    -35.633   .3325   20.000      -14.057   .3944   20.000       45.013   .4300   20.000      -46.813   .3085   20.000      -22.192   .3688   20.000
       .262    -35.618   .3326   20.000      -13.974   .3947   20.000       45.013   .4300   20.000      -46.811   .3085   20.000      -22.187   .3688   20.000
       .278    -35.600   .3326   20.000      -13.890   .3950   20.000       45.014   .4300   20.000      -46.808   .3085   20.000      -22.182   .3688   20.000
       .300    -35.570   .3327   20.000      -13.767   .3954   20.000       45.014   .4300   20.000      -46.805   .3085   20.000      -22.175   .3688   20.000
       .323    -35.534   .3328   20.000      -13.640   .3958   20.000       45.015   .4300   20.000      -46.802   .3085   20.000      -22.168   .3688   20.000
       .345    -35.490   .3329   20.000      -13.509   .3962   20.000       45.016   .4300   20.000      -46.799   .3085   20.000      -22.161   .3689   20.000
       .371    -35.431   .3330   20.000      -13.352   .3967   20.000       45.017   .4300   20.000      -46.795   .3085   20.000      -22.152   .3689   20.000
       .397    -35.362   .3332   20.000      -13.193   .3972   20.000       45.018   .4300   20.000      -46.791   .3085   20.000      -22.144   .3689   20.000
