 Water flow to a stream - 3                                              
 
 Program HYDRUS2
 Date:  17. 2.    Time:  12:42:35
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

       Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
        [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

         .0010   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.104E+02   .606E-01   .000E+00   .000E+00
         .0023   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.221E+02   .139E+00   .000E+00   .000E+00
         .0040   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.353E+02   .242E+00   .000E+00   .000E+00
         .0062   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.500E+02   .375E+00   .000E+00   .000E+00
         .0090   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.664E+02   .548E+00   .000E+00   .000E+00
         .0119   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.808E+02   .721E+00   .000E+00   .000E+00
         .0156   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.973E+02   .946E+00   .000E+00   .000E+00
         .0193   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.112E+03   .117E+01   .000E+00   .000E+00
         .0230   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.126E+03   .140E+01   .000E+00   .000E+00
         .0279   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.143E+03   .169E+01   .000E+00   .000E+00
         .0327   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.159E+03   .198E+01   .000E+00   .000E+00
         .0376   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.175E+03   .228E+01   .000E+00   .000E+00
         .0424   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.190E+03   .257E+01   .000E+00   .000E+00
         .0472   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.205E+03   .286E+01   .000E+00   .000E+00
         .0521   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.220E+03   .316E+01   .000E+00   .000E+00
         .0569   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.234E+03   .345E+01   .000E+00   .000E+00
         .0617   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.249E+03   .374E+01   .000E+00   .000E+00
         .0666   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.263E+03   .404E+01   .000E+00   .000E+00
         .0714   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.277E+03   .433E+01   .000E+00   .000E+00
         .0762   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.292E+03   .462E+01   .000E+00   .000E+00
         .0811   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.306E+03   .492E+01   .000E+00   .000E+00
