


                               Node(655)                                           Node(***)                                           Node(***)                                           Node(***)                                           Node(***)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
    100.000      2.441   .4300   20.000   .272E-10   .000E+00       30.524   .4300   20.000   .553E+00   .000E+00       47.709   .4300   20.000   .591E-34   .000E+00      -28.470   .3507   20.000   .000E+00   .000E+00        7.130   .4300   20.000   .874E-20   .000E+00
    100.001      2.435   .4300   20.000   .272E-10   .000E+00       30.516   .4300   20.000   .553E+00   .000E+00       47.709   .4300   20.000   .000E+00   .000E+00      -28.470   .3507   20.000   .000E+00   .000E+00        7.130   .4300   20.000   .874E-20   .000E+00
    100.002      2.432   .4300   20.000   .272E-10   .000E+00       30.513   .4300   20.000   .553E+00   .000E+00       47.709   .4300   20.000   .000E+00   .000E+00      -28.470   .3507   20.000   .000E+00   .000E+00        7.130   .4300   20.000   .875E-20   .000E+00
    100.003      2.427   .4300   20.000   .272E-10   .000E+00       30.510   .4300   20.000   .553E+00   .000E+00       47.709   .4300   20.000   .000E+00   .000E+00      -28.470   .3507   20.000   .000E+00   .000E+00        7.130   .4300   20.000   .875E-20   .000E+00
    100.005      2.422   .4300   20.000   .272E-10   .000E+00       30.507   .4300   20.000   .553E+00   .000E+00       47.709   .4300   20.000   .000E+00   .000E+00      -28.470   .3507   20.000   .000E+00   .000E+00        7.130   .4300   20.000   .876E-20   .000E+00
    100.007      2.415   .4300   20.000   .272E-10   .000E+00       30.503   .4300   20.000   .553E+00   .000E+00       47.709   .4300   20.000   .000E+00   .000E+00      -28.470   .3507   20.000   .000E+00   .000E+00        7.130   .4300   20.000   .877E-20   .000E+00
    100.010      2.406   .4300   20.000   .272E-10   .000E+00       30.499   .4300   20.000   .553E+00   .000E+00       47.709   .4300   20.000   .000E+00   .000E+00      -28.470   .3507   20.000   .000E+00   .000E+00        7.130   .4300   20.000   .878E-20   .000E+00
    100.014      2.395   .4300   20.000   .273E-10   .000E+00       30.492   .4300   20.000   .553E+00   .000E+00       47.709   .4300   20.000   .000E+00   .000E+00      -28.470   .3507   20.000   .000E+00   .000E+00        7.130   .4300   20.000   .880E-20   .000E+00
    100.019      2.380   .4300   20.000   .273E-10   .000E+00       30.482   .4300   20.000   .553E+00   .000E+00       47.709   .4300   20.000   .000E+00   .000E+00      -28.470   .3507   20.000   .000E+00   .000E+00        7.130   .4300   20.000   .882E-20   .000E+00
    100.025      2.361   .4300   20.000   .273E-10   .000E+00       30.465   .4300   20.000   .553E+00   .000E+00       47.709   .4300   20.000   .000E+00   .000E+00      -28.470   .3507   20.000   .000E+00   .000E+00        7.130   .4300   20.000   .884E-20   .000E+00
    100.033      2.336   .4300   20.000   .273E-10   .000E+00       30.440   .4300   20.000   .553E+00   .000E+00       47.709   .4300   20.000   .000E+00   .000E+00      -28.470   .3507   20.000   .000E+00   .000E+00        7.130   .4300   20.000   .887E-20   .000E+00
    100.044      2.303   .4300   20.000   .273E-10   .000E+00       30.402   .4300   20.000   .554E+00   .000E+00       47.709   .4300   20.000   .000E+00   .000E+00      -28.470   .3507   20.000   .000E+00   .000E+00        7.130   .4300   20.000   .892E-20   .000E+00
