 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  18. 2.    Time:  16:53:10
 Time independent boundary conditions
 Horizontal plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

       Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
        [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

         .0001   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.815E+00   .000E+00   .000E+00   .000E+00
         .0002   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.182E+01   .000E+00   .000E+00   .000E+00
         .0004   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.304E+01   .000E+00   .000E+00   .000E+00
         .0006   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.451E+01   .000E+00   .000E+00   .000E+00
         .0009   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.626E+01   .000E+00   .000E+00   .000E+00
         .0013   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.832E+01   .000E+00   .000E+00   .000E+00
         .0018   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.107E+02   .000E+00   .000E+00   .000E+00
         .0024   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.135E+02   .000E+00   .000E+00   .000E+00
         .0032   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.167E+02   .000E+00   .000E+00   .000E+00
         .0043   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.203E+02   .000E+00   .000E+00   .000E+00
         .0056   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.243E+02   .000E+00   .000E+00   .000E+00
         .0074   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.288E+02   .000E+00   .000E+00   .000E+00
         .0098   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.337E+02   .000E+00   .000E+00   .000E+00
         .0128   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.391E+02   .000E+00   .000E+00   .000E+00
         .0167   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.449E+02   .000E+00   .000E+00   .000E+00
         .0218   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.513E+02   .000E+00   .000E+00   .000E+00
         .0285   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.583E+02   .000E+00   .000E+00   .000E+00
         .0372   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.660E+02   .000E+00   .000E+00   .000E+00
         .0458   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.726E+02   .000E+00   .000E+00   .000E+00
         .0545   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.786E+02   .000E+00   .000E+00   .000E+00
         .0632   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.840E+02   .000E+00   .000E+00   .000E+00
