

       Time         hAtm       hRoot     hKode3     hKode1        hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

         .0001         .0         .0         .0         .0         .0         .0         .0
         .0002         .0         .0         .0         .0         .0         .0         .0
         .0004         .0         .0         .0         .0         .0         .0         .0
         .0006         .0         .0         .0         .0         .0         .0         .0
         .0009         .0         .0         .0         .0         .0         .0         .0
         .0013         .0         .0         .0         .0         .0         .0         .0
         .0018         .0         .0         .0         .0         .0         .0         .0
         .0024         .0         .0         .0         .0         .0         .0         .0
         .0032         .0         .0         .0         .0         .0         .0         .0
         .0043         .0         .0         .0         .0         .0         .0         .0
         .0056         .0         .0         .0         .0         .0         .0         .0
         .0074         .0         .0         .0         .0         .0         .0         .0
         .0098         .0         .0         .0         .0         .0         .0         .0
         .0128         .0         .0         .0         .0         .0         .0         .0
         .0167         .0         .0         .0         .0         .0         .0         .0
         .0218         .0         .0         .0         .0         .0         .0         .0
         .0285         .0         .0         .0         .0         .0         .0         .0
         .0372         .0         .0         .0         .0         .0         .0         .0
         .0458         .0         .0         .0         .0         .0         .0         .0
         .0545         .0         .0         .0         .0         .0         .0         .0
         .0632         .0         .0         .0         .0         .0         .0         .0
         .0745         .0         .0         .0         .0         .0         .0         .0
         .0858         .0         .0         .0         .0         .0         .0         .0
         .0971         .0         .0         .0         .0         .0         .0         .0
         .1116         .0         .0         .0         .0         .0         .0         .0
         .1262         .0         .0         .0         .0         .0         .0         .0
         .1452         .0         .0         .0         .0         .0         .0         .0
         .1642         .0         .0         .0         .0         .0         .0         .0
         .1832         .0         .0         .0         .0         .0         .0         .0
         .2022         .0         .0         .0         .0         .0         .0         .0
         .2212         .0         .0         .0         .0         .0         .0         .0
         .2402         .0         .0         .0         .0         .0         .0         .0
         .2647         .0         .0         .0         .0         .0         .0         .0
         .2892         .0         .0         .0         .0         .0         .0         .0
         .3137         .0         .0         .0         .0         .0         .0         .0
         .3382         .0         .0         .0         .0         .0         .0         .0
         .3697         .0         .0         .0         .0         .0         .0         .0
         .4012         .0         .0         .0         .0         .0         .0         .0
         .4327         .0         .0         .0         .0         .0         .0         .0
         .4733         .0         .0         .0         .0         .0         .0         .0
         .5138         .0         .0         .0         .0         .0         .0         .0
         .5543         .0         .0         .0         .0         .0         .0         .0
         .5948         .0         .0         .0         .0         .0         .0         .0
         .6353         .0         .0         .0         .0         .0         .0         .0
         .6759         .0         .0         .0         .0         .0         .0         .0
