


                       Node(***)                     Node(***)                     Node(***)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
       .000   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .000   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .000   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .000   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .001   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .001   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .001   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .002   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .002   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .003   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .004   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .006   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .007   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .010   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .013   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .017   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .022   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .028   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .037   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .046   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .055   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .063   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .074   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
       .086   -100.000   .2426   20.000     -100.000   .2426   20.000     -100.000   .2426   20.000
