

  TLevel   Time         dt      Iter  ItCum

     1  .10000E-03  .10000E-03    3      3
     2  .22999E-03  .12999E-03    3      6
     3  .39899E-03  .16899E-03    3      9
     4  .61868E-03  .21969E-03    3     12
     5  .90430E-03  .28562E-03    3     15
     6  .12756E-02  .37127E-03    3     18
     7  .17583E-02  .48271E-03    3     21
     8  .23857E-02  .62743E-03    3     24
     9  .32014E-02  .81571E-03    3     27
    10  .42618E-02  .10604E-02    3     30
    11  .56410E-02  .13791E-02    3     33
    12  .74326E-02  .17916E-02    3     36
    13  .97626E-02  .23300E-02    3     39
    14  .12791E-01  .30282E-02    3     42
    15  .16724E-01  .39331E-02    3     45
    16  .21845E-01  .51212E-02    3     48
    17  .28499E-01  .66541E-02    3     51
    18  .37173E-01  .86741E-02    4     55
    19  .45848E-01  .86741E-02    4     59
    20  .54522E-01  .86741E-02    4     63
    21  .63196E-01  .86741E-02    3     66
    22  .74483E-01  .11287E-01    4     70
    23  .85769E-01  .11287E-01    4     74
    24  .97056E-01  .11287E-01    3     77
    25  .11162E+00  .14564E-01    4     81
    26  .12618E+00  .14564E-01    3     84
    27  .14518E+00  .18996E-01    4     88
    28  .16418E+00  .18996E-01    4     92
    29  .18317E+00  .18996E-01    4     96
    30  .20217E+00  .18996E-01    4    100
    31  .22116E+00  .18996E-01    4    104
    32  .24016E+00  .18996E-01    3    107
    33  .26467E+00  .24511E-01    4    111
    34  .28918E+00  .24511E-01    4    115
    35  .31369E+00  .24511E-01    4    119
    36  .33820E+00  .24511E-01    3    122
    37  .36972E+00  .31514E-01    4    126
    38  .40123E+00  .31514E-01    4    130
    39  .43275E+00  .31514E-01    3    133
    40  .47326E+00  .40518E-01    4    137
    41  .51378E+00  .40518E-01    4    141
    42  .55430E+00  .40518E-01    4    145
    43  .59482E+00  .40518E-01    4    149
    44  .63534E+00  .40518E-01    4    153
    45  .67585E+00  .40518E-01    4    157
    46  .71637E+00  .40518E-01    4    161
    47  .75689E+00  .40518E-01    4    165
    48  .79741E+00  .40518E-01    3    168
    49  .84806E+00  .50648E-01    4    172
    50  .89870E+00  .50648E-01    4    176
    51  .94935E+00  .50648E-01    4    180
    52  .10000E+01  .50648E-01    4    184
    53  .10536E+01  .53571E-01    4    188
    54  .11071E+01  .53571E-01    4    192
    55  .11607E+01  .53571E-01    4    196
    56  .12143E+01  .53571E-01    4    200
    57  .12679E+01  .53571E-01    3    203
    58  .13403E+01  .72479E-01    4    207
    59  .14128E+01  .72479E-01    4    211
    60  .14853E+01  .72479E-01    4    215
    61  .15578E+01  .72479E-01    4    219
    62  .16303E+01  .72479E-01    4    223
