 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  18. 2.    Time:  16:53:10
 Time independent boundary conditions
 Horizontal plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All fluxes (v) are positive out of the region

       Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
        [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

         .0001   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.815E+04   .000E+00   .000E+00   .000E+00
         .0002   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.774E+04   .000E+00   .000E+00   .000E+00
         .0004   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.724E+04   .000E+00   .000E+00   .000E+00
         .0006   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.668E+04   .000E+00   .000E+00   .000E+00
         .0009   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.614E+04   .000E+00   .000E+00   .000E+00
         .0013   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.555E+04   .000E+00   .000E+00   .000E+00
         .0018   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.499E+04   .000E+00   .000E+00   .000E+00
         .0024   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.443E+04   .000E+00   .000E+00   .000E+00
         .0032   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.389E+04   .000E+00   .000E+00   .000E+00
         .0043   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.339E+04   .000E+00   .000E+00   .000E+00
         .0056   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.292E+04   .000E+00   .000E+00   .000E+00
         .0074   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.249E+04   .000E+00   .000E+00   .000E+00
         .0098   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.211E+04   .000E+00   .000E+00   .000E+00
         .0128   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.178E+04   .000E+00   .000E+00   .000E+00
         .0167   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.149E+04   .000E+00   .000E+00   .000E+00
         .0218   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.125E+04   .000E+00   .000E+00   .000E+00
         .0285   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.105E+04   .000E+00   .000E+00   .000E+00
         .0372   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.883E+03   .000E+00   .000E+00   .000E+00
         .0458   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.771E+03   .000E+00   .000E+00   .000E+00
