 EXAMPLE 1                                                               
 
 Program HYDRUS2
 Date:  17. 2.    Time:   9: 6:36
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

       Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
        [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

         .0010   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.351E-01   .000E+00   .000E+00   .000E+00
         .0017   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.507E-01   .000E+00   .000E+00   .000E+00
         .0024   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.628E-01   .000E+00   .000E+00   .000E+00
         .0031   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.731E-01   .000E+00   .000E+00   .000E+00
         .0038   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.824E-01   .000E+00   .000E+00   .000E+00
         .0045   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.907E-01   .000E+00   .000E+00   .000E+00
         .0052   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.984E-01   .000E+00   .000E+00   .000E+00
         .0059   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.105E+00   .000E+00   .000E+00   .000E+00
         .0066   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.112E+00   .000E+00   .000E+00   .000E+00
         .0073   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.118E+00   .000E+00   .000E+00   .000E+00
         .0080   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.124E+00   .000E+00   .000E+00   .000E+00
         .0087   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.130E+00   .000E+00   .000E+00   .000E+00
         .0094   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.135E+00   .000E+00   .000E+00   .000E+00
         .0101   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.140E+00   .000E+00   .000E+00   .000E+00
         .0108   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.145E+00   .000E+00   .000E+00   .000E+00
         .0115   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.150E+00   .000E+00   .000E+00   .000E+00
         .0122   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.155E+00   .000E+00   .000E+00   .000E+00
         .0129   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.159E+00   .000E+00   .000E+00   .000E+00
         .0136   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.164E+00   .000E+00   .000E+00   .000E+00
         .0143   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.169E+00   .000E+00   .000E+00   .000E+00
         .0150   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.173E+00   .000E+00   .000E+00   .000E+00
