

       Time         hAtm       hRoot     hKode3     hKode1        hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

         .0010         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0017         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0024         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0031         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0038         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0045         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0052         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0059         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0066         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0073         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0080         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0087         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0094         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0101         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0108         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0115         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0122         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0129         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0136         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0143         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0150         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0157         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0164         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0171         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0178         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0185         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0192         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0199         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0206         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0213         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0220         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0227         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0234         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0243         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0252         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0261         .0         .0         .0      -50.0    -1000.0         .0         .0
         .0270         .0         .0         .0      -50.0    -1000.0         .0         .0
