 EXAMPLE 1                                                               
 
 Program HYDRUS2
 Date:  17. 2.    Time:   9: 6:36
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = hours, M = mmol 
 All fluxes (v) are positive out of the region

       Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
        [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

         .0010   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.351E+02   .000E+00   .000E+00   .000E+00
         .0017   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.223E+02   .000E+00   .000E+00   .000E+00
         .0024   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.173E+02   .000E+00   .000E+00   .000E+00
         .0031   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.147E+02   .000E+00   .000E+00   .000E+00
         .0038   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.132E+02   .000E+00   .000E+00   .000E+00
         .0045   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.120E+02   .000E+00   .000E+00   .000E+00
         .0052   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.109E+02   .000E+00   .000E+00   .000E+00
         .0059   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.101E+02   .000E+00   .000E+00   .000E+00
         .0066   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.936E+01   .000E+00   .000E+00   .000E+00
         .0073   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.880E+01   .000E+00   .000E+00   .000E+00
         .0080   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.834E+01   .000E+00   .000E+00   .000E+00
         .0087   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.792E+01   .000E+00   .000E+00   .000E+00
         .0094   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.764E+01   .000E+00   .000E+00   .000E+00
         .0101   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.740E+01   .000E+00   .000E+00   .000E+00
         .0108   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.717E+01   .000E+00   .000E+00   .000E+00
         .0115   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.698E+01   .000E+00   .000E+00   .000E+00
         .0122   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.683E+01   .000E+00   .000E+00   .000E+00
         .0129   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.668E+01   .000E+00   .000E+00   .000E+00
         .0136   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.655E+01   .000E+00   .000E+00   .000E+00
