 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  23. 2.    Time:  13:52:18
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 


 Time:     10.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1   -2.0   -6.0   -2   .000E+00   .000E+00       -1.1   .236     20.00  .000E+00
    2   23    2.0   -6.0   -2   .000E+00   .000E+00       -1.1   .237     20.00  .000E+00
    3   24    2.0   -5.9   -2   .000E+00   .000E+00       -1.0   .241     20.00  .000E+00
    4   25    2.0   -5.7   -2   .000E+00   .000E+00       -1.0   .242     20.00  .000E+00
    5   26    2.0   -5.6   -2   .000E+00   .000E+00       -1.0   .242     20.00  .000E+00
    6   27    2.0   -5.5   -2   .000E+00   .000E+00       -1.0   .242     20.00  .000E+00
    7   28    2.0   -5.4   -2   .000E+00   .000E+00       -1.0   .243     20.00  .000E+00
    8   29    2.0   -5.2   -2   .000E+00   .000E+00       -1.0   .243     20.00  .000E+00
    9   30    2.0   -5.1   -2   .000E+00   .000E+00       -1.0   .243     20.00  .000E+00
   10   31    2.0   -5.0   -2   .000E+00   .000E+00       -1.0   .243     20.00  .000E+00
   11   32    2.0   -4.9   -2   .000E+00   .000E+00       -1.0   .244     20.00  .000E+00
   12   33    2.0   -4.8   -2   .000E+00   .000E+00       -1.0   .244     20.00  .000E+00
   13   34    2.0   -4.6   -2   .000E+00   .000E+00       -1.0   .244     20.00  .000E+00
   14   35    1.9   -4.5   -2   .000E+00   .000E+00       -1.0   .245     20.00  .000E+00
   15   36    1.9   -4.4   -2   .000E+00   .000E+00       -1.0   .245     20.00  .000E+00
   16   37    1.9   -4.3   -2   .000E+00   .000E+00       -1.0   .246     20.00  .000E+00
   17   38    1.9   -4.1   -2   .000E+00   .000E+00       -1.0   .246     20.00  .000E+00
   18   39    1.9   -4.0   -2   .000E+00   .000E+00        -.9   .247     20.00  .000E+00
   19   40    1.8   -3.9   -2   .000E+00   .000E+00        -.9   .247     20.00  .000E+00
   20   41    1.8   -3.8   -2   .000E+00   .000E+00        -.9   .248     20.00  .000E+00
   21   42    1.8   -3.7   -2   .000E+00   .000E+00        -.9   .249     20.00  .000E+00
   22   43    1.7   -3.6   -2   .000E+00   .000E+00        -.9   .249     20.00  .000E+00
   23   44    1.7   -3.5   -2   .000E+00   .000E+00        -.9   .250     20.00  .000E+00
   24   45    1.6   -3.3   -2   .000E+00   .000E+00        -.9   .251     20.00  .000E+00
   25   46    1.6   -3.2   -2   .000E+00   .000E+00        -.9   .252     20.00  .000E+00
   26   47    1.5   -3.1   -2   .000E+00   .000E+00        -.9   .253     20.00  .000E+00
   27   48    1.4   -3.0   -2   .000E+00   .000E+00        -.9   .254     20.00  .000E+00
   28   49    1.4   -2.9   -2   .000E+00   .000E+00        -.9   .255     20.00  .000E+00
   29   50    1.3   -2.9   -2   .000E+00   .000E+00        -.8   .256     20.00  .000E+00
   30   51    1.2   -2.8   -2   .000E+00   .000E+00        -.8   .257     20.00  .000E+00
   31   52    1.1   -2.7   -2   .000E+00   .000E+00        -.8   .258     20.00  .000E+00
   32   53    1.0   -2.7   -2   .000E+00   .000E+00        -.8   .259     20.00  .000E+00
   33   54     .9   -2.6   -2   .000E+00   .000E+00        -.8   .260     20.00  .000E+00
   34   55     .8   -2.5   -2   .000E+00   .000E+00        -.8   .261     20.00  .000E+00
   35   56     .6   -2.5   -2   .000E+00   .000E+00        -.8   .261     20.00  .141E-28
   36   57     .5   -2.5   -2   .000E+00   .000E+00        -.8   .262     20.00  .937E-27
   37   58     .4   -2.4   -2   .000E+00   .000E+00        -.8   .262     20.00  .256E-26
   38   59     .3   -2.4   -2   .000E+00   .000E+00        -.8   .262     20.00  .462E-26
   39   60     .2   -2.4   -2   .000E+00   .000E+00        -.8   .262     20.00  .317E-27
   40   61     .0   -2.4   -2   .000E+00   .000E+00        -.8   .262     20.00  .160E-26
   41   62    -.1   -2.4   -2   .000E+00   .000E+00        -.8   .262     20.00  .692E-26
   42   63    -.2   -2.4   -2   .000E+00   .000E+00        -.8   .262     20.00  .105E-25
   43   64    -.3   -2.4   -2   .000E+00   .000E+00        -.8   .262     20.00  .770E-26
   44   65    -.5   -2.4   -2   .000E+00   .000E+00        -.8   .262     20.00  .346E-25
   45   66    -.6   -2.5   -2   .000E+00   .000E+00        -.8   .261     20.00  .753E-25
   46   67    -.7   -2.5   -2   .000E+00   .000E+00        -.8   .261     20.00  .397E-26
   47   68    -.8   -2.6   -2   .000E+00   .000E+00        -.8   .260     20.00  .961E-28
   48   69    -.9   -2.6   -2   .000E+00   .000E+00        -.8   .260     20.00  .000E+00
   49   70   -1.0   -2.7   -2   .000E+00   .000E+00        -.8   .259     20.00 -.312E-29
   50   71   -1.1   -2.7   -2   .000E+00   .000E+00        -.8   .258     20.00  .000E+00
   51   72   -1.2   -2.8   -2   .000E+00   .000E+00        -.8   .257     20.00  .000E+00
   52   73   -1.3   -2.9   -2   .000E+00   .000E+00        -.8   .257     20.00  .000E+00
   53   74   -1.4   -3.0   -2   .000E+00   .000E+00        -.9   .256     20.00  .000E+00
   54   75   -1.5   -3.1   -2   .000E+00   .000E+00        -.9   .255     20.00  .000E+00
   55   76   -1.6   -3.2   -2   .000E+00   .000E+00        -.9   .254     20.00  .000E+00
   56   77   -1.6   -3.3   -2   .000E+00   .000E+00        -.9   .253     20.00  .000E+00
   57   78   -1.7   -3.4   -2   .000E+00   .000E+00        -.9   .252     20.00  .000E+00
   58   79   -1.7   -3.5   -2   .000E+00   .000E+00        -.9   .251     20.00  .000E+00
   59   80   -1.8   -3.6   -2   .000E+00   .000E+00        -.9   .250     20.00  .000E+00
   60   81   -1.8   -3.7   -2   .000E+00   .000E+00        -.9   .249     20.00  .000E+00
   61   82   -1.9   -3.8   -2   .000E+00   .000E+00        -.9   .249     20.00  .000E+00
   62   83   -1.9   -3.9   -2   .000E+00   .000E+00        -.9   .248     20.00  .000E+00
   63   84   -2.0   -4.1   -2   .000E+00   .000E+00        -.9   .247     20.00  .000E+00
   64   85   -2.0   -4.2   -2   .000E+00   .000E+00       -1.0   .246     20.00  .000E+00
   65   86   -2.0   -4.3   -2   .000E+00   .000E+00       -1.0   .246     20.00  .000E+00
   66   87   -2.0   -4.4   -2   .000E+00   .000E+00       -1.0   .245     20.00  .000E+00
   67   88   -2.0   -4.5   -2   .000E+00   .000E+00       -1.0   .244     20.00  .000E+00
   68   89   -2.0   -4.6   -2   .000E+00   .000E+00       -1.0   .244     20.00  .000E+00
   69   90   -2.1   -4.8   -2   .000E+00   .000E+00       -1.0   .243     20.00  .000E+00
   70   91   -2.1   -4.9   -2   .000E+00   .000E+00       -1.0   .243     20.00  .000E+00
   71   92   -2.1   -5.0   -2   .000E+00   .000E+00       -1.0   .242     20.00  .000E+00
   72   93   -2.1   -5.1   -2   .000E+00   .000E+00       -1.0   .242     20.00  .000E+00
   73   94   -2.0   -5.3   -2   .000E+00   .000E+00       -1.0   .242     20.00  .000E+00
   74   95   -2.0   -5.4   -2   .000E+00   .000E+00       -1.0   .241     20.00  .000E+00
   75   96   -2.0   -5.5   -2   .000E+00   .000E+00       -1.0   .241     20.00  .000E+00
   76   97   -2.0   -5.6   -2   .000E+00   .000E+00       -1.0   .241     20.00  .000E+00
   77   98   -2.0   -5.8   -2   .000E+00   .000E+00       -1.0   .241     20.00  .000E+00
   78   99   -2.0   -5.9   -2   .000E+00   .000E+00       -1.0   .240     20.00  .000E+00
   79  100   -5.0    1.0   -1   .205E-02  -.250E-01        -.2   .383     20.00  .785E+00
   80  134   -5.0  -10.0   -6  -.851E-04   .340E-03       -1.0   .242     20.00  .000E+00
   81  135   -4.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   82  136   -4.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   83  137   -3.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   84  138   -3.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   85  139   -2.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   86  140   -2.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   87  141   -1.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   88  142   -1.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   89  143    -.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   90  144     .0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   91  145     .5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   92  146    1.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   93  147    1.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   94  148    2.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   95  149    2.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   96  150    3.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   97  151    3.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   98  152    4.0  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
   99  153    4.5  -10.0   -6  -.170E-03   .340E-03       -1.0   .242     20.00  .000E+00
  100  154    5.0  -10.0   -6  -.851E-04   .340E-03       -1.0   .242     20.00  .000E+00
  101  188    5.0    1.0   -1   .205E-02  -.250E-01        -.2   .383     20.00  .785E+00
  102  189    4.8    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
  103  190    4.7    1.0   -1   .410E-02  -.250E-01        -.2   .383     20.00  .785E+00
