 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  23. 2.    Time:  13:52:18
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

       Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
        [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

       10.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.250E+01   .000E+00   .000E+00   .340E-01
       20.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.500E+01   .437E-02   .000E+00   .681E-01
       30.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.750E+01   .400E+00   .000E+00   .102E+00
       40.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.100E+02   .821E+00   .000E+00   .136E+00
       50.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.125E+02   .124E+01   .000E+00   .170E+00
       60.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.150E+02   .166E+01   .000E+00   .783E+00
       70.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.175E+02   .209E+01   .000E+00   .269E+01
       80.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.200E+02   .251E+01   .000E+00   .468E+01
       90.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.225E+02   .293E+01   .000E+00   .671E+01
      100.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.250E+02   .335E+01   .000E+00   .876E+01
end
