

       Time         hAtm       hRoot     hKode3     hKode1        hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

       10.0000         .0         .0         .0        -.2        -.9         .0       -1.0
       20.0000         .0         .0         .0        -.2        -.7         .0       -1.0
       30.0000         .0         .0         .0        -.2        -.1         .0       -1.0
       40.0000         .0         .0         .0        -.2         .0         .0       -1.0
       50.0000         .0         .0         .0        -.2         .0         .0       -1.0
       60.0000         .0         .0         .0        -.2         .0         .0        -.4
       70.0000         .0         .0         .0        -.2         .0         .0        -.3
       80.0000         .0         .0         .0        -.2         .0         .0        -.3
       90.0000         .0         .0         .0        -.2         .0         .0        -.2
      100.0000         .0         .0         .0        -.2         .0         .0        -.2
end
