 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  23. 2.    Time:  13:52:18
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 
 All fluxes (v) are positive out of the region

       Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
        [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

       10.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.250E+00   .000E+00   .000E+00   .340E-02
       20.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.250E+00   .171E-01   .000E+00   .340E-02
       30.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.250E+00   .421E-01   .000E+00   .340E-02
       40.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.250E+00   .421E-01   .000E+00   .340E-02
       50.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.250E+00   .421E-01   .000E+00   .342E-02
       60.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.250E+00   .421E-01   .000E+00   .173E+00
       70.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.250E+00   .421E-01   .000E+00   .196E+00
       80.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.250E+00   .421E-01   .000E+00   .201E+00
       90.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.250E+00   .421E-01   .000E+00   .204E+00
      100.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.250E+00   .421E-01   .000E+00   .206E+00
end
