 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  20. 2.    Time:   4:35:34
 Time independent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = sec  , M = mmol 

 Max. number of iterations             21
 Absolute water content tolerance [-]  .00010
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .008   .350    .527E-01    .611E+01    .965E-02   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .0080   -.200E+04   .3301E+01   .4107E-13   .9216E-32  -.3204E+02     .0000
   .0080   -.203E+04   .3308E+01   .3719E-13   .7253E-32  -.3214E+02     .0000
   .0080   -.207E+04   .3315E+01   .3368E-13   .5705E-32  -.3224E+02     .0000
   .0080   -.210E+04   .3322E+01   .3050E-13   .4486E-32  -.3235E+02     .0000
   .0080   -.213E+04   .3329E+01   .2761E-13   .3529E-32  -.3245E+02     .0000
   .0080   -.217E+04   .3336E+01   .2500E-13   .2777E-32  -.3256E+02     .0000
   .0080   -.220E+04   .3343E+01   .2264E-13   .2183E-32  -.3266E+02     .0000
   .0080   -.224E+04   .3350E+01   .2050E-13   .1718E-32  -.3276E+02     .0000
   .0080   -.228E+04   .3358E+01   .1857E-13   .1351E-32  -.3287E+02     .0000
   .0080   -.232E+04   .3365E+01   .1681E-13   .1064E-32  -.3297E+02     .0000
   .0080   -.235E+04   .3372E+01   .1522E-13   .8360E-33  -.3308E+02     .0000
   .0080   -.239E+04   .3379E+01   .1378E-13   .6574E-33  -.3318E+02     .0000
   .0080   -.243E+04   .3386E+01   .1248E-13   .5176E-33  -.3329E+02     .0000
   .0080   -.247E+04   .3393E+01   .1130E-13   .4067E-33  -.3339E+02     .0000
   .0080   -.251E+04   .3400E+01   .1023E-13   .3203E-33  -.3349E+02     .0000
   .0080   -.255E+04   .3407E+01   .9267E-14   .2517E-33  -.3360E+02     .0000
   .0080   -.259E+04   .3414E+01   .8392E-14   .1979E-33  -.3370E+02     .0000
   .0080   -.264E+04   .3421E+01   .7599E-14   .1559E-33  -.3381E+02     .0000
   .0080   -.268E+04   .3428E+01   .6881E-14   .1227E-33  -.3391E+02     .0000
   .0080   -.272E+04   .3435E+01   .6231E-14   .9645E-34  -.3402E+02     .0000
   .0080   -.277E+04   .3442E+01   .5642E-14   .7577E-34  -.3412E+02     .0000
   .0080   -.281E+04   .3449E+01   .5109E-14   .5964E-34  -.3422E+02     .0000
   .0080   -.286E+04   .3456E+01   .4626E-14   .4697E-34  -.3433E+02     .0000
   .0080   -.291E+04   .3463E+01   .4189E-14   .3691E-34  -.3443E+02     .0000
   .0080   -.295E+04   .3470E+01   .3793E-14   .2899E-34  -.3454E+02     .0000
   .0080   -.300E+04   .3478E+01   .3435E-14   .2281E-34  -.3464E+02     .0000
   .0080   -.305E+04   .3485E+01   .3110E-14   .1792E-34  -.3475E+02     .0000
   .0080   -.310E+04   .3492E+01   .2816E-14   .1417E-34  -.3485E+02     .0000
   .0080   -.315E+04   .3499E+01   .2550E-14   .1115E-34  -.3495E+02     .0000
   .0080   -.320E+04   .3506E+01   .2309E-14   .8743E-35  -.3506E+02     .0000
   .0080   -.326E+04   .3513E+01   .2091E-14   .6901E-35  -.3516E+02     .0000
   .0080   -.331E+04   .3520E+01   .1893E-14   .5392E-35  -.3527E+02     .0000
   .0080   -.336E+04   .3527E+01   .1715E-14   .4266E-35  -.3537E+02     .0000
   .0080   -.342E+04   .3534E+01   .1553E-14   .3350E-35  -.3547E+02     .0000
   .0080   -.348E+04   .3541E+01   .1406E-14   .2649E-35  -.3558E+02     .0000
   .0080   -.353E+04   .3548E+01   .1273E-14   .2085E-35  -.3568E+02     .0000
   .0080   -.359E+04   .3555E+01   .1153E-14   .1635E-35  -.3579E+02     .0000
   .0080   -.365E+04   .3562E+01   .1044E-14   .1278E-35  -.3589E+02     .0000
   .0080   -.371E+04   .3569E+01   .9452E-15   .1019E-35  -.3599E+02     .0000
   .0080   -.377E+04   .3576E+01   .8559E-15   .7976E-36  -.3610E+02     .0000
   .0080   -.383E+04   .3583E+01   .7750E-15   .6263E-36  -.3620E+02     .0000
   .0080   -.389E+04   .3591E+01   .7018E-15   .4953E-36  -.3631E+02     .0000
   .0080   -.396E+04   .3598E+01   .6355E-15   .3836E-36  -.3642E+02     .0000
   .0080   -.402E+04   .3605E+01   .5754E-15   .3003E-36  -.3652E+02     .0000
   .0080   -.409E+04   .3612E+01   .5211E-15   .2389E-36  -.3662E+02     .0000
   .0080   -.416E+04   .3619E+01   .4718E-15   .1865E-36  -.3673E+02     .0000
   .0080   -.422E+04   .3626E+01   .4272E-15   .1491E-36  -.3683E+02     .0000
   .0080   -.429E+04   .3633E+01   .3869E-15   .1171E-36  -.3693E+02     .0000
   .0080   -.436E+04   .3640E+01   .3503E-15   .1000E-36  -.3700E+02     .0000
   .0080   -.444E+04   .3647E+01   .3172E-15   .1000E-36  -.3700E+02     .0000
   .0080   -.451E+04   .3654E+01   .2872E-15   .1000E-36  -.3700E+02     .0000
   .0080   -.458E+04   .3661E+01   .2601E-15   .1000E-36  -.3700E+02     .0000
   .0080   -.466E+04   .3668E+01   .2355E-15   .1000E-36  -.3700E+02     .0000
