 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  20. 2.    Time:   4:35:34
 Time independent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = sec  , M = mmol 
 All cumulative fluxes (CumQ) are positive out of the region

       Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
        [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

         .0005   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.889E-01   .000E+00   .000E+00   .000E+00
         .0010   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.175E+00   .000E+00   .000E+00   .000E+00
         .0015   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.258E+00   .000E+00   .000E+00   .000E+00
         .0020   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.340E+00   .000E+00   .000E+00   .000E+00
         .0025   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.429E+00   .000E+00   .000E+00   .000E+00
         .0032   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.525E+00   .000E+00   .000E+00   .000E+00
         .0038   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.630E+00   .000E+00   .000E+00   .000E+00
         .0046   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.744E+00   .000E+00   .000E+00   .000E+00
         .0054   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.868E+00   .000E+00   .000E+00   .000E+00
         .0062   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.100E+01   .000E+00   .000E+00   .000E+00
         .0072   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.115E+01   .000E+00   .000E+00   .000E+00
         .0083   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.131E+01   .000E+00   .000E+00   .000E+00
         .0095   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.149E+01   .000E+00   .000E+00   .000E+00
         .0108   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.168E+01   .000E+00   .000E+00   .000E+00
         .0122   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.190E+01   .000E+00   .000E+00   .000E+00
         .0138   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.213E+01   .000E+00   .000E+00   .000E+00
         .0155   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.239E+01   .000E+00   .000E+00   .000E+00
         .0172   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.266E+01   .000E+00   .000E+00   .000E+00
         .0189   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.292E+01   .000E+00   .000E+00   .000E+00
         .0207   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.320E+01   .000E+00   .000E+00   .000E+00
         .0224   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.348E+01   .000E+00   .000E+00   .000E+00
