 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Cone Penetrometer                                                     *
 *010697, Molly's Data                                                  *
 *                                                                      *
 ************************************************************************


 PROGRAM PARAMETERS
 ==================
 MAX. ITERATIONS.....................(MIT)............... 30
 NO. OF OBSERVATIONS.................(NOBb)............. 242


 SOIL PROPERTIES
 =========================
 RESIDUAL MOISTURE CONTENT...........(WCR)............      .008
 SATURATED MOISTURE CONTENT..........(WCS)............      .350
 FIRST COEFFICIENT...................(ALPHA)..........      .050
 SECOND COEFFICIENT..................(N)..............     4.000
 SATURATED CONDUCTIVITY..............(CONDS).......... .1200E-01
 PORE CONECTIVITY FACTOR.............(L)..............      .500
 MOISTURE CONTENT....................(WCM)............     1.200
 MOISTURE CONTENT....................(WCA)............ 


 Observed QUANTITY 
 ==================
    Obs     Time    QUANTITY     Type  Position   Weight
     1      1.000    -47.610       1     2       .005721
     2      1.000    -50.230       1     1       .005721
     3      5.000    -48.800       1     2       .005721
     4      5.000    -50.660       1     1       .005721
     5      5.000   -168.450       0     1       .000034
     6     10.000    -48.150       1     2       .005721
     7     10.000    -50.760       1     1       .005721
     8     10.000   -336.910       0     1       .000034
     9     15.000    -47.070       1     2       .005721
    10     15.000    -50.440       1     1       .005721
    11     15.000   -509.510       0     1       .000034
    12     20.000    -35.770       1     2       .005721
    13     20.000    -50.010       1     1       .005721
    14     20.000   -671.510       0     1       .000034
    15     25.000    -24.800       1     2       .005721
    16     25.000    -50.340       1     1       .005721
    17     25.000   -827.510       0     1       .000034
    18     30.000    -19.520       1     2       .005721
    19     30.000    -49.800       1     1       .005721
    20     30.000   -981.510       0     1       .000034
    21     35.000    -17.480       1     2       .005721
    22     35.000    -50.120       1     1       .005721
    23     35.000  -1131.510       0     1       .000034
    24     40.000    -15.330       1     2       .005721
    25     40.000    -50.010       1     1       .005721
    26     40.000  -1279.510       0     1       .000034
    27     45.000    -15.430       1     2       .005721
    28     45.000    -50.660       1     1       .005721
    29     45.000  -1435.510       0     1       .000034
    30     50.000    -14.030       1     2       .005721
    31     50.000    -50.760       1     1       .005721
    32     50.000  -1589.510       0     1       .000034
    33     55.000    -13.170       1     2       .005721
    34     55.000    -50.120       1     1       .005721
    35     55.000  -1731.510       0     1       .000034
    36     60.000    -12.420       1     2       .005721
    37     60.000    -50.230       1     1       .005721
    38     60.000  -1887.510       0     1       .000034
    39     65.000    -12.640       1     2       .005721
    40     65.000    -50.230       1     1       .005721
    41     65.000  -2027.510       0     1       .000034
    42     70.000    -13.600       1     2       .005721
    43     70.000    -49.480       1     1       .005721
    44     70.000  -2183.510       0     1       .000034
    45     75.000    -12.100       1     2       .005721
    46     75.000    -49.480       1     1       .005721
    47     75.000  -2319.510       0     1       .000034
    48     80.000    -11.990       1     2       .005721
    49     80.000    -48.840       1     1       .005721
    50     80.000  -2471.510       0     1       .000034
    51     85.000    -11.560       1     2       .005721
    52     85.000    -46.700       1     1       .005721
    53     85.000  -2619.510       0     1       .000034
    54     90.000    -11.880       1     2       .005721
    55     90.000    -43.490       1     1       .005721
    56     90.000  -2763.510       0     1       .000034
    57     95.000    -11.130       1     2       .005721
    58     95.000    -39.530       1     1       .005721
    59     95.000  -2901.510       0     1       .000034
    60    100.000    -11.130       1     2       .005721
    61    100.000    -36.220       1     1       .005721
    62    100.000  -3049.510       0     1       .000034
    63    105.000    -10.050       1     2       .005721
    64    105.000    -32.790       1     1       .005721
    65    105.000  -3187.510       0     1       .000034
    66    110.000    -10.700       1     2       .005721
    67    110.000    -29.690       1     1       .005721
    68    110.000  -3341.510       0     1       .000034
    69    115.000    -10.480       1     2       .005721
    70    115.000    -26.270       1     1       .005721
    71    115.000  -3481.510       0     1       .000034
    72    120.000    -10.160       1     2       .005721
    73    120.000    -23.920       1     1       .005721
    74    120.000  -3629.510       0     1       .000034
    75    125.000     -9.620       1     2       .005721
    76    125.000    -22.530       1     1       .005721
    77    125.000  -3771.510       0     1       .000034
    78    130.000     -9.510       1     2       .005721
    79    130.000    -21.240       1     1       .005721
    80    130.000  -3911.510       0     1       .000034
    81    135.000     -9.410       1     2       .005721
    82    135.000    -20.920       1     1       .005721
    83    135.000  -4059.510       0     1       .000034
    84    140.000     -9.510       1     2       .005721
    85    140.000    -19.850       1     1       .005721
    86    140.000  -4195.510       0     1       .000034
    87    145.000     -8.980       1     2       .005721
    88    145.000    -20.070       1     1       .005721
    89    145.000  -4333.510       0     1       .000034
    90    150.000     -9.840       1     2       .005721
    91    150.000    -19.850       1     1       .005721
    92    150.000  -4483.510       0     1       .000034
    93    155.000     -9.300       1     2       .005721
    94    155.000    -19.210       1     1       .005721
    95    155.000  -4619.510       0     1       .000034
    96    160.000     -9.300       1     2       .005721
    97    160.000    -19.000       1     1       .005721
    98    160.000  -4761.510       0     1       .000034
    99    165.000     -8.870       1     2       .005721
   100    165.000    -18.780       1     1       .005721
   101    165.000  -4907.510       0     1       .000034
   102    170.000     -9.080       1     2       .005721
   103    170.000    -18.680       1     1       .005721
   104    170.000  -5049.510       0     1       .000034
   105    175.000     -8.330       1     2       .005721
   106    175.000    -18.460       1     1       .005721
   107    175.000  -5189.510       0     1       .000034
   108    180.000     -8.220       1     2       .005721
   109    180.000    -16.750       1     1       .005721
   110    180.000  -5329.510       0     1       .000034
   111    185.000     -8.760       1     2       .005721
   112    185.000    -18.030       1     1       .005721
   113    185.000  -5471.510       0     1       .000034
   114    190.000     -8.120       1     2       .005721
   115    190.000    -18.250       1     1       .005721
   116    190.000  -5607.510       0     1       .000034
   117    195.000     -8.550       1     2       .005721
   118    195.000    -18.140       1     1       .005721
   119    195.000  -5753.510       0     1       .000034
   120    200.000     -8.220       1     2       .005721
   121    200.000    -18.140       1     1       .005721
   122    200.000  -5895.510       0     1       .000034
   123    205.000     -8.010       1     2       .005721
   124    205.000    -17.390       1     1       .005721
   125    205.000  -6029.510       0     1       .000034
   126    210.000     -8.010       1     2       .005721
   127    210.000    -17.820       1     1       .005721
   128    210.000  -6171.510       0     1       .000034
   129    215.000     -8.220       1     2       .005721
   130    215.000    -17.930       1     1       .005721
   131    215.000  -6311.510       0     1       .000034
   132    220.000     -8.650       1     2       .005721
   133    220.000    -17.180       1     1       .005721
   134    220.000  -6455.510       0     1       .000034
   135    225.000     -7.900       1     2       .005721
   136    225.000    -17.280       1     1       .005721
   137    225.000  -6593.510       0     1       .000034
   138    230.000     -8.550       1     2       .005721
   139    230.000    -16.960       1     1       .005721
   140    230.000  -6725.510       0     1       .000034
   141    235.000     -8.330       1     2       .005721
   142    235.000    -16.750       1     1       .005721
   143    235.000  -6867.510       0     1       .000034
   144    240.000     -8.010       1     2       .005721
   145    240.000    -17.070       1     1       .005721
   146    240.000  -7009.510       0     1       .000034
   147    245.000     -7.900       1     2       .005721
   148    245.000    -16.860       1     1       .005721
   149    245.000  -7145.510       0     1       .000034
   150    250.000     -7.690       1     2       .005721
   151    250.000    -16.860       1     1       .005721
   152    250.000  -7279.510       0     1       .000034
   153    255.000     -7.580       1     2       .005721
   154    255.000    -17.070       1     1       .005721
   155    255.000  -7419.510       0     1       .000034
   156    260.000     -7.900       1     2       .005721
   157    260.000    -16.860       1     1       .005721
   158    260.000  -7563.510       0     1       .000034
   159    265.000     -7.470       1     2       .005721
   160    265.000    -16.110       1     1       .005721
   161    265.000  -7701.510       0     1       .000034
   162    270.000     -7.580       1     2       .005721
   163    270.000    -16.860       1     1       .005721
   164    270.000  -7839.510       0     1       .000034
   165    275.000     -7.690       1     2       .005721
   166    275.000    -16.540       1     1       .005721
   167    275.000  -7977.510       0     1       .000034
   168    280.000     -7.690       1     2       .005721
   169    280.000    -16.640       1     1       .005721
   170    280.000  -8107.510       0     1       .000034
   171    285.000     -8.120       1     2       .005721
   172    285.000    -16.960       1     1       .005721
   173    285.000  -8249.510       0     1       .000034
   174    290.000     -7.900       1     2       .005721
   175    290.000    -16.640       1     1       .005721
   176    290.000  -8387.510       0     1       .000034
   177    295.000     -7.790       1     2       .005721
   178    295.000    -16.430       1     1       .005721
   179    295.000  -8519.510       0     1       .000034
   180    300.000     -7.040       1     2       .005721
   181    300.000    -16.430       1     1       .005721
   182    300.000  -8661.510       0     1       .000034
   183    305.000     -7.250       1     2       .005721
   184    305.000    -16.640       1     1       .005721
   185    305.000  -8803.510       0     1       .000034
   186    310.000     -7.040       1     2       .005721
   187    310.000    -16.220       1     1       .005721
   188    310.000  -8935.510       0     1       .000034
   189    315.000     -6.930       1     2       .005721
   190    315.000    -16.000       1     1       .005721
   191    315.000  -9069.510       0     1       .000034
   192    320.000     -7.470       1     2       .005721
   193    320.000    -16.110       1     1       .005721
   194    320.000  -9211.510       0     1       .000034
   195    325.000     -7.690       1     2       .005721
   196    325.000    -16.110       1     1       .005721
   197    325.000  -9335.510       0     1       .000034
   198    330.000     -7.250       1     2       .005721
   199    330.000    -16.110       1     1       .005721
   200    330.000  -9477.510       0     1       .000034
   201    335.000     -7.040       1     2       .005721
   202    335.000    -15.470       1     1       .005721
   203    335.000  -9611.510       0     1       .000034
   204    340.000     -7.790       1     2       .005721
   205    340.000    -16.000       1     1       .005721
   206    340.000  -9765.510       0     1       .000034
   207    345.000     -7.580       1     2       .005721
   208    345.000    -16.220       1     1       .005721
   209    345.000  -9893.510       0     1       .000034
   210    350.000     -6.930       1     2       .005721
   211    350.000    -16.640       1     1       .005721
   212    350.000 -10029.510       0     1       .000034
   213    355.000     -7.040       1     2       .005721
   214    355.000    -16.000       1     1       .005721
   215    355.000 -10165.510       0     1       .000034
   216    360.000     -7.580       1     2       .005721
   217    360.000    -15.790       1     1       .005721
   218    360.000 -10299.510       0     1       .000034
   219    365.000     -6.820       1     2       .005721
   220    365.000    -16.000       1     1       .005721
   221    365.000 -10431.510       0     1       .000034
   222    370.000     -7.360       1     2       .005721
   223    370.000    -15.570       1     1       .005721
   224    370.000 -10555.510       0     1       .000034
   225    375.000      5.440       1     2       .005721
   226    375.000    -18.140       1     1       .005721
   227    375.000 -10695.510       0     1       .000034
   228    380.000     -8.440       1     2       .005721
   229    380.000    -15.790       1     1       .005721
   230    380.000 -10823.510       0     1       .000034
   231    385.000     -6.720       1     2       .005721
   232    385.000    -16.000       1     1       .005721
   233    385.000 -10959.510       0     1       .000034
   234    390.000     -7.150       1     2       .005721
   235    390.000    -15.790       1     1       .005721
   236    390.000 -11089.510       0     1       .000034
   237    395.000     -6.930       1     2       .005721
   238    395.000    -15.790       1     1       .005721
   239    395.000 -11217.510       0     1       .000034
   240    400.000     -8.980       1     2       .005721
   241    400.000    -15.890       1     1       .005721
   242    400.000 -11217.510       0     1       .000034



 Parameter estimation with the  1. initial estimate
 ==================================================

 ITERATION     SSQ        ALPHA      N          CONDS      Aniz  
      0    .1138D+00     .05000    4.00000     .01200    1.20000
      1    .1943D-01     .04533    3.68995     .00934    1.39642
      2    .1142D-01     .05019    4.56632     .00992    1.32399
      3    .9769D-02     .05302    5.89052     .00982    1.33158
      4    .8787D-02     .05274    6.12037     .00964    1.37042
      5    .8786D-02     .05270    6.10542     .00965    1.37027


 MASS BALANCE ERROR IN FE SOLUTION DURING FINAL RUN WAS   .0000 %


 CORRELATION MATRIX
 ==================
         1          2          3          4
   1   1.0000
   2    .8389     1.0000
   3   -.7123     -.7742     1.0000
   4    .6914      .5793     -.8432     1.0000

 NON-LINEAR LEAST-SQUARES ANALYSIS: FINAL RESULTS
 ================================================
                                           95% CONFIDENCE LIMITS
 VARIABLE        VALUE        S.E.COEFF.     LOWER         UPPER
   ALPHA        .052701         .00072       .05129       .05411
   N           6.105419         .40966      5.29836      6.91247
   CONDS        .009647         .00007       .00951       .00978
   Aniz        1.370269         .01238      1.34588      1.39466

 RSQUARE FOR REGRESSION OF PREDICTED VS OBSERVED = .99989


 Contributions to the final objective function

 Measurement Set   0:    .4369E-03
 Measurement Set   1:    .8349E-02


------------OBSERVED & FITTED QUANTITY -----------------------------
                                               RESI-
    NO      TIME          OBS        FITTED    DUAL   TYPE  POSITION
    5     5.000      -168.450     -246.312   77.862     0     1
    8    10.000      -336.910     -430.972   94.062     0     1
   11    15.000      -509.510     -602.846   93.336     0     1
   14    20.000      -671.510     -767.950   96.440     0     1
   17    25.000      -827.510     -928.722  101.212     0     1
   20    30.000      -981.510    -1086.240  104.730     0     1
   23    35.000     -1131.510    -1241.231  109.721     0     1
   26    40.000     -1279.510    -1394.268  114.758     0     1
   29    45.000     -1435.510    -1545.660  110.150     0     1
   32    50.000     -1589.510    -1695.643  106.133     0     1
   35    55.000     -1731.510    -1844.398  112.888     0     1
   38    60.000     -1887.510    -1992.092  104.582     0     1
   41    65.000     -2027.510    -2138.854  111.344     0     1
   44    70.000     -2183.510    -2284.771  101.260     0     1
   47    75.000     -2319.510    -2429.927  110.417     0     1
   50    80.000     -2471.510    -2574.403  102.893     0     1
   53    85.000     -2619.510    -2718.253   98.743     0     1
   56    90.000     -2763.510    -2861.537   98.027     0     1
   59    95.000     -2901.510    -3004.297  102.787     0     1
   62   100.000     -3049.510    -3146.564   97.054     0     1
   65   105.000     -3187.510    -3288.375  100.865     0     1
   68   110.000     -3341.510    -3429.762   88.252     0     1
   71   115.000     -3481.510    -3570.747   89.237     0     1
   74   120.000     -3629.510    -3711.365   81.854     0     1
   77   125.000     -3771.510    -3851.639   80.129     0     1
   80   130.000     -3911.510    -3991.590   80.080     0     1
   83   135.000     -4059.510    -4131.233   71.723     0     1
   86   140.000     -4195.510    -4270.583   75.073     0     1
   89   145.000     -4333.510    -4409.653   76.144     0     1
   92   150.000     -4483.510    -4548.458   64.948     0     1
   95   155.000     -4619.510    -4687.002   67.493     0     1
   98   160.000     -4761.510    -4825.308   63.798     0     1
  101   165.000     -4907.510    -4963.385   55.875     0     1
  104   170.000     -5049.510    -5101.246   51.736     0     1
  107   175.000     -5189.510    -5238.898   49.389     0     1
  110   180.000     -5329.510    -5376.353   46.843     0     1
  113   185.000     -5471.510    -5513.614   42.104     0     1
  116   190.000     -5607.510    -5650.692   43.183     0     1
  119   195.000     -5753.510    -5787.585   34.075     0     1
  122   200.000     -5895.510    -5924.308   28.798     0     1
  125   205.000     -6029.510    -6060.866   31.356     0     1
  128   210.000     -6171.510    -6197.266   25.756     0     1
  131   215.000     -6311.510    -6333.512   22.002     0     1
  134   220.000     -6455.510    -6469.610   14.100     0     1
  137   225.000     -6593.510    -6605.565   12.055     0     1
  140   230.000     -6725.510    -6741.382   15.873     0     1
  143   235.000     -6867.510    -6877.066    9.557     0     1
