

       Time         hAtm       hRoot     hKode3     hKode1        hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

         .0005         .0         .0         .0       50.0         .0         .0         .0
         .0010         .0         .0         .0       50.0         .0         .0         .0
         .0015         .0         .0         .0       50.0         .0         .0         .0
         .0020         .0         .0         .0       50.0         .0         .0         .0
         .0025         .0         .0         .0       50.0         .0         .0         .0
         .0032         .0         .0         .0       50.0         .0         .0         .0
         .0038         .0         .0         .0       50.0         .0         .0         .0
         .0046         .0         .0         .0       50.0         .0         .0         .0
         .0054         .0         .0         .0       50.0         .0         .0         .0
         .0062         .0         .0         .0       50.0         .0         .0         .0
         .0072         .0         .0         .0       50.0         .0         .0         .0
         .0083         .0         .0         .0       50.0         .0         .0         .0
         .0095         .0         .0         .0       50.0         .0         .0         .0
         .0108         .0         .0         .0       50.0         .0         .0         .0
         .0122         .0         .0         .0       50.0         .0         .0         .0
         .0138         .0         .0         .0       50.0         .0         .0         .0
         .0155         .0         .0         .0       50.0         .0         .0         .0
         .0172         .0         .0         .0       50.0         .0         .0         .0
         .0189         .0         .0         .0       50.0         .0         .0         .0
         .0207         .0         .0         .0       50.0         .0         .0         .0
         .0224         .0         .0         .0       50.0         .0         .0         .0
         .0241         .0         .0         .0       50.0         .0         .0         .0
         .0259         .0         .0         .0       50.0         .0         .0         .0
         .0276         .0         .0         .0       50.0         .0         .0         .0
         .0293         .0         .0         .0       50.0         .0         .0         .0
         .0310         .0         .0         .0       50.0         .0         .0         .0
         .0328         .0         .0         .0       50.0         .0         .0         .0
         .0345         .0         .0         .0       50.0         .0         .0         .0
         .0362         .0         .0         .0       50.0         .0         .0         .0
         .0379         .0         .0         .0       50.0         .0         .0         .0
         .0397         .0         .0         .0       50.0         .0         .0         .0
         .0414         .0         .0         .0       50.0         .0         .0         .0
         .0431         .0         .0         .0       50.0         .0         .0         .0
         .0449         .0         .0         .0       50.0         .0         .0         .0
         .0466         .0         .0         .0       50.0         .0         .0         .0
         .0483         .0         .0         .0       50.0         .0         .0         .0
         .0500         .0         .0         .0       50.0         .0         .0         .0
         .0518         .0         .0         .0       50.0         .0         .0         .0
         .0535         .0         .0         .0       50.0         .0         .0         .0
         .0552         .0         .0         .0       50.0         .0         .0         .0
         .0569         .0         .0         .0       50.0         .0         .0         .0
         .0587         .0         .0         .0       50.0         .0         .0         .0
         .0604         .0         .0         .0       50.0         .0         .0         .0
